,lumpSum_avg,npsf_avg,final_address,lumpSum_J,npsf_J,nfa_J,lumpSum_R,npsf_R,nfa_R,nfa_avg,lumpSum_change,npsf_change
2020-12-15,4997569.0,14702.0,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",4454570.0,14510.0,307.0,5540568.0,14894.0,372.0,,0.010062182389346752,0.010064923911923263
2019-9-15,5175478.0,15229.0,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",4625876.0,15068.0,307.0,5725080.0,15390.0,372.0,,-0.045466370183012805,-0.045473064025823406
2019-8-15,5421996.5,15954.5,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",4846609.0,15787.0,307.0,5997384.0,16122.0,372.0,,0.02542156352114322,0.025419371424898696
2019-7-15,5287578.0,15559.0,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",4726572.0,15396.0,307.0,5848584.0,15722.0,372.0,,0.0014207180520964258,0.0014159747699040715
2019-6-15,5280076.5,15537.0,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",4720125.0,15375.0,307.0,5840028.0,15699.0,372.0,,-0.008450582822613018,-0.008455917546826619
2019-5-15,5325076.5,15669.5,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",4760649.0,15507.0,307.0,5889504.0,15832.0,372.0,,0.04092476186622518,0.04092071611253201
2019-4-15,5115717.0,15053.5,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",4573686.0,14898.0,307.0,5657748.0,15209.0,372.0,,0.009458673492794833,0.009455155071248944
2019-3-15,5067782.5,14912.5,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",4531013.0,14759.0,307.0,5604552.0,15066.0,372.0,,0.0422908965824329,0.04228551459024987
2019-2-15,4862157.5,14307.5,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",4347427.0,14161.0,307.0,5376888.0,14454.0,372.0,,-0.005071372869040136,-0.0050763186259170645
2019-1-15,4886941.0,14380.5,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",4369838.0,14234.0,307.0,5404044.0,14527.0,372.0,,0.01687201854653786,0.016864658464149418
2018-12-15,4805856.5,14142.0,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",4297693.0,13999.0,307.0,5314020.0,14285.0,372.0,,-0.04949517015009264,-0.04950095775783847
2018-11-15,5056109.5,14878.5,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",4521803.0,14729.0,307.0,5590416.0,15028.0,372.0,,,
2018-10-15,,,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,307.0,,,372.0,,,
2018-9-15,,,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,307.0,,,372.0,,,
2018-8-15,,,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,307.0,,,372.0,,,
2018-7-15,,,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,307.0,,,372.0,,,
2018-6-15,,,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,307.0,,,372.0,,,
2018-5-15,,,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,307.0,,,372.0,,,
2018-4-15,,,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,307.0,,,372.0,,,
2018-3-15,,,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,307.0,,,372.0,,,
2018-2-15,,,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,307.0,,,372.0,,,
2018-1-15,,,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,307.0,,,372.0,,,
2017-12-15,,,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,307.0,,,372.0,,,
2017-11-15,,,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,307.0,,,372.0,,,
2017-10-15,,,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,307.0,,,372.0,,,
2017-9-15,,,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,307.0,,,372.0,,,
2017-8-15,,,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,307.0,,,372.0,,,
2017-7-15,,,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,307.0,,,372.0,,,
2017-6-15,,,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,307.0,,,372.0,,,
2017-5-15,,,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,307.0,,,372.0,,,
2017-4-15,,,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,307.0,,,372.0,,,
2017-3-15,,,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,307.0,,,372.0,,,
2017-2-15,,,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,307.0,,,372.0,,,
2017-1-15,,,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,307.0,,,372.0,,,
2016-12-15,,,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,307.0,,,372.0,,,
2016-11-15,,,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,307.0,,,372.0,,,
2016-10-15,,,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,307.0,,,372.0,,,
2016-9-15,,,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,307.0,,,372.0,,,
2016-8-15,,,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,307.0,,,372.0,,,
2016-7-15,,,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,307.0,,,372.0,,,
2016-6-15,,,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,307.0,,,372.0,,,
2016-5-15,,,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,307.0,,,372.0,,,
2016-4-15,,,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,307.0,,,372.0,,,
2016-3-15,,,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,307.0,,,372.0,,,
2016-2-15,,,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,307.0,,,372.0,,,
2016-1-15,,,"EMERALD BAY(Phase 2),Block 3,KWUN CHUI RD|恆大•珺瓏灣2期,3座,管翠路",,,307.0,,,372.0,339.5,,
