,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_A7,npsf_A7,nfa_A7,lumpSum_A8,npsf_A8,nfa_A8,lumpSum_A9,npsf_A9,nfa_A9,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,lumpSum_B7,npsf_B7,nfa_B7,lumpSum_B8,npsf_B8,nfa_B8,lumpSum_C1,npsf_C1,nfa_C1,lumpSum_C2,npsf_C2,nfa_C2,lumpSum_C3,npsf_C3,nfa_C3,lumpSum_C5,npsf_C5,nfa_C5,lumpSum_C6,npsf_C6,nfa_C6,lumpSum_C7,npsf_C7,nfa_C7,lumpSum_C8,npsf_C8,nfa_C8,lumpSum_change,npsf_change
2019-12-15,5905306.238095238,13023.809523809523,21,124011431.0,273500.0,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",11416098.0,12119.0,942.0,5885616.0,12496.0,471.0,6087384.0,12897.0,472.0,4500771.0,14109.0,319.0,4519273.0,14167.0,319.0,6324328.0,13399.0,472.0,6356145.0,13495.0,471.0,5339779.0,11533.0,463.0,8600386.0,13894.0,619.0,5747142.0,12202.0,471.0,5768100.0,12818.0,450.0,4217778.0,12666.0,333.0,4397679.0,12529.0,351.0,4558086.0,12986.0,351.0,5567575.0,12025.0,463.0,8653620.0,13980.0,619.0,6717873.0,14263.0,471.0,6202800.0,13784.0,450.0,4355640.0,13080.0,333.0,4397679.0,12529.0,351.0,4397679.0,12529.0,351.0,-0.029854401843845246,-0.030117768880787876
2019-1-15,5705468.19047619,12685.333333333334,21,119814832.0,266392.0,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",10208454.0,10837.0,942.0,5809785.0,12335.0,471.0,6029328.0,12774.0,472.0,4443032.0,13928.0,319.0,4468233.0,14007.0,319.0,6254000.0,13250.0,472.0,6284553.0,13343.0,471.0,5298109.0,11443.0,463.0,7806209.0,12611.0,619.0,5682615.0,12065.0,471.0,5693400.0,12652.0,450.0,4182813.0000000005,12561.0,333.0,4353453.0,12403.0,351.0,4504383.0,12833.0,351.0,5519423.0,11921.0,463.0,7735023.999999999,12496.0,619.0,6400890.0,13590.0,471.0,6143850.0,13653.0,450.0,4290372.0,12884.0,333.0,4353453.0,12403.0,351.0,4353453.0,12403.0,351.0,0.010011260147164913,0.010020891074468574
2018-12-15,5648915.428571428,12559.47619047619,21,118627224.0,263749.0,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",10106718.0,10729.0,942.0,5750910.0,12210.0,471.0,5970328.0,12649.0,472.0,4398053.0,13787.0,319.0,4423573.0,13867.0,319.0,6191696.0,13118.0,472.0,6221910.0,13210.0,471.0,5246716.0,11332.0,463.0,7731929.0,12491.0,619.0,5625624.0,11944.0,471.0,5635350.0,12523.0,450.0,4142520.0,12440.0,333.0,4310631.0,12281.0,351.0,4459104.0,12704.0,351.0,5465715.0,11805.0,463.0,7658268.0,12372.0,619.0,6336834.0,13454.0,471.0,6084000.0,13520.0,450.0,4246083.0,12751.0,333.0,4310631.0,12281.0,351.0,4310631.0,12281.0,351.0,,
2018-11-15,,,21,,,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",,,942.0,,,471.0,,,472.0,,,319.0,,,319.0,,,472.0,,,471.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,
2018-10-15,,,21,,,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",,,942.0,,,471.0,,,472.0,,,319.0,,,319.0,,,472.0,,,471.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,
2018-9-15,,,21,,,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",,,942.0,,,471.0,,,472.0,,,319.0,,,319.0,,,472.0,,,471.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,
2018-8-15,,,21,,,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",,,942.0,,,471.0,,,472.0,,,319.0,,,319.0,,,472.0,,,471.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,
2018-7-15,,,21,,,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",,,942.0,,,471.0,,,472.0,,,319.0,,,319.0,,,472.0,,,471.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,
2018-6-15,,,21,,,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",,,942.0,,,471.0,,,472.0,,,319.0,,,319.0,,,472.0,,,471.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,
2018-5-15,,,21,,,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",,,942.0,,,471.0,,,472.0,,,319.0,,,319.0,,,472.0,,,471.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,
2018-4-15,,,21,,,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",,,942.0,,,471.0,,,472.0,,,319.0,,,319.0,,,472.0,,,471.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,
2018-3-15,,,21,,,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",,,942.0,,,471.0,,,472.0,,,319.0,,,319.0,,,472.0,,,471.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,
2018-2-15,,,21,,,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",,,942.0,,,471.0,,,472.0,,,319.0,,,319.0,,,472.0,,,471.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,
2018-1-15,,,21,,,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",,,942.0,,,471.0,,,472.0,,,319.0,,,319.0,,,472.0,,,471.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,
2017-12-15,,,21,,,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",,,942.0,,,471.0,,,472.0,,,319.0,,,319.0,,,472.0,,,471.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,
2017-11-15,,,21,,,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",,,942.0,,,471.0,,,472.0,,,319.0,,,319.0,,,472.0,,,471.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,
2017-10-15,,,21,,,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",,,942.0,,,471.0,,,472.0,,,319.0,,,319.0,,,472.0,,,471.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,
2017-9-15,,,21,,,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",,,942.0,,,471.0,,,472.0,,,319.0,,,319.0,,,472.0,,,471.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,
2017-8-15,,,21,,,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",,,942.0,,,471.0,,,472.0,,,319.0,,,319.0,,,472.0,,,471.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,
2017-7-15,,,21,,,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",,,942.0,,,471.0,,,472.0,,,319.0,,,319.0,,,472.0,,,471.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,
2017-6-15,,,21,,,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",,,942.0,,,471.0,,,472.0,,,319.0,,,319.0,,,472.0,,,471.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,
2017-5-15,,,21,,,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",,,942.0,,,471.0,,,472.0,,,319.0,,,319.0,,,472.0,,,471.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,
2017-4-15,,,21,,,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",,,942.0,,,471.0,,,472.0,,,319.0,,,319.0,,,472.0,,,471.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,
2017-3-15,,,21,,,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",,,942.0,,,471.0,,,472.0,,,319.0,,,319.0,,,472.0,,,471.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,
2017-2-15,,,21,,,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",,,942.0,,,471.0,,,472.0,,,319.0,,,319.0,,,472.0,,,471.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,
2017-1-15,,,21,,,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",,,942.0,,,471.0,,,472.0,,,319.0,,,319.0,,,472.0,,,471.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,
2016-12-15,,,21,,,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",,,942.0,,,471.0,,,472.0,,,319.0,,,319.0,,,472.0,,,471.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,
2016-11-15,,,21,,,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",,,942.0,,,471.0,,,472.0,,,319.0,,,319.0,,,472.0,,,471.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,
2016-10-15,,,21,,,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",,,942.0,,,471.0,,,472.0,,,319.0,,,319.0,,,472.0,,,471.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,
2016-9-15,,,21,,,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",,,942.0,,,471.0,,,472.0,,,319.0,,,319.0,,,472.0,,,471.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,
2016-8-15,,,21,,,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",,,942.0,,,471.0,,,472.0,,,319.0,,,319.0,,,472.0,,,471.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,
2016-7-15,,,21,,,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",,,942.0,,,471.0,,,472.0,,,319.0,,,319.0,,,472.0,,,471.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,
2016-6-15,,,21,,,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",,,942.0,,,471.0,,,472.0,,,319.0,,,319.0,,,472.0,,,471.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,
2016-5-15,,,21,,,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",,,942.0,,,471.0,,,472.0,,,319.0,,,319.0,,,472.0,,,471.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,
2016-4-15,,,21,,,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",,,942.0,,,471.0,,,472.0,,,319.0,,,319.0,,,472.0,,,471.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,
2016-3-15,,,21,,,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",,,942.0,,,471.0,,,472.0,,,319.0,,,319.0,,,472.0,,,471.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,
2016-2-15,,,21,,,9542,"OMA BY THE SEA(Block 2),CASTLE PEAK RD TAI LAM|OMA BY THE SEA2座,青山公路大欖段",,,942.0,,,471.0,,,472.0,,,319.0,,,319.0,,,472.0,,,471.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,,463.0,,,619.0,,,471.0,,,450.0,,,333.0,,,351.0,,,351.0,,
