,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2022-12-15,5647909.398346717,9600.75,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",6584063.593386865,10900.0,684.0,5937804.0,8681.0,684.0,5003855.0,9353.0,535.0,5065915.0,9469.0,535.0,,-0.0399971189945133,-0.03785639124116846
2021-10-15,6765442.5,11153.25,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7407720.0,10830.0,684.0,7253820.000000001,10605.0,684.0,6203860.0,11596.0,535.0,6196370.0,11582.0,535.0,,-0.03417945956131918,-0.032654654263969296
2021-9-15,7004865.0,11529.75,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7955604.0,11631.0,684.0,7403616.0,10824.0,684.0,6333865.0,11839.0,535.0,6326375.0,11825.0,535.0,,-0.00935547785889801,-0.00934398762727151
2021-8-15,7071017.75,11638.5,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",8035632.0,11748.0,684.0,7469963.999999999,10921.0,684.0,6392715.0,11949.0,535.0,6385760.0,11936.0,535.0,,0.009309900540188654,0.009322695342988574
2021-7-15,7005794.5,11531.0,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7966548.0,11647.0,684.0,7397460.000000001,10815.0,684.0,6332260.0,11836.0,535.0,6326910.0,11826.0,535.0,,0.044887676313654534,0.04490054823070988
2021-6-15,6704830.25,11035.5,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7629336.0,11154.0,684.0,7075980.0,10345.0,684.0,6058875.0,11325.0,535.0,6055130.0,11318.0,535.0,,-0.01614974946767289,-0.01613694111353814
2021-5-15,6814889.0,11216.5,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7759296.0,11344.0,684.0,7188840.000000001,10510.0,684.0,6156780.0,11508.0,535.0,6154640.0,11504.0,535.0,,0.004005590847945939,0.004050576256014349
2021-4-15,6787700.25,11171.25,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7724412.0,11293.0,684.0,7169004.0,10481.0,684.0,6125750.0,11450.0,535.0,6131635.0,11461.0,535.0,,0.016497397075935893,0.016538514036125385
2021-3-15,6677538.25,10989.5,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7603344.0,11116.0,684.0,7052724.0,10311.0,684.0,6024635.0,11261.0,535.0,6029450.0,11270.0,535.0,,0.014223539815051645,0.014259344716197608
2021-2-15,6583892.0,10835.0,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7500060.000000001,10965.0,684.0,6954228.0,10167.0,684.0,5938500.0,11100.0,535.0,5942780.0,11108.0,535.0,,-0.005079557162471771,-0.004913440786150525
2021-1-15,6617506.0,10888.5,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7549308.0,11037.0,684.0,6996636.0,10229.0,684.0,5948130.0,11118.0,535.0,5975950.0,11170.0,535.0,,0.02732439793488961,0.027362362598480905
2020-12-15,6441496.0,10598.5,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7352316.000000001,10749.0,684.0,6810588.0,9957.0,684.0,5788700.0,10820.0,535.0,5814380.0,10868.0,535.0,,0.011967825011700128,0.012007352414599826
2020-11-15,6365317.0,10472.75,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7268868.0,10627.0,684.0,6730560.0,9840.0,684.0,5718615.0,10689.0,535.0,5743225.0,10735.0,535.0,,-0.017899832083120848,-0.01823337786214818
2020-10-15,6481331.75,10667.25,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7342056.0,10734.0,684.0,6876936.0,10054.0,684.0,5841130.0,10918.0,535.0,5865205.0,10963.0,535.0,,-0.015718427265071888,-0.015686636369927842
2020-9-15,6584835.0,10837.25,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7462440.000000001,10910.0,684.0,6987060.0,10215.0,684.0,5933150.0,11090.0,535.0,5956690.0,11134.0,535.0,,0.03434711446248673,0.03438484298940536
2020-8-15,6366175.25,10477.0,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7216884.0,10551.0,684.0,6756552.0,9878.0,684.0,5734665.0,10719.0,535.0,5756600.0,10760.0,535.0,,-0.051422199856905215,-0.051383041332790036
2020-7-15,6711284.25,11044.5,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7610184.000000001,11126.0,684.0,7125227.999999999,10417.0,684.0,6043895.0,11297.0,535.0,6065830.0,11338.0,535.0,,0.03479531105395117,0.03483169754749249
2020-6-15,6485615.25,10672.75,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7357104.0,10756.0,684.0,6886512.0,10068.0,684.0,5839525.0,10915.0,535.0,5859320.0,10952.0,535.0,,0.0016069749709652914,0.001642382862907965
2020-5-15,6475209.75,10655.25,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7348211.999999999,10743.0,684.0,6876252.0,10053.0,684.0,5829360.0,10896.0,535.0,5847015.0,10929.0,535.0,,0.004692771799381434,0.0046672795417579405
2020-4-15,6444965.0,10605.75,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7349580.000000001,10745.0,684.0,6805800.0,9950.0,684.0,5768370.0,10782.0,535.0,5856110.0,10946.0,535.0,,0.007474461575641467,0.007504690431519689
2020-3-15,6397149.75,10526.75,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7296912.0,10668.0,684.0,6756552.0,9878.0,684.0,5725035.0,10701.0,535.0,5810100.0,10860.0,535.0,,-0.0348051204826435,-0.03413235462782427
2020-2-15,6627832.25,10898.75,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7674480.0,11220.0,684.0,6960384.0,10176.0,684.0,5895700.0,11020.0,535.0,5980765.0,11179.0,535.0,,0.002862269805754547,0.002875546353807268
2020-1-15,6608915.75,10867.5,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7651908.0,11187.0,684.0,6942600.0,10150.0,684.0,5879650.0,10990.0,535.0,5961505.0,11143.0,535.0,,0.02632094889232328,0.026349341266468373
2019-12-15,6439424.0,10588.5,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7455600.000000001,10900.0,684.0,6767496.0,9894.0,684.0,5727710.0,10706.0,535.0,5806890.0,10854.0,535.0,,-0.03424887555479883,-0.03449061937219322
2019-11-15,6667788.25,10966.75,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7699788.0,11257.0,684.0,7000740.0,10235.0,684.0,5921915.0,11069.0,535.0,6048710.0,11306.0,535.0,,-0.0029077422605133796,-0.0028867572850843626
2019-10-15,6687233.0,10998.5,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7721676.000000001,11289.0,684.0,7023996.0,10269.0,684.0,5937965.0,11099.0,535.0,6065295.0,11337.0,535.0,,-0.0032616444275834766,-0.003239912091895669
2019-9-15,6709115.75,11034.25,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7746299.999999999,11325.0,684.0,7049988.0,10307.0,684.0,5956155.0,11133.0,535.0,6084020.0,11372.0,535.0,,-0.046135283094528856,-0.04611959974930302
2019-8-15,7033613.5,11567.75,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",8119764.0,11871.0,684.0,7394040.0,10810.0,684.0,6242915.0,11669.0,535.0,6377735.0,11921.0,535.0,,0.03736488645473468,0.03676898946896712
2019-7-15,6780269.5,11157.5,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7755876.0,11339.0,684.0,7136172.0,10433.0,684.0,6138055.0,11473.0,535.0,6090975.0,11385.0,535.0,,-0.018923568248752298,-0.01890525390195652
2019-6-15,6911051.25,11372.5,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7905671.999999999,11558.0,684.0,7275707.999999999,10637.0,684.0,6255220.0,11692.0,535.0,6207605.0,11603.0,535.0,,-0.0152059144490172,-0.01534665252494638
2019-5-15,7017762.75,11549.75,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",8000064.0,11696.0,684.0,7399511.999999999,10818.0,684.0,6360080.0,11888.0,535.0,6311395.0,11797.0,535.0,,0.04765971584591111,0.04766764178969085
2019-4-15,6698513.5,11024.25,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7634807.999999999,11162.0,684.0,7065036.0,10329.0,684.0,6070110.0,11346.0,535.0,6024100.0,11260.0,535.0,,0.009580939222626483,0.009870379700453347
2019-3-15,6634944.5,10916.5,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7545204.000000001,11031.0,684.0,7045884.0,10301.0,684.0,6000025.0,11215.0,535.0,5948665.0,11119.0,535.0,,0.028405741931006423,0.028427424103252497
2019-2-15,6451679.75,10614.75,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7335216.0,10724.0,684.0,6855048.0,10022.0,684.0,5833105.0,10903.0,535.0,5783350.0,10810.0,535.0,,0.017786753704479352,0.01781091188033379
2019-1-15,6338930.75,10429.0,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7205256.0,10534.0,684.0,6739452.0,9853.0,684.0,5730385.0,10711.0,535.0,5680630.0,10618.0,535.0,,0.002455481353693445,0.002475188042198262
2018-12-15,6323403.75,10403.25,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7185420.0,10505.0,684.0,6727140.0,9835.0,684.0,5715405.0,10683.0,535.0,5665650.0,10590.0,535.0,,-0.04407694727029432,-0.04419229620782328
2018-11-15,6614971.5,10884.25,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7536312.0,11018.0,684.0,7004844.0,10241.0,684.0,6024635.0,11261.0,535.0,5894095.0,11017.0,535.0,,-0.0006041725068876014,-0.0005968367651447704
2018-10-15,6618970.5,10890.75,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7536996.0,11019.0,684.0,7013736.0,10254.0,684.0,6028380.0,11268.0,535.0,5896770.0,11022.0,535.0,,-0.08325301893162285,-0.08352092230660801
2018-9-15,7220062.5,11883.25,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",8197740.0,11985.0,684.0,7640279.999999999,11170.0,684.0,6562845.0,12267.0,535.0,6479385.0,12111.0,535.0,,0.010013596595807917,0.010716791766782308
2018-8-15,7148480.5,11757.25,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",8058888.0,11782.0,684.0,7702524.0,11261.0,684.0,6457985.0,12071.0,535.0,6374525.0,11915.0,535.0,,0.006800410622452846,0.006786264771365014
2018-7-15,7100196.25,11678.0,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7998012.000000001,11693.0,684.0,7655328.0,11192.0,684.0,6416255.0,11993.0,535.0,6331190.0,11834.0,535.0,,-0.0146318613728047,-0.014410802827302449
2018-6-15,7205628.0,11848.75,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",8117028.0,11867.0,684.0,7794864.0,11396.0,684.0,6517905.0,12183.0,535.0,6392715.0,11949.0,535.0,,0.034087543918879026,0.034080247856348
2018-5-15,6968102.5,11458.25,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7843428.000000001,11467.0,684.0,7543151.999999999,11028.0,684.0,6304440.0,11784.0,535.0,6181390.0,11554.0,535.0,,0.028765821028089222,0.028752917938588585
2018-4-15,6773264.0,11138.0,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7619076.0,11139.0,684.0,7335899.999999999,10725.0,684.0,6129495.0,11457.0,535.0,6008585.0,11231.0,535.0,,0.04060058426838542,0.04059419815948062
2018-3-15,6508995.0,10703.5,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7317432.0,10698.0,684.0,7053408.0,10312.0,684.0,5891420.0,11012.0,535.0,5773720.0,10792.0,535.0,,0.022088609607467502,0.022082169543316876
2018-2-15,6368327.5,10472.25,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7155324.0,10461.0,684.0,6904296.0,10094.0,684.0,5765160.0,10776.0,535.0,5648530.0,10558.0,535.0,,0.013338890922773183,0.013329140258357963
2018-1-15,6284499.25,10334.5,"HONG KONG GOLD COAST(Phase 2A),Block 11,CASTLE PEAK RD CASTLE PEAK BAY|香港黃金海岸2A期,11座,青山公路青山灣段",7056828.0,10317.0,684.0,6816744.0,9966.0,684.0,5690260.0,10636.0,535.0,5574165.0,10419.0,535.0,609.5,,
