,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_change,npsf_change
2019-12-15,4640222.0,16149.857142857143,7,32481554.0,113049.0,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",5330520.0,17085.0,312.0,6222601.0,16247.0,383.0,3702692.0,16604.0,223.0,3578481.0,16047.0,223.0,4993576.0,15508.0,322.0,3787647.9999999995,16256.0,233.0,4866036.0,15302.0,318.0,-0.03085620533551381,-0.03086181621788453
2019-1-15,4586366.142857143,15961.57142857143,7,32104563.0,111731.0,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",5268120.0,16885.0,312.0,6152129.0,16063.0,383.0,3654970.0,16390.0,223.0,3535888.0,15856.0,223.0,4936260.0,15330.0,322.0,3746174.0,16078.0,233.0,4811022.0,15129.0,318.0,0.010125143953838123,0.010134707530964793
2018-12-15,4540394.0,15801.42857142857,7,31782758.0,110610.0,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",5215080.0,16715.0,312.0,6090849.0,15903.0,383.0,3617729.0,16223.0,223.0,3500208.0,15696.0,223.0,4886994.0,15177.0,322.0,3708894.0,15918.0,233.0,4763004.0,14978.0,318.0,-0.04578002965090833,-0.04577452638117263
2018-11-15,4758225.714285715,16559.428571428572,7,33307580.0,115916.0,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",5465304.0,17517.0,312.0,6383078.0,16666.0,383.0,3790554.0,16998.0,223.0,3668126.9999999995,16449.0,223.0,5121732.0,15906.0,322.0,3887139.0,16683.0,233.0,4991646.0,15697.0,318.0,0.0032415399524112765,0.0023607135754002417
2018-10-15,4742851.571428572,16520.428571428572,7,33199961.0,115643.0,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",5466864.0,17522.0,312.0,6267412.0,16364.0,383.0,3790999.9999999995,17000.0,223.0,3669019.0,16453.0,223.0,5123342.0,15911.0,322.0,3888770.0000000005,16690.0,233.0,4993554.0,15703.0,318.0,-0.07706394458774357,-0.07705629778607792
2018-9-15,5138873.428571428,17899.714285714286,7,35972114.0,125298.0,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",5923320.0,18985.0,312.0,6790973.0,17731.0,383.0,4106768.0,18416.0,223.0,3975197.9999999995,17826.0,223.0,5551280.0,17240.0,322.0,4213805.0,18085.0,233.0,5410770.0,17015.0,318.0,0.0197285901117652,0.019735824794706813
2018-8-15,5039452.142857143,17553.285714285714,7,35276165.0,122873.0,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",5808504.0,18617.0,312.0,6659987.0,17389.0,383.0,4026711.0,18057.0,223.0,3898040.0,17480.0,223.0,5444054.0,16907.0,322.0,4132721.0,17737.0,233.0,5306148.0,16686.0,318.0,0.0049794052262501776,0.0049892444975174755
2018-7-15,5014483.0,17466.14285714286,7,35101381.0,122263.0,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",5779488.0,18524.0,312.0,6627432.0,17304.0,383.0,4005971.9999999995,17964.0,223.0,3878639.0000000005,17393.0,223.0,5417328.0,16824.0,322.0,4112450.0,17650.0,233.0,5280072.0,16604.0,318.0,0.003353183032747342,0.0010808066748000389
2018-6-15,4997724.714285715,17447.285714285714,7,34984073.0,122131.0,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",5812560.0,18630.0,312.0,6347459.0,16573.0,383.0,4028048.9999999995,18063.0,223.0,3900715.9999999995,17492.0,223.0,5448240.0,16920.0,322.0,4136449.0,17753.0,233.0,5310600.0,16700.0,318.0,0.02755512677534777,0.02756299692903119
2018-5-15,4863704.714285715,16979.285714285714,7,34045933.0,118855.0,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",5656560.0,18130.0,312.0,6177407.0,16129.0,383.0,3919225.0,17575.0,223.0,3795906.0000000005,17022.0,223.0,5302374.0,16467.0,322.0,4026007.0,17279.0,233.0,5168454.0,16253.0,318.0,,
2018-4-15,,,7,,,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2018-3-15,,,7,,,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2018-2-15,,,7,,,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2018-1-15,,,7,,,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2017-12-15,,,7,,,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2017-11-15,,,7,,,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2017-10-15,,,7,,,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2017-9-15,,,7,,,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2017-8-15,,,7,,,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2017-7-15,,,7,,,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2017-6-15,,,7,,,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2017-5-15,,,7,,,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2017-4-15,,,7,,,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2017-3-15,,,7,,,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2017-2-15,,,7,,,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2017-1-15,,,7,,,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2016-12-15,,,7,,,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2016-11-15,,,7,,,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2016-10-15,,,7,,,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2016-9-15,,,7,,,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2016-8-15,,,7,,,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2016-7-15,,,7,,,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2016-6-15,,,7,,,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2016-5-15,,,7,,,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2016-4-15,,,7,,,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2016-3-15,,,7,,,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2016-2-15,,,7,,,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
2016-1-15,,,7,,,2014,"EMERALD BAY(Phase 1),Block 2A,KWUN CHUI RD|恆大•珺瓏灣1期,2A座,管翠路",,,312.0,,,383.0,,,223.0,,,223.0,,,322.0,,,233.0,,,318.0,,
