,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,nfa_avg,lumpSum_change,npsf_change
2020-12-15,95111678.5,47733.5,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",103554600.0,48390.0,2140.0,86668757.0,47077.0,1841.0,,0.0401271137352146,0.04012681948923569
2019-6-15,106285694.0,53340.0,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",115756880.0,54092.0,2140.0,96814508.0,52588.0,1841.0,,-0.05759235540154306,-0.05823777112741335
2019-5-15,112781018.5,56638.5,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",121808800.0,56920.0,2140.0,103753237.0,56357.0,1841.0,,0.09049993473545426,0.092205488169389
2019-4-15,103421389.5,51857.0,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",113837300.0,53195.0,2140.0,93005479.0,50519.0,1841.0,,0.0934291983604365,0.09342976426432759
2019-3-15,94584441.0,47426.0,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",104111000.0,48650.0,2140.0,85057881.99999999,46202.0,1841.0,,,
2019-2-15,,,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",,,2140.0,,,1841.0,,,
2019-1-15,,,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",,,2140.0,,,1841.0,,,
2018-12-15,,,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",,,2140.0,,,1841.0,,,
2018-11-15,,,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",,,2140.0,,,1841.0,,,
2018-10-15,,,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",,,2140.0,,,1841.0,,,
2018-9-15,,,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",,,2140.0,,,1841.0,,,
2018-8-15,,,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",,,2140.0,,,1841.0,,,
2018-7-15,,,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",,,2140.0,,,1841.0,,,
2018-6-15,,,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",,,2140.0,,,1841.0,,,
2018-5-15,,,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",,,2140.0,,,1841.0,,,
2018-4-15,,,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",,,2140.0,,,1841.0,,,
2018-3-15,,,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",,,2140.0,,,1841.0,,,
2018-2-15,,,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",,,2140.0,,,1841.0,,,
2018-1-15,,,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",,,2140.0,,,1841.0,,,
2017-12-15,,,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",,,2140.0,,,1841.0,,,
2017-11-15,,,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",,,2140.0,,,1841.0,,,
2017-10-15,,,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",,,2140.0,,,1841.0,,,
2017-9-15,,,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",,,2140.0,,,1841.0,,,
2017-8-15,,,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",,,2140.0,,,1841.0,,,
2017-7-15,,,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",,,2140.0,,,1841.0,,,
2017-6-15,,,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",,,2140.0,,,1841.0,,,
2017-5-15,,,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",,,2140.0,,,1841.0,,,
2017-4-15,,,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",,,2140.0,,,1841.0,,,
2017-3-15,,,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",,,2140.0,,,1841.0,,,
2017-2-15,,,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",,,2140.0,,,1841.0,,,
2017-1-15,,,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",,,2140.0,,,1841.0,,,
2016-12-15,,,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",,,2140.0,,,1841.0,,,
2016-11-15,,,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",,,2140.0,,,1841.0,,,
2016-10-15,,,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",,,2140.0,,,1841.0,,,
2016-9-15,,,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",,,2140.0,,,1841.0,,,
2016-8-15,,,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",,,2140.0,,,1841.0,,,
2016-7-15,,,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",,,2140.0,,,1841.0,,,
2016-6-15,,,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",,,2140.0,,,1841.0,,,
2016-5-15,,,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",,,2140.0,,,1841.0,,,
2016-4-15,,,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",,,2140.0,,,1841.0,,,
2016-3-15,,,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",,,2140.0,,,1841.0,,,
2016-2-15,,,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",,,2140.0,,,1841.0,,,
2016-1-15,,,"ST. GEORGE'S MANSION(Block 1),KADOORIE AVE|ST. GEORGE'S MANS1座,嘉道理道",,,2140.0,,,1841.0,1990.5,,
