,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,nfa_avg,lumpSum_change,npsf_change
2020-12-15,4952262.25,19764.0,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",5722122.0,19463.0,294.0,5640473.0,19931.0,283.0,4368684.0,20607.0,212.0,4077770.0,19055.0,214.0,,-0.022195982755270016,-0.022201333316842042
2019-4-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,,,
2019-3-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,,,
2019-2-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,,,
2019-1-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,,,
2018-12-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,,,
2018-11-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,,,
2018-10-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,,,
2018-9-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,,,
2018-8-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,,,
2018-7-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,,,
2018-6-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,,,
2018-5-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,,,
2018-4-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,,,
2018-3-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,,,
2018-2-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,,,
2018-1-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,,,
2017-12-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,,,
2017-11-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,,,
2017-10-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,,,
2017-9-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,,,
2017-8-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,,,
2017-7-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,,,
2017-6-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,,,
2017-5-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,,,
2017-4-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,,,
2017-3-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,,,
2017-2-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,,,
2017-1-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,,,
2016-12-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,,,
2016-11-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,,,
2016-10-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,,,
2016-9-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,,,
2016-8-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,,,
2016-7-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,,,
2016-6-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,,,
2016-5-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,,,
2016-4-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,,,
2016-3-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,,,
2016-2-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,,,
2016-1-15,,,"THE CONCERTO,YEE KUK ST|弦雅,醫局街",,,294.0,,,283.0,,,212.0,,,214.0,250.75,,
