,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_change,npsf_change
2019-12-15,9492689.42857143,22381.571428571428,7,66448826.0,156671.0,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",13050297.0,20423.0,639.0,10163728.0,23152.0,439.0,6507396.0,23324.0,279.0,5472320.0,24430.0,224.0,10885952.0,21056.0,517.0,10911285.0,21105.0,517.0,9457848.0,23181.0,408.0,-0.014773703384443282,-0.01477172682681438
2018-9-15,9756995.857142856,22978.428571428572,7,68298971.0,160849.0,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",13642650.0,21350.0,639.0,9944228.0,22652.0,439.0,6707160.0,24040.0,279.0,5638976.0,25174.0,224.0,11181159.0,21627.0,517.0,11451550.0,22150.0,517.0,9733248.0,23856.0,408.0,-0.05677829971852766,-0.05677560091713518
2018-8-15,10344329.285714285,24361.571428571428,7,72410305.0,170531.0,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",14464403.999999998,22636.0,639.0,10543463.0,24017.0,439.0,7111152.0,25488.0,279.0,5978560.0,26690.0,224.0,11854810.0,22930.0,517.0,12141228.0,23484.0,517.0,10316688.0,25286.0,408.0,0.003118506502614471,0.0031176287198311226
2018-7-15,10312170.714285715,24285.85714285714,7,72185195.0,170001.0,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",14419674.0,22566.0,639.0,10511416.0,23944.0,439.0,7089390.0,25410.0,279.0,5960192.0,26608.0,224.0,11818103.0,22859.0,517.0,12104004.0,23412.0,517.0,10282416.0,25202.0,408.0,,
2018-6-15,,,7,,,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",,,639.0,,,439.0,,,279.0,,,224.0,,,517.0,,,517.0,,,408.0,,
2018-5-15,,,7,,,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",,,639.0,,,439.0,,,279.0,,,224.0,,,517.0,,,517.0,,,408.0,,
2018-4-15,,,7,,,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",,,639.0,,,439.0,,,279.0,,,224.0,,,517.0,,,517.0,,,408.0,,
2018-3-15,,,7,,,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",,,639.0,,,439.0,,,279.0,,,224.0,,,517.0,,,517.0,,,408.0,,
2018-2-15,,,7,,,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",,,639.0,,,439.0,,,279.0,,,224.0,,,517.0,,,517.0,,,408.0,,
2018-1-15,,,7,,,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",,,639.0,,,439.0,,,279.0,,,224.0,,,517.0,,,517.0,,,408.0,,
2017-12-15,,,7,,,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",,,639.0,,,439.0,,,279.0,,,224.0,,,517.0,,,517.0,,,408.0,,
2017-11-15,,,7,,,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",,,639.0,,,439.0,,,279.0,,,224.0,,,517.0,,,517.0,,,408.0,,
2017-10-15,,,7,,,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",,,639.0,,,439.0,,,279.0,,,224.0,,,517.0,,,517.0,,,408.0,,
2017-9-15,,,7,,,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",,,639.0,,,439.0,,,279.0,,,224.0,,,517.0,,,517.0,,,408.0,,
2017-8-15,,,7,,,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",,,639.0,,,439.0,,,279.0,,,224.0,,,517.0,,,517.0,,,408.0,,
2017-7-15,,,7,,,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",,,639.0,,,439.0,,,279.0,,,224.0,,,517.0,,,517.0,,,408.0,,
2017-6-15,,,7,,,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",,,639.0,,,439.0,,,279.0,,,224.0,,,517.0,,,517.0,,,408.0,,
2017-5-15,,,7,,,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",,,639.0,,,439.0,,,279.0,,,224.0,,,517.0,,,517.0,,,408.0,,
2017-4-15,,,7,,,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",,,639.0,,,439.0,,,279.0,,,224.0,,,517.0,,,517.0,,,408.0,,
2017-3-15,,,7,,,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",,,639.0,,,439.0,,,279.0,,,224.0,,,517.0,,,517.0,,,408.0,,
2017-2-15,,,7,,,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",,,639.0,,,439.0,,,279.0,,,224.0,,,517.0,,,517.0,,,408.0,,
2017-1-15,,,7,,,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",,,639.0,,,439.0,,,279.0,,,224.0,,,517.0,,,517.0,,,408.0,,
2016-12-15,,,7,,,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",,,639.0,,,439.0,,,279.0,,,224.0,,,517.0,,,517.0,,,408.0,,
2016-11-15,,,7,,,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",,,639.0,,,439.0,,,279.0,,,224.0,,,517.0,,,517.0,,,408.0,,
2016-10-15,,,7,,,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",,,639.0,,,439.0,,,279.0,,,224.0,,,517.0,,,517.0,,,408.0,,
2016-9-15,,,7,,,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",,,639.0,,,439.0,,,279.0,,,224.0,,,517.0,,,517.0,,,408.0,,
2016-8-15,,,7,,,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",,,639.0,,,439.0,,,279.0,,,224.0,,,517.0,,,517.0,,,408.0,,
2016-7-15,,,7,,,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",,,639.0,,,439.0,,,279.0,,,224.0,,,517.0,,,517.0,,,408.0,,
2016-6-15,,,7,,,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",,,639.0,,,439.0,,,279.0,,,224.0,,,517.0,,,517.0,,,408.0,,
2016-5-15,,,7,,,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",,,639.0,,,439.0,,,279.0,,,224.0,,,517.0,,,517.0,,,408.0,,
2016-4-15,,,7,,,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",,,639.0,,,439.0,,,279.0,,,224.0,,,517.0,,,517.0,,,408.0,,
2016-3-15,,,7,,,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",,,639.0,,,439.0,,,279.0,,,224.0,,,517.0,,,517.0,,,408.0,,
2016-2-15,,,7,,,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",,,639.0,,,439.0,,,279.0,,,224.0,,,517.0,,,517.0,,,408.0,,
2016-1-15,,,7,,,3023,"EAST WING(THE VERTEX),TONKIN ST|東翼(恆大•睿峰),東京街",,,639.0,,,439.0,,,279.0,,,224.0,,,517.0,,,517.0,,,408.0,,
