,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_change,npsf_change
2019-12-15,6423575.0,12957.375,8,51388600.0,103659.0,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",6196457.0,12319.0,503.0,5899860.0,13140.0,449.0,7439096.0,13097.0,568.0,5774900.0,13588.0,425.0,7940054.0,11798.0,673.0,6256575.0,13455.0,465.0,6287170.0,12910.0,487.0,5594487.999999999,13352.0,419.0,-0.0002989846951312325,-0.00029896807792462177
2019-1-15,5960618.125,12023.625,8,47684945.0,96189.0,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",5740739.0,11413.0,503.0,5471065.0,12185.0,449.0,6892112.0,12134.0,568.0,5360525.0,12613.0,425.0,7377425.999999999,10962.0,673.0,5807850.0,12490.0,465.0,5836695.0,11985.0,487.0,5198533.0,12407.0,419.0,0.056419232474929526,0.056418310416026074
2018-12-15,5642284.75,11381.5,8,45138278.0,91052.0,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",5433406.0,10802.0,503.0,5178317.0,11533.0,449.0,6522912.0,11484.0,568.0,5074500.0,11940.0,425.0,6984394.0,10378.0,673.0,5498160.000000001,11824.0,465.0,5525015.0,11345.0,487.0,4921574.0,11746.0,419.0,-0.027614810995273964,-0.027616993101091447
2018-11-15,5802520.25,11704.75,8,46420162.0,93638.0,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",5586821.0,11107.0,503.0,5325140.0,11860.0,449.0,6706944.0,11808.0,568.0,5219000.0,12280.0,425.0,7183602.0,10674.0,673.0,5654400.0,12160.0,465.0,5682316.000000001,11668.0,487.0,5061939.0,12081.0,419.0,-0.05112312840464861,-0.05112329377907032
2018-10-15,6115145.625,12335.375,8,48921165.0,98683.0,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",5886609.0,11703.0,503.0,5611602.0,12498.0,449.0,7067056.0,12442.0,568.0,5500350.0,12942.0,425.0,7571923.0,11251.0,673.0,5959440.0,12816.0,465.0,5988638.999999999,12297.0,487.0,5335546.0,12734.0,419.0,-0.02178779819314991,-0.02178804730325834
2018-9-15,6251348.75,12610.125,8,50010790.0,100881.0,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",6016886.0,11962.0,503.0,5736424.0,12776.0,449.0,7223256.0,12717.0,568.0,5622749.999999999,13230.0,425.0,7741519.0,11503.0,673.0,6092430.0,13102.0,465.0,6122564.0,12572.0,487.0,5454961.0,13019.0,419.0,-0.05467761509496272,-0.054677836500618415
2018-8-15,6612927.875,13339.5,8,52903423.0,106716.0,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",6363453.0,12651.0,503.0,6067786.0,13514.0,449.0,7640168.0,13451.0,568.0,5948300.0,13996.0,425.0,8190410.0,12170.0,673.0,6444900.0,13860.0,465.0,6477100.0,13300.0,487.0,5771306.0,13774.0,419.0,0.003082696503936999,0.0030830544798285953
2018-7-15,6592604.875,13298.5,8,52740839.0,106388.0,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",6342830.0,12610.0,503.0,6048479.0,13471.0,449.0,7615176.0,13407.0,568.0,5930450.0,13954.0,425.0,8166855.0,12135.0,673.0,6425370.0,13818.0,465.0,6457133.0,13259.0,487.0,5754546.0,13734.0,419.0,,
2018-6-15,,,8,,,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",,,503.0,,,449.0,,,568.0,,,425.0,,,673.0,,,465.0,,,487.0,,,419.0,,
2018-5-15,,,8,,,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",,,503.0,,,449.0,,,568.0,,,425.0,,,673.0,,,465.0,,,487.0,,,419.0,,
2018-4-15,,,8,,,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",,,503.0,,,449.0,,,568.0,,,425.0,,,673.0,,,465.0,,,487.0,,,419.0,,
2018-3-15,,,8,,,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",,,503.0,,,449.0,,,568.0,,,425.0,,,673.0,,,465.0,,,487.0,,,419.0,,
2018-2-15,,,8,,,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",,,503.0,,,449.0,,,568.0,,,425.0,,,673.0,,,465.0,,,487.0,,,419.0,,
2018-1-15,,,8,,,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",,,503.0,,,449.0,,,568.0,,,425.0,,,673.0,,,465.0,,,487.0,,,419.0,,
2017-12-15,,,8,,,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",,,503.0,,,449.0,,,568.0,,,425.0,,,673.0,,,465.0,,,487.0,,,419.0,,
2017-11-15,,,8,,,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",,,503.0,,,449.0,,,568.0,,,425.0,,,673.0,,,465.0,,,487.0,,,419.0,,
2017-10-15,,,8,,,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",,,503.0,,,449.0,,,568.0,,,425.0,,,673.0,,,465.0,,,487.0,,,419.0,,
2017-9-15,,,8,,,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",,,503.0,,,449.0,,,568.0,,,425.0,,,673.0,,,465.0,,,487.0,,,419.0,,
2017-8-15,,,8,,,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",,,503.0,,,449.0,,,568.0,,,425.0,,,673.0,,,465.0,,,487.0,,,419.0,,
2017-7-15,,,8,,,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",,,503.0,,,449.0,,,568.0,,,425.0,,,673.0,,,465.0,,,487.0,,,419.0,,
2017-6-15,,,8,,,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",,,503.0,,,449.0,,,568.0,,,425.0,,,673.0,,,465.0,,,487.0,,,419.0,,
2017-5-15,,,8,,,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",,,503.0,,,449.0,,,568.0,,,425.0,,,673.0,,,465.0,,,487.0,,,419.0,,
2017-4-15,,,8,,,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",,,503.0,,,449.0,,,568.0,,,425.0,,,673.0,,,465.0,,,487.0,,,419.0,,
2017-3-15,,,8,,,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",,,503.0,,,449.0,,,568.0,,,425.0,,,673.0,,,465.0,,,487.0,,,419.0,,
2017-2-15,,,8,,,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",,,503.0,,,449.0,,,568.0,,,425.0,,,673.0,,,465.0,,,487.0,,,419.0,,
2017-1-15,,,8,,,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",,,503.0,,,449.0,,,568.0,,,425.0,,,673.0,,,465.0,,,487.0,,,419.0,,
2016-12-15,,,8,,,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",,,503.0,,,449.0,,,568.0,,,425.0,,,673.0,,,465.0,,,487.0,,,419.0,,
2016-11-15,,,8,,,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",,,503.0,,,449.0,,,568.0,,,425.0,,,673.0,,,465.0,,,487.0,,,419.0,,
2016-10-15,,,8,,,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",,,503.0,,,449.0,,,568.0,,,425.0,,,673.0,,,465.0,,,487.0,,,419.0,,
2016-9-15,,,8,,,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",,,503.0,,,449.0,,,568.0,,,425.0,,,673.0,,,465.0,,,487.0,,,419.0,,
2016-8-15,,,8,,,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",,,503.0,,,449.0,,,568.0,,,425.0,,,673.0,,,465.0,,,487.0,,,419.0,,
2016-7-15,,,8,,,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",,,503.0,,,449.0,,,568.0,,,425.0,,,673.0,,,465.0,,,487.0,,,419.0,,
2016-6-15,,,8,,,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",,,503.0,,,449.0,,,568.0,,,425.0,,,673.0,,,465.0,,,487.0,,,419.0,,
2016-5-15,,,8,,,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",,,503.0,,,449.0,,,568.0,,,425.0,,,673.0,,,465.0,,,487.0,,,419.0,,
2016-4-15,,,8,,,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",,,503.0,,,449.0,,,568.0,,,425.0,,,673.0,,,465.0,,,487.0,,,419.0,,
2016-3-15,,,8,,,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",,,503.0,,,449.0,,,568.0,,,425.0,,,673.0,,,465.0,,,487.0,,,419.0,,
2016-2-15,,,8,,,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",,,503.0,,,449.0,,,568.0,,,425.0,,,673.0,,,465.0,,,487.0,,,419.0,,
2016-1-15,,,8,,,3989,"WETLAND SEASONS PARK(Block 10),WETLAND PARK RD|WETLAND SEASONS PARK10座,濕地公園路",,,503.0,,,449.0,,,568.0,,,425.0,,,673.0,,,465.0,,,487.0,,,419.0,,
