,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,15242899.0,13283.666666666666,3,45728697.0,39851.0,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",16085712.000000002,12646.0,1272.0,15938745.0,12885.0,1237.0,13704240.000000002,14320.0,957.0,-0.0003030875337304284,-0.0003010310312820952
2018-4-15,,,3,,,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2018-3-15,,,3,,,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2018-2-15,,,3,,,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2018-1-15,,,3,,,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2017-12-15,,,3,,,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2017-11-15,,,3,,,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2017-10-15,,,3,,,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2017-9-15,,,3,,,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2017-8-15,,,3,,,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2017-7-15,,,3,,,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2017-6-15,,,3,,,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2017-5-15,,,3,,,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2017-4-15,,,3,,,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2017-3-15,,,3,,,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2017-2-15,,,3,,,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2017-1-15,,,3,,,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2016-12-15,,,3,,,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2016-11-15,,,3,,,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2016-10-15,,,3,,,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2016-9-15,,,3,,,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2016-8-15,,,3,,,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2016-7-15,,,3,,,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2016-6-15,,,3,,,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2016-5-15,,,3,,,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2016-4-15,,,3,,,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2016-3-15,,,3,,,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2016-2-15,,,3,,,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2016-1-15,,,3,,,3466,"WETLAND SEASONS PARK(Phase 2),Block V6,WETLAND PARK RD|WETLAND SEASONS PARK2期,V6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
