,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_change,npsf_change
2019-12-15,7300263.0,15617.714285714286,7,51101841.0,109324.0,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",13426866.0,16638.0,807.0,6565512.0,15412.0,426.0,6501370.0,15857.0,410.0,8354016.0,14256.0,586.0,6677481.0,15861.0,421.0,4871532.0,15564.0,313.0,4705064.0,15736.0,299.0,-0.036012883912194926,-0.03604556837019013
2017-8-15,,,7,,,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",,,807.0,,,426.0,,,410.0,,,586.0,,,421.0,,,313.0,,,299.0,,
2017-7-15,,,7,,,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",,,807.0,,,426.0,,,410.0,,,586.0,,,421.0,,,313.0,,,299.0,,
2017-6-15,,,7,,,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",,,807.0,,,426.0,,,410.0,,,586.0,,,421.0,,,313.0,,,299.0,,
2017-5-15,,,7,,,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",,,807.0,,,426.0,,,410.0,,,586.0,,,421.0,,,313.0,,,299.0,,
2017-4-15,,,7,,,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",,,807.0,,,426.0,,,410.0,,,586.0,,,421.0,,,313.0,,,299.0,,
2017-3-15,,,7,,,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",,,807.0,,,426.0,,,410.0,,,586.0,,,421.0,,,313.0,,,299.0,,
2017-2-15,,,7,,,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",,,807.0,,,426.0,,,410.0,,,586.0,,,421.0,,,313.0,,,299.0,,
2017-1-15,,,7,,,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",,,807.0,,,426.0,,,410.0,,,586.0,,,421.0,,,313.0,,,299.0,,
2016-12-15,,,7,,,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",,,807.0,,,426.0,,,410.0,,,586.0,,,421.0,,,313.0,,,299.0,,
2016-11-15,,,7,,,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",,,807.0,,,426.0,,,410.0,,,586.0,,,421.0,,,313.0,,,299.0,,
2016-10-15,,,7,,,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",,,807.0,,,426.0,,,410.0,,,586.0,,,421.0,,,313.0,,,299.0,,
2016-9-15,,,7,,,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",,,807.0,,,426.0,,,410.0,,,586.0,,,421.0,,,313.0,,,299.0,,
2016-8-15,,,7,,,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",,,807.0,,,426.0,,,410.0,,,586.0,,,421.0,,,313.0,,,299.0,,
2016-7-15,,,7,,,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",,,807.0,,,426.0,,,410.0,,,586.0,,,421.0,,,313.0,,,299.0,,
2016-6-15,,,7,,,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",,,807.0,,,426.0,,,410.0,,,586.0,,,421.0,,,313.0,,,299.0,,
2016-5-15,,,7,,,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",,,807.0,,,426.0,,,410.0,,,586.0,,,421.0,,,313.0,,,299.0,,
2016-4-15,,,7,,,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",,,807.0,,,426.0,,,410.0,,,586.0,,,421.0,,,313.0,,,299.0,,
2016-3-15,,,7,,,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",,,807.0,,,426.0,,,410.0,,,586.0,,,421.0,,,313.0,,,299.0,,
2016-2-15,,,7,,,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",,,807.0,,,426.0,,,410.0,,,586.0,,,421.0,,,313.0,,,299.0,,
2016-1-15,,,7,,,3262.0,"THE GRAND MARINE(Block 1),SAI SHAN RD|明翹匯1座,細山路",,,807.0,,,426.0,,,410.0,,,586.0,,,421.0,,,313.0,,,299.0,,
