,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_change,npsf_change
2019-12-15,7632753.5,15257.166666666666,6,45796521.0,91543.0,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",8634980.0,15844.0,545.0,8051850.000000001,15425.0,522.0,6319400.0,16630.0,380.0,9178702.0,15349.0,598.0,7032959.999999999,14208.0,495.0,6578629.0,14087.0,467.0,-0.04987397425792739,-0.0498712998712999
2019-1-15,7486676.333333333,14987.666666666666,6,44920058.0,89926.0,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",8540150.0,15670.0,545.0,7967285.999999999,15263.0,522.0,6258600.0,16470.0,380.0,8682362.0,14519.0,598.0,6961680.0,14064.0,495.0,6509980.0,13940.0,467.0,0.03978722629060183,0.03977522373563347
2018-12-15,7200200.333333333,14414.333333333334,6,43201202.0,86486.0,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",8212605.0,15069.0,545.0,7661916.000000001,14678.0,522.0,6020340.0,15843.0,380.0,8349874.0,13963.0,598.0,6695865.0,13527.0,495.0,6260602.0,13406.0,467.0,-0.03532572403656453,-0.03533584669953371
2018-11-15,7463866.833333333,14942.333333333334,6,44783201.0,89654.0,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",8512355.0,15619.0,545.0,7942230.0,15215.0,522.0,6241880.000000001,16426.0,380.0,8655452.0,14474.0,598.0,6941385.0,14023.0,495.0,6489898.999999999,13897.0,467.0,0.03333122590056403,0.033320655117965
2018-10-15,7223111.666666667,14460.5,6,43338670.0,86763.0,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",8237130.0,15114.0,545.0,7685406.0,14723.0,522.0,6041619.999999999,15899.0,380.0,8376186.0,14007.0,598.0,6717645.0,13571.0,495.0,6280683.0,13449.0,467.0,-0.10740458219495952,-0.10741327517386112
2018-9-15,8092257.166666667,16200.666666666666,6,48553543.0,97204.0,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",9227395.0,16931.0,545.0,8609868.0,16494.0,522.0,6769700.0,17815.0,380.0,9383816.0,15692.0,598.0,7526475.0,15205.0,495.0,7036289.0,15067.0,467.0,0.0017114709174039788,0.00170034728305124
2018-8-15,8078431.166666667,16173.166666666666,6,48470587.0,97039.0,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",9210500.0,16900.0,545.0,8594730.0,16465.0,522.0,6759440.0,17788.0,380.0,9367670.0,15665.0,598.0,7514100.0,15180.0,495.0,7024147.0,15041.0,467.0,0.006984235080915724,0.006973341496570473
2018-7-15,8022400.833333333,16061.166666666666,6,48134405.0,96367.0,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",9145645.0,16781.0,545.0,8534700.0,16350.0,522.0,6713840.0,17668.0,380.0,9302488.0,15556.0,598.0,7462620.0,15076.0,495.0,6975112.0,14936.0,467.0,0.01497817174267091,0.014966401954795261
2018-6-15,7904013.166666667,15824.333333333334,6,47424079.0,94946.0,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",9009940.0,16532.0,545.0,8408376.0,16108.0,522.0,6616180.0,17411.0,380.0,9164948.0,15326.0,598.0,7352730.0,14854.0,495.0,6871905.000000001,14715.0,467.0,0.025756560713887655,0.025744627983103507
2018-5-15,7705544.833333333,15427.166666666666,6,46233269.0,92563.0,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",8782675.0,16115.0,545.0,8196444.0,15702.0,522.0,6451260.0,16977.0,380.0,8934718.0,14941.0,598.0,7168590.000000001,14482.0,495.0,6699582.0,14346.0,467.0,0.0029158644322826444,0.0029037325965652894
2018-4-15,7683141.833333333,15382.5,6,46098851.0,92295.0,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",8755970.0,16066.0,545.0,8172432.0,15656.0,522.0,6433780.0,16931.0,380.0,8908406.0,14897.0,598.0,7148295.0,14441.0,495.0,6679968.0,14304.0,467.0,0.037746271375882934,0.0377337276110592
2018-3-15,7403680.5,14823.166666666666,6,44422083.0,88939.0,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",8436600.0,15480.0,545.0,7874892.0,15086.0,522.0,6201220.0,16319.0,380.0,8584290.0,14355.0,598.0,6888420.0,13916.0,495.0,6436661.0,13783.0,467.0,,
2018-2-15,,,6,,,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2018-1-15,,,6,,,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2017-12-15,,,6,,,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2017-11-15,,,6,,,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2017-10-15,,,6,,,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2017-9-15,,,6,,,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2017-8-15,,,6,,,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2017-7-15,,,6,,,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2017-6-15,,,6,,,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2017-5-15,,,6,,,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2017-4-15,,,6,,,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2017-3-15,,,6,,,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2017-2-15,,,6,,,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2017-1-15,,,6,,,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2016-12-15,,,6,,,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2016-11-15,,,6,,,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2016-10-15,,,6,,,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2016-9-15,,,6,,,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2016-8-15,,,6,,,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2016-7-15,,,6,,,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2016-6-15,,,6,,,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2016-5-15,,,6,,,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2016-4-15,,,6,,,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2016-3-15,,,6,,,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2016-2-15,,,6,,,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
2016-1-15,,,6,,,3007,"MARINI(Block 3A,Phase IXA,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXA期,3A座(MARINI),1 康城路",,,545.0,,,522.0,,,380.0,,,598.0,,,495.0,,,467.0,,
