,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2019-12-15,11042770.0,13498.5,2,22085540.0,26997.0,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",12742220.0,14285.0,892.0,9343320.0,12712.0,735.0,-0.04993768500704543,-0.04993665540540537
2019-1-15,10329262.5,12626.0,2,20658525.0,25252.0,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",11921579.999999998,13365.0,892.0,8736945.0,11887.0,735.0,-0.04925194348894957,-0.049246987951807264
2018-12-15,10864353.0,13280.0,2,21728706.0,26560.0,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",12539736.0,14058.0,892.0,9188970.0,12502.0,735.0,-0.06841423642139322,-0.06882165270132878
2018-11-15,11662214.5,14261.5,2,23324429.0,28523.0,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",13408544.0,15032.0,892.0,9915885.0,13491.0,735.0,0.09796549192388371,0.09796751097082157
2018-10-15,10621658.5,12989.0,2,21243317.0,25978.0,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",12212372.0,13691.0,892.0,9030945.0,12287.0,735.0,-0.0583619385849975,-0.05835870668406551
2018-9-15,11279980.0,13794.0,2,22559960.0,27588.0,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",12969680.0,14540.0,892.0,9590280.0,13048.0,735.0,-0.08899743586243869,-0.08899382491827101
2018-8-15,12381941.0,15141.5,2,24763882.0,30283.0,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",14237212.0,15961.0,892.0,10526670.0,14322.0,735.0,0.05629295369393339,0.05629774320694825
2018-7-15,11722071.0,14334.5,2,23444142.0,28669.0,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",13479012.0,15111.0,892.0,9965130.0,13558.0,735.0,0.00872105581011029,0.008725942085078042
2018-6-15,11620726.0,14210.5,2,23241452.0,28421.0,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",13363052.0,14981.0,892.0,9878400.0,13440.0,735.0,0.04889707735687776,0.04890020667257167
2018-5-15,11078995.5,13548.0,2,22157991.0,27096.0,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",12740436.0,14283.0,892.0,9417555.0,12813.0,735.0,,
2018-4-15,,,2,,,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",,,892.0,,,735.0,,
2018-3-15,,,2,,,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",,,892.0,,,735.0,,
2018-2-15,,,2,,,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",,,892.0,,,735.0,,
2018-1-15,,,2,,,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",,,892.0,,,735.0,,
2017-12-15,,,2,,,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",,,892.0,,,735.0,,
2017-11-15,,,2,,,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",,,892.0,,,735.0,,
2017-10-15,,,2,,,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",,,892.0,,,735.0,,
2017-9-15,,,2,,,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",,,892.0,,,735.0,,
2017-8-15,,,2,,,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",,,892.0,,,735.0,,
2017-7-15,,,2,,,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",,,892.0,,,735.0,,
2017-6-15,,,2,,,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",,,892.0,,,735.0,,
2017-5-15,,,2,,,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",,,892.0,,,735.0,,
2017-4-15,,,2,,,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",,,892.0,,,735.0,,
2017-3-15,,,2,,,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",,,892.0,,,735.0,,
2017-2-15,,,2,,,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",,,892.0,,,735.0,,
2017-1-15,,,2,,,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",,,892.0,,,735.0,,
2016-12-15,,,2,,,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",,,892.0,,,735.0,,
2016-11-15,,,2,,,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",,,892.0,,,735.0,,
2016-10-15,,,2,,,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",,,892.0,,,735.0,,
2016-9-15,,,2,,,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",,,892.0,,,735.0,,
2016-8-15,,,2,,,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",,,892.0,,,735.0,,
2016-7-15,,,2,,,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",,,892.0,,,735.0,,
2016-6-15,,,2,,,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",,,892.0,,,735.0,,
2016-5-15,,,2,,,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",,,892.0,,,735.0,,
2016-4-15,,,2,,,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",,,892.0,,,735.0,,
2016-3-15,,,2,,,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",,,892.0,,,735.0,,
2016-2-15,,,2,,,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",,,892.0,,,735.0,,
2016-1-15,,,2,,,1627,"THE REGENT(Block 6),SHAN TONG RD|天鑽6座,山塘路",,,892.0,,,735.0,,
