,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,14716518.333333334,12851.666666666666,3,44149555.0,38555.0,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",14054794.0,11362.0,1237.0,16439328.000000002,12924.0,1272.0,13655433.0,14269.0,957.0,-0.0003139249703469904,-0.00031114683537736276
2018-11-15,13305529.666666666,11619.0,3,39916589.0,34857.0,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",12720071.0,10283.0,1237.0,14856960.0,11680.0,1272.0,12339558.0,12894.0,957.0,-0.05117654654086745,-0.05117456515229868
2018-10-15,14023188.0,12245.666666666666,3,42069564.0,36737.0,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",13407843.0,10839.0,1237.0,15657048.0,12309.0,1272.0,13004673.0,13589.0,957.0,-0.021891967906099263,-0.021885566708378823
2018-9-15,14337054.333333334,12519.666666666666,3,43011163.0,37559.0,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",13709671.0,11083.0,1237.0,16006848.0,12584.0,1272.0,13294644.0,13892.0,957.0,-0.05478752556328437,-0.05478659150392595
2018-8-15,15168075.666666666,13245.333333333334,3,45504227.0,39736.0,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",14505062.0,11726.0,1237.0,16934136.0,13313.0,1272.0,14065029.0,14697.0,957.0,0.08613195382405969,0.07560295590504285
2018-7-15,13965223.666666666,12314.333333333334,3,41895671.0,36943.0,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",14464241.0,11693.0,1237.0,13193184.0,10372.0,1272.0,14238246.0,14878.0,957.0,,
2018-6-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2018-5-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2018-4-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2018-3-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2018-2-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2018-1-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2017-12-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2017-11-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2017-10-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2017-9-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2017-8-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2017-7-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2017-6-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2017-5-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2017-4-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2017-3-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2017-2-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2017-1-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2016-12-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2016-11-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2016-10-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2016-9-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2016-8-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2016-7-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2016-6-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2016-5-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2016-4-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2016-3-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2016-2-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2016-1-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V9),WETLAND PARK RD|WETLAND SEASONS PARKV9座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
