,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,14202183.0,12412.333333333334,3,42606549.0,37237.0,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",14090667.0,11391.0,1237.0,15269088.000000002,12004.0,1272.0,13246794.0,13842.0,957.0,-0.0003775692740961567,-0.0003758288368097551
2019-1-15,13195624.0,11532.0,3,39586872.0,34596.0,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",13096119.0,10587.0,1237.0,14190432.0,11156.0,1272.0,12300321.0,12853.0,957.0,0.05626703345162376,0.056269654688120285
2018-12-15,12492697.0,10917.666666666666,3,37478091.0,32753.0,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",12398451.0,10023.0,1237.0,13434864.0,10562.0,1272.0,11644776.0,12168.0,957.0,-0.027701439430588004,-0.027696966098676
2018-11-15,12848622.333333334,11228.666666666666,3,38545867.0,33686.0,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",12752233.0,10309.0,1237.0,13817735.999999998,10863.0,1272.0,11975898.0,12514.0,957.0,-0.051295982498065995,-0.05128566198214435
2018-10-15,13543341.333333334,11835.666666666666,3,40630024.0,35507.0,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",13442479.0,10867.0,1237.0,14565672.0,11451.0,1272.0,12621873.0,13189.0,957.0,-0.0219312352346428,-0.021926562543040595
2018-9-15,13847023.666666666,12101.0,3,41541071.0,36303.0,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",13744307.0,11111.0,1237.0,14892576.0,11708.0,1272.0,12904188.0,13484.0,957.0,-0.0548115529630564,-0.05480629035617579
2018-8-15,14650013.666666666,12802.666666666666,3,43950041.0,38408.0,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",14542172.0,11756.0,1237.0,15756264.0,12387.0,1272.0,13651605.0,14265.0,957.0,,
2018-7-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2018-6-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2018-5-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2018-4-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2018-3-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2018-2-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2018-1-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2017-12-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2017-11-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2017-10-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2017-9-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2017-8-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2017-7-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2017-6-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2017-5-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2017-4-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2017-3-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2017-2-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2017-1-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2016-12-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2016-11-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2016-10-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2016-9-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2016-8-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2016-7-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2016-6-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2016-5-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2016-4-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2016-3-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2016-2-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
2016-1-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V11),WETLAND PARK RD|WETLAND SEASONS PARKV11座,濕地公園路",,,1237.0,,,1272.0,,,957.0,,
