,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_change,npsf_change
2019-12-15,8498038.6,14584.4,5,42490193.0,72922.0,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",8308228.0,15161.0,548.0,8416142.0,15386.0,547.0,11535162.999999998,14437.0,799.0,7298572.0,13466.0,542.0,6932088.0,14472.0,479.0,-0.04989952436831191,-0.04990097977902852
2019-1-15,8405665.8,14426.4,5,42028329.0,72132.0,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",8213424.0,14988.0,548.0,8324793.000000001,15219.0,547.0,11404926.0,14274.0,799.0,7229738.0,13339.0,542.0,6855448.000000001,14312.0,479.0,0.03989184200002893,0.03989043465724795
2018-12-15,8083211.6,13873.0,5,40416058.0,69365.0,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",7897776.0,14412.0,548.0,8005892.0,14636.0,547.0,10967074.0,13726.0,799.0,6953318.0,12829.0,542.0,6591998.0,13762.0,479.0,-0.035278521990383616,-0.035284136741676186
2018-11-15,8378803.4,14380.4,5,41894017.0,71902.0,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",8186572.000000001,14939.0,548.0,8298537.0,15171.0,547.0,11367373.0,14227.0,799.0,7208600.0,13300.0,542.0,6832935.0,14265.0,479.0,0.033409192453969894,0.03340136249964054
2018-10-15,8107924.2,13915.6,5,40539621.0,69578.0,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",7921340.0,14455.0,548.0,8030506.999999999,14681.0,547.0,10999034.0,13766.0,799.0,6976624.000000001,12872.0,542.0,6612115.999999999,13804.0,479.0,,
2018-9-15,,,5,,,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2018-8-15,,,5,,,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2018-7-15,,,5,,,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2018-6-15,,,5,,,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2018-5-15,,,5,,,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2018-4-15,,,5,,,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2018-3-15,,,5,,,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2018-2-15,,,5,,,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2018-1-15,,,5,,,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2017-12-15,,,5,,,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2017-11-15,,,5,,,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2017-10-15,,,5,,,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2017-9-15,,,5,,,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2017-8-15,,,5,,,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2017-7-15,,,5,,,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2017-6-15,,,5,,,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2017-5-15,,,5,,,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2017-4-15,,,5,,,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2017-3-15,,,5,,,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2017-2-15,,,5,,,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2017-1-15,,,5,,,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2016-12-15,,,5,,,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2016-11-15,,,5,,,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2016-10-15,,,5,,,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2016-9-15,,,5,,,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2016-8-15,,,5,,,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2016-7-15,,,5,,,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2016-6-15,,,5,,,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2016-5-15,,,5,,,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2016-4-15,,,5,,,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2016-3-15,,,5,,,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2016-2-15,,,5,,,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
2016-1-15,,,5,,,2915,"OCEAN MARINI(Block 1B,Phase IXC,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXC期,1B座(OCEAN MARINI),1 康城路",,,548.0,,,547.0,,,799.0,,,542.0,,,479.0,,
