,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_DF,npsf_DF,nfa_DF,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_change,npsf_change
2019-12-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",8570896.0,17456.0,491.0,7675162.0,21439.0,358.0,8615202.0,17618.0,489.0,8794188.0,17802.0,494.0,,,1254.0,7248210.0,20190.0,359.0,7857561.0,18231.0,431.0,6225667.0,18923.0,329.0,6118420.0,21098.0,290.0,,
2017-9-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",,,491.0,,,358.0,,,489.0,,,494.0,,,1254.0,,,359.0,,,431.0,,,329.0,,,290.0,,
2017-8-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",,,491.0,,,358.0,,,489.0,,,494.0,,,1254.0,,,359.0,,,431.0,,,329.0,,,290.0,,
2017-7-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",,,491.0,,,358.0,,,489.0,,,494.0,,,1254.0,,,359.0,,,431.0,,,329.0,,,290.0,,
2017-6-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",,,491.0,,,358.0,,,489.0,,,494.0,,,1254.0,,,359.0,,,431.0,,,329.0,,,290.0,,
2017-5-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",,,491.0,,,358.0,,,489.0,,,494.0,,,1254.0,,,359.0,,,431.0,,,329.0,,,290.0,,
2017-4-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",,,491.0,,,358.0,,,489.0,,,494.0,,,1254.0,,,359.0,,,431.0,,,329.0,,,290.0,,
2017-3-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",,,491.0,,,358.0,,,489.0,,,494.0,,,1254.0,,,359.0,,,431.0,,,329.0,,,290.0,,
2017-2-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",,,491.0,,,358.0,,,489.0,,,494.0,,,1254.0,,,359.0,,,431.0,,,329.0,,,290.0,,
2017-1-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",,,491.0,,,358.0,,,489.0,,,494.0,,,1254.0,,,359.0,,,431.0,,,329.0,,,290.0,,
2016-12-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",,,491.0,,,358.0,,,489.0,,,494.0,,,1254.0,,,359.0,,,431.0,,,329.0,,,290.0,,
2016-11-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",,,491.0,,,358.0,,,489.0,,,494.0,,,1254.0,,,359.0,,,431.0,,,329.0,,,290.0,,
2016-10-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",,,491.0,,,358.0,,,489.0,,,494.0,,,1254.0,,,359.0,,,431.0,,,329.0,,,290.0,,
2016-9-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",,,491.0,,,358.0,,,489.0,,,494.0,,,1254.0,,,359.0,,,431.0,,,329.0,,,290.0,,
2016-8-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",,,491.0,,,358.0,,,489.0,,,494.0,,,1254.0,,,359.0,,,431.0,,,329.0,,,290.0,,
2016-7-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",,,491.0,,,358.0,,,489.0,,,494.0,,,1254.0,,,359.0,,,431.0,,,329.0,,,290.0,,
2016-6-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",,,491.0,,,358.0,,,489.0,,,494.0,,,1254.0,,,359.0,,,431.0,,,329.0,,,290.0,,
2016-5-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",,,491.0,,,358.0,,,489.0,,,494.0,,,1254.0,,,359.0,,,431.0,,,329.0,,,290.0,,
2016-4-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",,,491.0,,,358.0,,,489.0,,,494.0,,,1254.0,,,359.0,,,431.0,,,329.0,,,290.0,,
2016-3-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",,,491.0,,,358.0,,,489.0,,,494.0,,,1254.0,,,359.0,,,431.0,,,329.0,,,290.0,,
2016-2-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",,,491.0,,,358.0,,,489.0,,,494.0,,,1254.0,,,359.0,,,431.0,,,329.0,,,290.0,,
2016-1-15,,,9,,,4495,"LIME GALA(Block 1B),SHAU KEI WAN RD|形薈1B座,筲箕灣道",,,491.0,,,358.0,,,489.0,,,494.0,,,1254.0,,,359.0,,,431.0,,,329.0,,,290.0,,
