,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_H21-A,npsf_H21-A,nfa_H21-A,lumpSum_H21-B,npsf_H21-B,nfa_H21-B,lumpSum_change,npsf_change
2019-12-15,8328349.5,19666.5,2,16656699.0,39333.0,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",10644336.0,18384.0,579.0,6012363.0,20949.0,287.0,-0.02046763885799885,-0.02044628181501218
2018-9-15,8200803.0,19363.0,2,16401606.0,38726.0,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",10483953.0,18107.0,579.0,5917653.0,20619.0,287.0,-0.03448692802704778,-0.0344810391682665
2018-8-15,8493725.5,20054.5,2,16987451.0,40109.0,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",10858566.0,18754.0,579.0,6128885.0,21355.0,287.0,-0.006061826263026204,-0.0060712692669872
2018-7-15,8545527.0,20177.0,2,17091054.0,40354.0,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",10924572.0,18868.0,579.0,6166482.0,21486.0,287.0,-0.021964666546570477,-0.02195831313620944
2018-6-15,8737442.0,20630.0,2,17474884.0,41260.0,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",11170068.0,19292.0,579.0,6304816.0,21968.0,287.0,0.01810840901953914,0.018111829442826854
2018-5-15,8582035.0,20263.0,2,17164070.0,40526.0,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",10971471.000000002,18949.0,579.0,6192599.0,21577.0,287.0,0.0018529300605725219,0.001854095077995499
2018-4-15,8566162.5,20225.5,2,17132325.0,40451.0,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",10951206.0,18914.0,579.0,6181119.0,21537.0,287.0,0.05013180951465612,0.0501298026998962
2018-3-15,8157226.0,19260.0,2,16314452.0,38520.0,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",10428369.0,18011.0,579.0,5886083.0,20509.0,287.0,0.0021804838098953283,0.0021854511395567044
2018-2-15,8139478.0,19218.0,2,16278956.0,38436.0,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",10405788.0,17972.0,579.0,5873168.0,20464.0,287.0,,
2018-1-15,,,2,,,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",,,579.0,,,287.0,,
2017-12-15,,,2,,,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",,,579.0,,,287.0,,
2017-11-15,,,2,,,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",,,579.0,,,287.0,,
2017-10-15,,,2,,,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",,,579.0,,,287.0,,
2017-9-15,,,2,,,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",,,579.0,,,287.0,,
2017-8-15,,,2,,,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",,,579.0,,,287.0,,
2017-7-15,,,2,,,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",,,579.0,,,287.0,,
2017-6-15,,,2,,,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",,,579.0,,,287.0,,
2017-5-15,,,2,,,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",,,579.0,,,287.0,,
2017-4-15,,,2,,,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",,,579.0,,,287.0,,
2017-3-15,,,2,,,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",,,579.0,,,287.0,,
2017-2-15,,,2,,,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",,,579.0,,,287.0,,
2017-1-15,,,2,,,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",,,579.0,,,287.0,,
2016-12-15,,,2,,,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",,,579.0,,,287.0,,
2016-11-15,,,2,,,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",,,579.0,,,287.0,,
2016-10-15,,,2,,,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",,,579.0,,,287.0,,
2016-9-15,,,2,,,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",,,579.0,,,287.0,,
2016-8-15,,,2,,,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",,,579.0,,,287.0,,
2016-7-15,,,2,,,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",,,579.0,,,287.0,,
2016-6-15,,,2,,,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",,,579.0,,,287.0,,
2016-5-15,,,2,,,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",,,579.0,,,287.0,,
2016-4-15,,,2,,,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",,,579.0,,,287.0,,
2016-3-15,,,2,,,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",,,579.0,,,287.0,,
2016-2-15,,,2,,,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",,,579.0,,,287.0,,
2016-1-15,,,2,,,866,"ALTISSIMO(Block H21),YIU SHA RD|泓碧H21座,耀沙路",,,579.0,,,287.0,,
