,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_AB,npsf_AB,nfa_AB,lumpSum_ABC,npsf_ABC,nfa_ABC,lumpSum_AC,npsf_AC,nfa_AC,lumpSum_B,npsf_B,nfa_B,lumpSum_BC,npsf_BC,nfa_BC,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",51324394.0,27698.0,1853.0,,,4111.0,,,4171.0,,,3220.0,30169344.0,23136.0,1304.0,,,3359.0,33449123.0,24469.0,1367.0,,
2019-1-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",46675217.0,25189.0,1853.0,,,4111.0,,,4171.0,90610799.99999999,28140.0,3220.0,27562648.0,21137.0,1304.0,93776562.0,27918.0,3359.0,31356246.0,22938.0,1367.0,,
2018-12-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",44774039.0,24163.0,1853.0,,,4111.0,,,4171.0,86933560.00000001,26998.0,3220.0,26438599.999999996,20275.0,1304.0,89967456.0,26784.0,3359.0,30058963.0,21989.0,1367.0,,
2018-11-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",48229884.0,26028.0,1853.0,,,4111.0,,,4171.0,93656920.0,29086.0,3220.0,28480664.0,21841.0,1304.0,96927304.0,28856.0,3359.0,32359623.999999996,23672.0,1367.0,,
2018-10-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",46923519.0,25323.0,1853.0,,,4111.0,,,4171.0,93914520.0,29166.0,3220.0,27824752.0,21338.0,1304.0,97441231.0,29009.0,3359.0,31462872.0,23016.0,1367.0,,
2018-9-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",,,1853.0,,,4111.0,,,4171.0,,,3220.0,,,1304.0,,,3359.0,,,1367.0,,
2018-8-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",,,1853.0,,,4111.0,,,4171.0,,,3220.0,,,1304.0,,,3359.0,,,1367.0,,
2018-7-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",,,1853.0,,,4111.0,,,4171.0,,,3220.0,,,1304.0,,,3359.0,,,1367.0,,
2018-6-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",,,1853.0,,,4111.0,,,4171.0,,,3220.0,,,1304.0,,,3359.0,,,1367.0,,
2018-5-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",,,1853.0,,,4111.0,,,4171.0,,,3220.0,,,1304.0,,,3359.0,,,1367.0,,
2018-4-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",,,1853.0,,,4111.0,,,4171.0,,,3220.0,,,1304.0,,,3359.0,,,1367.0,,
2018-3-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",,,1853.0,,,4111.0,,,4171.0,,,3220.0,,,1304.0,,,3359.0,,,1367.0,,
2018-2-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",,,1853.0,,,4111.0,,,4171.0,,,3220.0,,,1304.0,,,3359.0,,,1367.0,,
2018-1-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",,,1853.0,,,4111.0,,,4171.0,,,3220.0,,,1304.0,,,3359.0,,,1367.0,,
2017-12-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",,,1853.0,,,4111.0,,,4171.0,,,3220.0,,,1304.0,,,3359.0,,,1367.0,,
2017-11-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",,,1853.0,,,4111.0,,,4171.0,,,3220.0,,,1304.0,,,3359.0,,,1367.0,,
2017-10-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",,,1853.0,,,4111.0,,,4171.0,,,3220.0,,,1304.0,,,3359.0,,,1367.0,,
2017-9-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",,,1853.0,,,4111.0,,,4171.0,,,3220.0,,,1304.0,,,3359.0,,,1367.0,,
2017-8-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",,,1853.0,,,4111.0,,,4171.0,,,3220.0,,,1304.0,,,3359.0,,,1367.0,,
2017-7-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",,,1853.0,,,4111.0,,,4171.0,,,3220.0,,,1304.0,,,3359.0,,,1367.0,,
2017-6-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",,,1853.0,,,4111.0,,,4171.0,,,3220.0,,,1304.0,,,3359.0,,,1367.0,,
2017-5-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",,,1853.0,,,4111.0,,,4171.0,,,3220.0,,,1304.0,,,3359.0,,,1367.0,,
2017-4-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",,,1853.0,,,4111.0,,,4171.0,,,3220.0,,,1304.0,,,3359.0,,,1367.0,,
2017-3-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",,,1853.0,,,4111.0,,,4171.0,,,3220.0,,,1304.0,,,3359.0,,,1367.0,,
2017-2-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",,,1853.0,,,4111.0,,,4171.0,,,3220.0,,,1304.0,,,3359.0,,,1367.0,,
2017-1-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",,,1853.0,,,4111.0,,,4171.0,,,3220.0,,,1304.0,,,3359.0,,,1367.0,,
2016-12-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",,,1853.0,,,4111.0,,,4171.0,,,3220.0,,,1304.0,,,3359.0,,,1367.0,,
2016-11-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",,,1853.0,,,4111.0,,,4171.0,,,3220.0,,,1304.0,,,3359.0,,,1367.0,,
2016-10-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",,,1853.0,,,4111.0,,,4171.0,,,3220.0,,,1304.0,,,3359.0,,,1367.0,,
2016-9-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",,,1853.0,,,4111.0,,,4171.0,,,3220.0,,,1304.0,,,3359.0,,,1367.0,,
2016-8-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",,,1853.0,,,4111.0,,,4171.0,,,3220.0,,,1304.0,,,3359.0,,,1367.0,,
2016-7-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",,,1853.0,,,4111.0,,,4171.0,,,3220.0,,,1304.0,,,3359.0,,,1367.0,,
2016-6-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",,,1853.0,,,4111.0,,,4171.0,,,3220.0,,,1304.0,,,3359.0,,,1367.0,,
2016-5-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",,,1853.0,,,4111.0,,,4171.0,,,3220.0,,,1304.0,,,3359.0,,,1367.0,,
2016-4-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",,,1853.0,,,4111.0,,,4171.0,,,3220.0,,,1304.0,,,3359.0,,,1367.0,,
2016-3-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",,,1853.0,,,4111.0,,,4171.0,,,3220.0,,,1304.0,,,3359.0,,,1367.0,,
2016-2-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",,,1853.0,,,4111.0,,,4171.0,,,3220.0,,,1304.0,,,3359.0,,,1367.0,,
2016-1-15,,,7,,,19385,"CULLINAN WEST(Block 1A),SHAM MONG RD|匯璽1A座,深旺道",,,1853.0,,,4111.0,,,4171.0,,,3220.0,,,1304.0,,,3359.0,,,1367.0,,
