,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_change,npsf_change
2019-12-15,6556303.7,14121.9,10,65563037.0,141219.0,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",5517792.0,14076.0,392.0,5522244.0,14196.0,389.0,6598581.0,14631.0,451.0,6792511.0,15061.0,451.0,5952552.0,15108.0,394.0,7880904.0,14277.0,552.0,7439747.0,13601.0,547.0,7241052.0,13262.0,546.0,7086650.0,13075.0,542.0,5531004.000000001,13932.0,397.0,-0.0201347452583428,-0.020135858063710432
2018-12-15,6246447.3,13454.5,10,62464473.0,134545.0,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",5256328.0,13409.0,392.0,5261225.0,13525.0,389.0,6287390.999999999,13941.0,451.0,6471399.0,14349.0,451.0,5671236.0,14394.0,394.0,7507200.0,13600.0,552.0,7088573.0,12959.0,547.0,6898710.0,12635.0,546.0,6752236.0,12458.0,542.0,5270175.000000001,13275.0,397.0,-0.037178198201094914,-0.03717618434235004
2018-11-15,6487646.3,13974.0,10,64876463.0,139740.0,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",5458992.0,13926.0,392.0,5464283.0,14047.0,389.0,6530480.0,14480.0,451.0,6721253.0,14903.0,451.0,5890300.0,14950.0,394.0,7797000.0,14125.0,552.0,7362620.0,13460.0,547.0,7165158.0,13123.0,546.0,7012938.0,12939.0,542.0,5473439.000000001,13787.0,397.0,-0.02231238529948454,-0.02231177717608046
2018-10-15,6635704.7,14292.9,10,66357047.0,142929.0,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",5583256.0,14243.0,392.0,5588763.0,14367.0,389.0,6680212.0,14812.0,451.0,6874593.0,15243.0,451.0,6024654.0,15291.0,394.0,7974744.0,14447.0,552.0,7530549.0,13767.0,547.0,7328412.0,13422.0,546.0,7173370.0,13235.0,542.0,5598494.0,14102.0,397.0,-0.03682606012960721,-0.0368276345404801
2018-9-15,6889414.7,14839.4,10,68894147.0,148394.0,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",5796504.0,14787.0,392.0,5802324.0,14916.0,389.0,6935929.0,15379.0,451.0,7137526.0,15826.0,451.0,6255144.0,15876.0,394.0,8278896.0,14998.0,552.0,7818818.0,14294.0,547.0,7608510.0,13935.0,546.0,7447622.0,13741.0,542.0,5812874.0,14642.0,397.0,-0.026752605826407483,-0.026752277452401385
2018-8-15,7078790.8,15247.3,10,70787908.0,152473.0,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",5955656.0,15193.0,392.0,5961814.0,15326.0,389.0,7126702.0,15802.0,451.0,7333711.0,16261.0,451.0,6427322.0,16313.0,394.0,8506320.0,15410.0,552.0,8033789.0,14687.0,547.0,7817628.0,14318.0,546.0,7652498.0,14119.0,542.0,5972468.0,15044.0,397.0,0.010423874422482715,0.010424121935056263
2018-7-15,7005763.6,15090.0,10,70057636.0,150900.0,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",5894112.0,15036.0,392.0,5900352.0,15168.0,389.0,7053640.0,15640.0,451.0,7257943.0,16093.0,451.0,6360736.0,16144.0,394.0,8418000.0,15250.0,552.0,7951192.0,14536.0,547.0,7736820.0,14170.0,546.0,7573908.0,13974.0,542.0,5910933.0,14889.0,397.0,0.008513502998974909,0.008514562977022688
2018-6-15,6946623.5,14962.6,10,69466235.0,149626.0,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",5843936.0,14908.0,392.0,5850171.0,15039.0,389.0,6994559.000000001,15509.0,451.0,7196607.0,15957.0,451.0,6307152.0,16008.0,394.0,8346792.0,15121.0,552.0,7884458.0,14414.0,547.0,7671300.0,14050.0,546.0,7509952.0,13856.0,542.0,5861308.0,14764.0,397.0,0.026714726476619877,0.02671323584912133
2018-5-15,6765875.0,14573.3,10,67658750.0,145733.0,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",5691840.0,14520.0,392.0,5698072.0,14648.0,389.0,6812806.0,15106.0,451.0,7008991.0,15541.0,451.0,6143248.0,15592.0,394.0,8129304.0,14727.0,552.0,7679333.0,14039.0,547.0,7471463.999999999,13684.0,546.0,7314832.0,13496.0,542.0,5708860.0,14380.0,397.0,0.02180417252064104,0.021805739607216212
2018-4-15,6621498.7,14262.3,10,66214987.0,142623.0,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",5569928.0,14209.0,392.0,5576315.0,14335.0,389.0,6668035.0,14785.0,451.0,6859710.0,15210.0,451.0,6012046.0,15259.0,394.0,7955424.0,14412.0,552.0,7515780.0,13740.0,547.0,7312032.0,13392.0,546.0,7158736.0,13208.0,542.0,5586981.0,14073.0,397.0,0.02065333232627009,0.020653084007814515
2018-3-15,6487510.0,13973.7,10,64875100.0,139737.0,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",5457032.0,13921.0,392.0,5463505.0,14045.0,389.0,6533186.0,14486.0,451.0,6720802.0,14902.0,451.0,5890300.0,14950.0,394.0,7794240.0,14120.0,552.0,7363714.0,13462.0,547.0,7164066.0,13121.0,546.0,7014022.0,12941.0,542.0,5474233.0,13789.0,397.0,0.011099320815046942,0.011099614335434271
2018-2-15,6416293.5,13820.3,10,64162935.0,138203.0,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",5397056.0,13768.0,392.0,5403210.0,13890.0,389.0,6461928.0,14328.0,451.0,6646838.0,14738.0,451.0,5825684.0,14786.0,394.0,7708128.0,13964.0,552.0,7283305.0,13315.0,547.0,7085442.0,12977.0,546.0,6937058.0,12799.0,542.0,5414286.0,13638.0,397.0,,
2018-1-15,,,10,,,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",,,392.0,,,389.0,,,451.0,,,451.0,,,394.0,,,552.0,,,547.0,,,546.0,,,542.0,,,397.0,,
2017-12-15,,,10,,,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",,,392.0,,,389.0,,,451.0,,,451.0,,,394.0,,,552.0,,,547.0,,,546.0,,,542.0,,,397.0,,
2017-11-15,,,10,,,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",,,392.0,,,389.0,,,451.0,,,451.0,,,394.0,,,552.0,,,547.0,,,546.0,,,542.0,,,397.0,,
2017-10-15,,,10,,,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",,,392.0,,,389.0,,,451.0,,,451.0,,,394.0,,,552.0,,,547.0,,,546.0,,,542.0,,,397.0,,
2017-9-15,,,10,,,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",,,392.0,,,389.0,,,451.0,,,451.0,,,394.0,,,552.0,,,547.0,,,546.0,,,542.0,,,397.0,,
2017-8-15,,,10,,,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",,,392.0,,,389.0,,,451.0,,,451.0,,,394.0,,,552.0,,,547.0,,,546.0,,,542.0,,,397.0,,
2017-7-15,,,10,,,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",,,392.0,,,389.0,,,451.0,,,451.0,,,394.0,,,552.0,,,547.0,,,546.0,,,542.0,,,397.0,,
2017-6-15,,,10,,,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",,,392.0,,,389.0,,,451.0,,,451.0,,,394.0,,,552.0,,,547.0,,,546.0,,,542.0,,,397.0,,
2017-5-15,,,10,,,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",,,392.0,,,389.0,,,451.0,,,451.0,,,394.0,,,552.0,,,547.0,,,546.0,,,542.0,,,397.0,,
2017-4-15,,,10,,,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",,,392.0,,,389.0,,,451.0,,,451.0,,,394.0,,,552.0,,,547.0,,,546.0,,,542.0,,,397.0,,
2017-3-15,,,10,,,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",,,392.0,,,389.0,,,451.0,,,451.0,,,394.0,,,552.0,,,547.0,,,546.0,,,542.0,,,397.0,,
2017-2-15,,,10,,,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",,,392.0,,,389.0,,,451.0,,,451.0,,,394.0,,,552.0,,,547.0,,,546.0,,,542.0,,,397.0,,
2017-1-15,,,10,,,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",,,392.0,,,389.0,,,451.0,,,451.0,,,394.0,,,552.0,,,547.0,,,546.0,,,542.0,,,397.0,,
2016-12-15,,,10,,,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",,,392.0,,,389.0,,,451.0,,,451.0,,,394.0,,,552.0,,,547.0,,,546.0,,,542.0,,,397.0,,
2016-11-15,,,10,,,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",,,392.0,,,389.0,,,451.0,,,451.0,,,394.0,,,552.0,,,547.0,,,546.0,,,542.0,,,397.0,,
2016-10-15,,,10,,,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",,,392.0,,,389.0,,,451.0,,,451.0,,,394.0,,,552.0,,,547.0,,,546.0,,,542.0,,,397.0,,
2016-9-15,,,10,,,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",,,392.0,,,389.0,,,451.0,,,451.0,,,394.0,,,552.0,,,547.0,,,546.0,,,542.0,,,397.0,,
2016-8-15,,,10,,,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",,,392.0,,,389.0,,,451.0,,,451.0,,,394.0,,,552.0,,,547.0,,,546.0,,,542.0,,,397.0,,
2016-7-15,,,10,,,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",,,392.0,,,389.0,,,451.0,,,451.0,,,394.0,,,552.0,,,547.0,,,546.0,,,542.0,,,397.0,,
2016-6-15,,,10,,,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",,,392.0,,,389.0,,,451.0,,,451.0,,,394.0,,,552.0,,,547.0,,,546.0,,,542.0,,,397.0,,
2016-5-15,,,10,,,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",,,392.0,,,389.0,,,451.0,,,451.0,,,394.0,,,552.0,,,547.0,,,546.0,,,542.0,,,397.0,,
2016-4-15,,,10,,,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",,,392.0,,,389.0,,,451.0,,,451.0,,,394.0,,,552.0,,,547.0,,,546.0,,,542.0,,,397.0,,
2016-3-15,,,10,,,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",,,392.0,,,389.0,,,451.0,,,451.0,,,394.0,,,552.0,,,547.0,,,546.0,,,542.0,,,397.0,,
2016-2-15,,,10,,,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",,,392.0,,,389.0,,,451.0,,,451.0,,,394.0,,,552.0,,,547.0,,,546.0,,,542.0,,,397.0,,
2016-1-15,,,10,,,4661,"ONTOLO(Block 7B),FO YIN RD|朗濤7B座,科研路",,,392.0,,,389.0,,,451.0,,,451.0,,,394.0,,,552.0,,,547.0,,,546.0,,,542.0,,,397.0,,
