,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_change,npsf_change
2019-12-15,7557497.5,22593.7,10,75574975.0,225937.0,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",9958288.0,22328.0,446.0,7014591.0,21717.0,323.0,6964089.0,21831.0,319.0,5919440.0,24260.0,244.0,9378304.0,22544.0,416.0,7444752.0,22157.0,336.0,7407075.0,22791.0,325.0,7025988.0,22164.0,317.0,6966300.0,23221.0,300.0,7496148.0,22924.0,327.0,-0.014588630613885156,-0.01457612777445827
2019-1-15,7423791.8,22193.0,10,74237918.0,221930.0,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",9780780.0,21930.0,446.0,6895081.0,21347.0,323.0,6840317.0,21443.0,319.0,5793780.0,23745.0,244.0,9199840.0,22115.0,416.0,7324464.0,21799.0,336.0,7278375.0,22395.0,325.0,6909649.0,21797.0,317.0,6852900.0,22843.0,300.0,7362732.0,22516.0,327.0,0.015452046271223763,0.01546556851978953
2018-12-15,7310824.6,21855.0,10,73108246.0,218550.0,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",9633154.0,21599.0,446.0,6791721.0,21027.0,323.0,6737280.0,21120.0,319.0,5704232.0,23378.0,244.0,9060064.0,21779.0,416.0,7215264.0,21474.0,336.0,7168850.0,22058.0,325.0,6795529.0,21437.0,317.0,6750600.0,22502.0,300.0,7251552.0,22176.0,327.0,-0.008780105925185855,-0.00877610721817812
2018-11-15,7375583.0,22048.5,10,73755830.0,220485.0,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",9718340.0,21790.0,446.0,6852122.0,21214.0,323.0,6796933.0,21307.0,319.0,5752788.0,23577.0,244.0,9139104.0,21969.0,416.0,7280112.0,21667.0,336.0,7232550.0,22254.0,325.0,6856710.0,21630.0,317.0,6811200.0,22704.0,300.0,7315971.0,22373.0,327.0,-0.016712001659205722,-0.0167147565255783
2018-10-15,7500938.7,22423.3,10,75009387.0,224233.0,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",9882022.0,22157.0,446.0,6968079.0,21573.0,323.0,6911454.0,21666.0,319.0,5847460.0,23965.0,244.0,9291776.0,22336.0,416.0,7404096.0,22036.0,336.0,7354750.0,22630.0,325.0,6983827.0,22031.0,317.0,6927000.0,23090.0,300.0,7438923.0,22749.0,327.0,-0.037787142742846225,-0.03777527935597935
2018-9-15,7795508.7,23303.6,10,77955087.0,233036.0,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",10271380.0,23030.0,446.0,7243275.0,22425.0,323.0,7183880.0,22520.0,319.0,6075600.0,24900.0,244.0,9656608.0,23213.0,416.0,7697088.000000001,22908.0,336.0,7644975.0,23523.0,325.0,7248839.0,22867.0,317.0,7201200.0,24004.0,300.0,7732241.999999999,23646.0,327.0,-0.05674199666351665,-0.05673681355822435
2018-8-15,8264450.1,24705.3,10,82644501.0,247053.0,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",10889090.0,24415.0,446.0,7679648.0,23776.0,323.0,7615806.0,23874.0,319.0,6438428.0,26387.0,244.0,10236096.0,24606.0,416.0,8161440.0,24290.0,336.0,8105175.0,24939.0,325.0,7685982.0,24246.0,317.0,7635600.0,25452.0,300.0,8197236.0,25068.0,327.0,0.003150454019205551,0.0031549968328217215
2018-7-15,8238495.1,24627.6,10,82384951.0,246276.0,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",10854748.0,24338.0,446.0,7656068.999999999,23703.0,323.0,7591881.000000001,23799.0,319.0,6415736.0,26294.0,244.0,10202400.0,24525.0,416.0,8137248.0,24218.0,336.0,8079825.0,24861.0,325.0,7662841.0,24173.0,317.0,7612800.0,25376.0,300.0,8171403.0,24989.0,327.0,,
2018-6-15,,,10,,,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2018-5-15,,,10,,,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2018-4-15,,,10,,,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2018-3-15,,,10,,,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2018-2-15,,,10,,,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2018-1-15,,,10,,,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2017-12-15,,,10,,,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2017-11-15,,,10,,,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2017-10-15,,,10,,,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2017-9-15,,,10,,,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2017-8-15,,,10,,,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2017-7-15,,,10,,,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2017-6-15,,,10,,,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2017-5-15,,,10,,,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2017-4-15,,,10,,,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2017-3-15,,,10,,,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2017-2-15,,,10,,,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2017-1-15,,,10,,,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2016-12-15,,,10,,,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2016-11-15,,,10,,,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2016-10-15,,,10,,,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2016-9-15,,,10,,,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2016-8-15,,,10,,,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2016-7-15,,,10,,,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2016-6-15,,,10,,,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2016-5-15,,,10,,,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2016-4-15,,,10,,,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2016-3-15,,,10,,,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2016-2-15,,,10,,,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
2016-1-15,,,10,,,3353,"WEST WING(THE VERTEX),TONKIN ST|恆大•睿峰(西翼),東京街",,,446.0,,,323.0,,,319.0,,,244.0,,,416.0,,,336.0,,,325.0,,,317.0,,,300.0,,,327.0,,
