,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,lumpSum_M,npsf_M,nfa_M,lumpSum_N,npsf_N,nfa_N,lumpSum_P,npsf_P,nfa_P,lumpSum_Q,npsf_Q,nfa_Q,lumpSum_R,npsf_R,nfa_R,lumpSum_change,npsf_change
2019-12-15,5087331.5625,16535.125,16,81397305.0,264562.0,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",5359900.0,16492.0,325.0,5089032.0,16311.0,312.0,5137952.0,16736.0,307.0,5036642.0,16406.0,307.0,5036642.0,16406.0,307.0,5035550.0,16510.0,305.0,7151493.0,15513.0,461.0,5043390.0,16269.0,310.0,4891738.0,15934.0,307.0,5392534.0,16747.0,322.0,5257980.0,16380.0,321.0,3951560.0,17720.0,223.0,3987017.0,17879.0,223.0,4120732.0,17314.0,238.0,5190479.0,16583.0,313.0,5714664.0,15362.0,372.0,-0.030839620959541958,-0.03084452454740605
2019-1-15,5031345.75,16353.9375,16,80501532.0,261663.0,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",5295875.0,16295.0,325.0,5043168.0,16164.0,312.0,5073175.0,16525.0,307.0,4979540.0,16220.0,307.0,4978005.0,16215.0,307.0,4975160.0,16312.0,305.0,7070818.0,15338.0,461.0,4988830.0,16093.0,310.0,4830338.0,15734.0,307.0,5332320.0,16560.0,322.0,5205657.0,16217.0,321.0,3912981.0,17547.0,223.0,3947992.0000000005,17704.0,223.0,4075750.0,17125.0,238.0,5137895.0,16415.0,313.0,5654028.0,15199.0,372.0,0.010053732957690853,0.010047865359376296
2018-12-15,4981265.4375,16191.25,16,79700247.0,259060.0,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",5242575.0,16131.0,325.0,4993872.0,16006.0,312.0,5021906.0,16358.0,307.0,4929806.0,16058.0,307.0,4928271.0,16053.0,307.0,4925140.0,16148.0,305.0,7000285.0,15185.0,461.0,4939230.0,15933.0,310.0,4781525.0,15575.0,307.0,5279190.0,16395.0,322.0,5154297.0,16057.0,321.0,3874625.0000000005,17375.0,223.0,3909190.0,17530.0,223.0,4035289.9999999995,16955.0,238.0,5087189.0,16253.0,313.0,5597856.0,15048.0,372.0,-0.045846045569676974,-0.045851150422269615
2018-11-15,5220609.75,16969.3125,16,83529756.0,271509.0,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",5493800.0,16904.0,325.0,5235048.0,16779.0,312.0,5262287.0,17141.0,307.0,5166503.0,16829.0,307.0,5164661.0,16823.0,307.0,5161210.0,16922.0,305.0,7336354.0,15914.0,461.0,5176690.0,16699.0,310.0,5010547.0,16321.0,307.0,5532926.0,17183.0,322.0,5402430.0,16830.0,321.0,4061276.0,18212.0,223.0,4097624.9999999995,18375.0,223.0,4229260.0,17770.0,238.0,5331955.0,17035.0,313.0,5867184.0,15772.0,372.0,-0.00037241113140573656,-0.0003792174130745618
2018-10-15,5222554.6875,16975.75,16,83560875.0,271612.0,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",5495425.0,16909.0,325.0,5238168.0,16789.0,312.0,5263208.0,17144.0,307.0,5168345.0,16835.0,307.0,5166196.0,16828.0,307.0,5162430.0,16926.0,305.0,7338659.0,15919.0,461.0,5178860.0,16706.0,310.0,5011468.0,16324.0,307.0,5534858.0,17189.0,322.0,5405319.0,16839.0,321.0,4063506.0,18222.0,223.0,4099632.0,18384.0,223.0,4230926.0,17777.0,238.0,5334459.0,17043.0,313.0,5869416.0,15778.0,372.0,-0.07713474632581763,-0.07713844010668847
2018-9-15,5659065.25,18394.6875,16,90545044.0,294315.0,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",5954325.0,18321.0,325.0,5677152.0,18196.0,312.0,5702218.0,18574.0,307.0,5599987.0,18241.0,307.0,5597531.0,18233.0,307.0,5593395.0,18339.0,305.0,7951789.0,17249.0,461.0,5611930.0,18103.0,310.0,5429602.0,17686.0,307.0,5997250.0,18625.0,322.0,5857608.0,18248.0,321.0,4403581.0,19747.0,223.0,4442829.0,19923.0,223.0,4584594.0,19263.0,238.0,5780797.0,18469.0,313.0,6360456.0,17098.0,372.0,,
2018-8-15,,,16,,,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",,,325.0,,,312.0,,,307.0,,,307.0,,,307.0,,,305.0,,,461.0,,,310.0,,,307.0,,,322.0,,,321.0,,,223.0,,,223.0,,,238.0,,,313.0,,,372.0,,
2018-7-15,,,16,,,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",,,325.0,,,312.0,,,307.0,,,307.0,,,307.0,,,305.0,,,461.0,,,310.0,,,307.0,,,322.0,,,321.0,,,223.0,,,223.0,,,238.0,,,313.0,,,372.0,,
2018-6-15,,,16,,,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",,,325.0,,,312.0,,,307.0,,,307.0,,,307.0,,,305.0,,,461.0,,,310.0,,,307.0,,,322.0,,,321.0,,,223.0,,,223.0,,,238.0,,,313.0,,,372.0,,
2018-5-15,,,16,,,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",,,325.0,,,312.0,,,307.0,,,307.0,,,307.0,,,305.0,,,461.0,,,310.0,,,307.0,,,322.0,,,321.0,,,223.0,,,223.0,,,238.0,,,313.0,,,372.0,,
2018-4-15,,,16,,,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",,,325.0,,,312.0,,,307.0,,,307.0,,,307.0,,,305.0,,,461.0,,,310.0,,,307.0,,,322.0,,,321.0,,,223.0,,,223.0,,,238.0,,,313.0,,,372.0,,
2018-3-15,,,16,,,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",,,325.0,,,312.0,,,307.0,,,307.0,,,307.0,,,305.0,,,461.0,,,310.0,,,307.0,,,322.0,,,321.0,,,223.0,,,223.0,,,238.0,,,313.0,,,372.0,,
2018-2-15,,,16,,,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",,,325.0,,,312.0,,,307.0,,,307.0,,,307.0,,,305.0,,,461.0,,,310.0,,,307.0,,,322.0,,,321.0,,,223.0,,,223.0,,,238.0,,,313.0,,,372.0,,
2018-1-15,,,16,,,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",,,325.0,,,312.0,,,307.0,,,307.0,,,307.0,,,305.0,,,461.0,,,310.0,,,307.0,,,322.0,,,321.0,,,223.0,,,223.0,,,238.0,,,313.0,,,372.0,,
2017-12-15,,,16,,,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",,,325.0,,,312.0,,,307.0,,,307.0,,,307.0,,,305.0,,,461.0,,,310.0,,,307.0,,,322.0,,,321.0,,,223.0,,,223.0,,,238.0,,,313.0,,,372.0,,
2017-11-15,,,16,,,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",,,325.0,,,312.0,,,307.0,,,307.0,,,307.0,,,305.0,,,461.0,,,310.0,,,307.0,,,322.0,,,321.0,,,223.0,,,223.0,,,238.0,,,313.0,,,372.0,,
2017-10-15,,,16,,,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",,,325.0,,,312.0,,,307.0,,,307.0,,,307.0,,,305.0,,,461.0,,,310.0,,,307.0,,,322.0,,,321.0,,,223.0,,,223.0,,,238.0,,,313.0,,,372.0,,
2017-9-15,,,16,,,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",,,325.0,,,312.0,,,307.0,,,307.0,,,307.0,,,305.0,,,461.0,,,310.0,,,307.0,,,322.0,,,321.0,,,223.0,,,223.0,,,238.0,,,313.0,,,372.0,,
2017-8-15,,,16,,,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",,,325.0,,,312.0,,,307.0,,,307.0,,,307.0,,,305.0,,,461.0,,,310.0,,,307.0,,,322.0,,,321.0,,,223.0,,,223.0,,,238.0,,,313.0,,,372.0,,
2017-7-15,,,16,,,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",,,325.0,,,312.0,,,307.0,,,307.0,,,307.0,,,305.0,,,461.0,,,310.0,,,307.0,,,322.0,,,321.0,,,223.0,,,223.0,,,238.0,,,313.0,,,372.0,,
2017-6-15,,,16,,,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",,,325.0,,,312.0,,,307.0,,,307.0,,,307.0,,,305.0,,,461.0,,,310.0,,,307.0,,,322.0,,,321.0,,,223.0,,,223.0,,,238.0,,,313.0,,,372.0,,
2017-5-15,,,16,,,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",,,325.0,,,312.0,,,307.0,,,307.0,,,307.0,,,305.0,,,461.0,,,310.0,,,307.0,,,322.0,,,321.0,,,223.0,,,223.0,,,238.0,,,313.0,,,372.0,,
2017-4-15,,,16,,,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",,,325.0,,,312.0,,,307.0,,,307.0,,,307.0,,,305.0,,,461.0,,,310.0,,,307.0,,,322.0,,,321.0,,,223.0,,,223.0,,,238.0,,,313.0,,,372.0,,
2017-3-15,,,16,,,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",,,325.0,,,312.0,,,307.0,,,307.0,,,307.0,,,305.0,,,461.0,,,310.0,,,307.0,,,322.0,,,321.0,,,223.0,,,223.0,,,238.0,,,313.0,,,372.0,,
2017-2-15,,,16,,,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",,,325.0,,,312.0,,,307.0,,,307.0,,,307.0,,,305.0,,,461.0,,,310.0,,,307.0,,,322.0,,,321.0,,,223.0,,,223.0,,,238.0,,,313.0,,,372.0,,
2017-1-15,,,16,,,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",,,325.0,,,312.0,,,307.0,,,307.0,,,307.0,,,305.0,,,461.0,,,310.0,,,307.0,,,322.0,,,321.0,,,223.0,,,223.0,,,238.0,,,313.0,,,372.0,,
2016-12-15,,,16,,,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",,,325.0,,,312.0,,,307.0,,,307.0,,,307.0,,,305.0,,,461.0,,,310.0,,,307.0,,,322.0,,,321.0,,,223.0,,,223.0,,,238.0,,,313.0,,,372.0,,
2016-11-15,,,16,,,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",,,325.0,,,312.0,,,307.0,,,307.0,,,307.0,,,305.0,,,461.0,,,310.0,,,307.0,,,322.0,,,321.0,,,223.0,,,223.0,,,238.0,,,313.0,,,372.0,,
2016-10-15,,,16,,,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",,,325.0,,,312.0,,,307.0,,,307.0,,,307.0,,,305.0,,,461.0,,,310.0,,,307.0,,,322.0,,,321.0,,,223.0,,,223.0,,,238.0,,,313.0,,,372.0,,
2016-9-15,,,16,,,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",,,325.0,,,312.0,,,307.0,,,307.0,,,307.0,,,305.0,,,461.0,,,310.0,,,307.0,,,322.0,,,321.0,,,223.0,,,223.0,,,238.0,,,313.0,,,372.0,,
2016-8-15,,,16,,,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",,,325.0,,,312.0,,,307.0,,,307.0,,,307.0,,,305.0,,,461.0,,,310.0,,,307.0,,,322.0,,,321.0,,,223.0,,,223.0,,,238.0,,,313.0,,,372.0,,
2016-7-15,,,16,,,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",,,325.0,,,312.0,,,307.0,,,307.0,,,307.0,,,305.0,,,461.0,,,310.0,,,307.0,,,322.0,,,321.0,,,223.0,,,223.0,,,238.0,,,313.0,,,372.0,,
2016-6-15,,,16,,,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",,,325.0,,,312.0,,,307.0,,,307.0,,,307.0,,,305.0,,,461.0,,,310.0,,,307.0,,,322.0,,,321.0,,,223.0,,,223.0,,,238.0,,,313.0,,,372.0,,
2016-5-15,,,16,,,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",,,325.0,,,312.0,,,307.0,,,307.0,,,307.0,,,305.0,,,461.0,,,310.0,,,307.0,,,322.0,,,321.0,,,223.0,,,223.0,,,238.0,,,313.0,,,372.0,,
2016-4-15,,,16,,,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",,,325.0,,,312.0,,,307.0,,,307.0,,,307.0,,,305.0,,,461.0,,,310.0,,,307.0,,,322.0,,,321.0,,,223.0,,,223.0,,,238.0,,,313.0,,,372.0,,
2016-3-15,,,16,,,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",,,325.0,,,312.0,,,307.0,,,307.0,,,307.0,,,305.0,,,461.0,,,310.0,,,307.0,,,322.0,,,321.0,,,223.0,,,223.0,,,238.0,,,313.0,,,372.0,,
2016-2-15,,,16,,,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",,,325.0,,,312.0,,,307.0,,,307.0,,,307.0,,,305.0,,,461.0,,,310.0,,,307.0,,,322.0,,,321.0,,,223.0,,,223.0,,,238.0,,,313.0,,,372.0,,
2016-1-15,,,16,,,4953,"EMERALD BAY(Phase 2),Block 5A,KWUN CHUI RD|恆大•珺瓏灣2期,5A座,管翠路",,,325.0,,,312.0,,,307.0,,,307.0,,,307.0,,,305.0,,,461.0,,,310.0,,,307.0,,,322.0,,,321.0,,,223.0,,,223.0,,,238.0,,,313.0,,,372.0,,
