,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2019-12-15,172853397.5,60704.5,2,345706795.0,121409.0,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",177823772.0,62482.0,2846.0,167883023.0,58927.0,2849.0,-0.06362127421700137,-0.06362121889894956
2019-1-15,172450667.5,60563.0,2,344901335.0,121126.0,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",177058198.0,62213.0,2846.0,167843137.0,58913.0,2849.0,0.03488454164317423,0.03488461505600515
2018-12-15,166637591.5,58521.5,2,333275183.0,117043.0,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",171067367.99999997,60108.0,2846.0,162207815.0,56935.0,2849.0,-0.01402607526909716,-0.014026013411059024
2018-11-15,169008112.0,59354.0,2,338016224.0,118708.0,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",173480776.0,60956.0,2846.0,164535448.0,57752.0,2849.0,-0.09996028565676351,-0.09996057380280832
2018-10-15,187778505.0,65946.0,2,375557010.0,131892.0,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",192862036.0,67766.0,2846.0,182694974.0,64126.0,2849.0,0.039928021433077276,0.03992809158860822
2018-9-15,180568752.0,63414.0,2,361137504.0,126828.0,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",185433976.0,65156.0,2846.0,175703528.0,61672.0,2849.0,-0.04081686315209809,-0.040816789563244416
2018-8-15,188252634.0,66112.5,2,376505268.0,132225.0,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",193297474.0,67919.0,2846.0,183207794.0,64306.0,2849.0,0.0015299625814222395,0.0015300364330457228
2018-7-15,187965054.5,66011.5,2,375930109.0,132023.0,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",192975876.0,67806.0,2846.0,182954233.0,64217.0,2849.0,,
2018-6-15,,,2,,,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",,,2846.0,,,2849.0,,
2018-5-15,,,2,,,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",,,2846.0,,,2849.0,,
2018-4-15,,,2,,,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",,,2846.0,,,2849.0,,
2018-3-15,,,2,,,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",,,2846.0,,,2849.0,,
2018-2-15,,,2,,,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",,,2846.0,,,2849.0,,
2018-1-15,,,2,,,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",,,2846.0,,,2849.0,,
2017-12-15,,,2,,,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",,,2846.0,,,2849.0,,
2017-11-15,,,2,,,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",,,2846.0,,,2849.0,,
2017-10-15,,,2,,,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",,,2846.0,,,2849.0,,
2017-9-15,,,2,,,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",,,2846.0,,,2849.0,,
2017-8-15,,,2,,,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",,,2846.0,,,2849.0,,
2017-7-15,,,2,,,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",,,2846.0,,,2849.0,,
2017-6-15,,,2,,,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",,,2846.0,,,2849.0,,
2017-5-15,,,2,,,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",,,2846.0,,,2849.0,,
2017-4-15,,,2,,,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",,,2846.0,,,2849.0,,
2017-3-15,,,2,,,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",,,2846.0,,,2849.0,,
2017-2-15,,,2,,,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",,,2846.0,,,2849.0,,
2017-1-15,,,2,,,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",,,2846.0,,,2849.0,,
2016-12-15,,,2,,,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",,,2846.0,,,2849.0,,
2016-11-15,,,2,,,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",,,2846.0,,,2849.0,,
2016-10-15,,,2,,,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",,,2846.0,,,2849.0,,
2016-9-15,,,2,,,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",,,2846.0,,,2849.0,,
2016-8-15,,,2,,,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",,,2846.0,,,2849.0,,
2016-7-15,,,2,,,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",,,2846.0,,,2849.0,,
2016-6-15,,,2,,,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",,,2846.0,,,2849.0,,
2016-5-15,,,2,,,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",,,2846.0,,,2849.0,,
2016-4-15,,,2,,,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",,,2846.0,,,2849.0,,
2016-3-15,,,2,,,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",,,2846.0,,,2849.0,,
2016-2-15,,,2,,,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",,,2846.0,,,2849.0,,
2016-1-15,,,2,,,5695,"DUKES PLACE,PERKINS RD|皇第,白建時道",,,2846.0,,,2849.0,,
