,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2019-12-15,8903189.5,24151.5,2,17806379.0,48303.0,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",7462124.0,25468.0,293.0,10344255.0,22835.0,453.0,-0.016912759903747188,-0.01693293985957056
2018-8-15,,,2,,,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",,,293.0,,,453.0,,
2018-7-15,,,2,,,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",,,293.0,,,453.0,,
2018-6-15,,,2,,,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",,,293.0,,,453.0,,
2018-5-15,,,2,,,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",,,293.0,,,453.0,,
2018-4-15,,,2,,,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",,,293.0,,,453.0,,
2018-3-15,,,2,,,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",,,293.0,,,453.0,,
2018-2-15,,,2,,,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",,,293.0,,,453.0,,
2018-1-15,,,2,,,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",,,293.0,,,453.0,,
2017-12-15,,,2,,,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",,,293.0,,,453.0,,
2017-11-15,,,2,,,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",,,293.0,,,453.0,,
2017-10-15,,,2,,,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",,,293.0,,,453.0,,
2017-9-15,,,2,,,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",,,293.0,,,453.0,,
2017-8-15,,,2,,,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",,,293.0,,,453.0,,
2017-7-15,,,2,,,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",,,293.0,,,453.0,,
2017-6-15,,,2,,,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",,,293.0,,,453.0,,
2017-5-15,,,2,,,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",,,293.0,,,453.0,,
2017-4-15,,,2,,,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",,,293.0,,,453.0,,
2017-3-15,,,2,,,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",,,293.0,,,453.0,,
2017-2-15,,,2,,,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",,,293.0,,,453.0,,
2017-1-15,,,2,,,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",,,293.0,,,453.0,,
2016-12-15,,,2,,,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",,,293.0,,,453.0,,
2016-11-15,,,2,,,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",,,293.0,,,453.0,,
2016-10-15,,,2,,,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",,,293.0,,,453.0,,
2016-9-15,,,2,,,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",,,293.0,,,453.0,,
2016-8-15,,,2,,,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",,,293.0,,,453.0,,
2016-7-15,,,2,,,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",,,293.0,,,453.0,,
2016-6-15,,,2,,,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",,,293.0,,,453.0,,
2016-5-15,,,2,,,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",,,293.0,,,453.0,,
2016-4-15,,,2,,,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",,,293.0,,,453.0,,
2016-3-15,,,2,,,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",,,293.0,,,453.0,,
2016-2-15,,,2,,,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",,,293.0,,,453.0,,
2016-1-15,,,2,,,746,"K.SUMMIT(Block 1B),MUK TAI ST|嘉峯匯1B座,沐泰街",,,293.0,,,453.0,,
