,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_2,npsf_2,nfa_2,lumpSum_4,npsf_4,nfa_4,lumpSum_change,npsf_change
2019-12-15,64420603.5,14172.0,2,128841207.0,28344.0,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",72672312.0,15909.0,4568.0,56168895.00000001,12435.0,4517.0,-0.1410908119163694,-0.14109090909090904
2019-1-15,92598941.0,20371.0,2,185197882.0,40742.0,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",104461024.0,22868.0,4568.0,80736858.0,17874.0,4517.0,0.15790389013952355,0.15790371170351847
2018-12-15,79971180.5,17593.0,2,159942361.0,35186.0,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",90213432.0,19749.0,4568.0,69728929.0,15437.0,4517.0,0.07316906131340217,0.07316924390764634
2018-11-15,74518716.0,16393.5,2,149037432.0,32787.0,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",84064904.00000001,18403.0,4568.0,64972528.0,14384.0,4517.0,-0.20437279208511105,-0.20437283117765537
2018-10-15,93660341.5,20604.5,2,187320683.0,41209.0,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",105657840.0,23130.0,4568.0,81662843.0,18079.0,4517.0,,
2018-9-15,,,2,,,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2018-8-15,,,2,,,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2018-7-15,,,2,,,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2018-6-15,,,2,,,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2018-5-15,,,2,,,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2018-4-15,,,2,,,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2018-3-15,,,2,,,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2018-2-15,,,2,,,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2018-1-15,,,2,,,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2017-12-15,,,2,,,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2017-11-15,,,2,,,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2017-10-15,,,2,,,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2017-9-15,,,2,,,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2017-8-15,,,2,,,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2017-7-15,,,2,,,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2017-6-15,,,2,,,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2017-5-15,,,2,,,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2017-4-15,,,2,,,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2017-3-15,,,2,,,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2017-2-15,,,2,,,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2017-1-15,,,2,,,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2016-12-15,,,2,,,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2016-11-15,,,2,,,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2016-10-15,,,2,,,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2016-9-15,,,2,,,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2016-8-15,,,2,,,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2016-7-15,,,2,,,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2016-6-15,,,2,,,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2016-5-15,,,2,,,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2016-4-15,,,2,,,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2016-3-15,,,2,,,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2016-2-15,,,2,,,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
2016-1-15,,,2,,,9085,"CAMBRIDGE GARDEN,LANCASHIRE RD|劍穚花園,蘭開夏道",,,4568.0,,,4517.0,,
