,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_change,npsf_change
2019-12-15,12990052.285714285,22833.0,7,90930366.0,159831.0,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",10285509.0,20287.0,507.0,10399432.0,20716.0,502.0,14849730.0,21870.0,679.0,30338948.0,34204.0,887.0,9575967.0,21139.0,453.0,7772940.0,20895.0,372.0,7707840.0,20720.0,372.0,-0.017559213535816576,-0.017373983289990624
2019-1-15,13219952.142857144,23068.428571428572,7,92539665.0,161479.0,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",9941762.999999998,19609.0,507.0,10126846.0,20173.0,502.0,17520916.0,25804.0,679.0,30270649.0,34127.0,887.0,9521607.0,21019.0,453.0,7640508.0,20539.0,372.0,7517376.0,20208.0,372.0,0.04149453498693201,0.0414573269440377
2018-12-15,12693251.57142857,22150.14285714286,7,88852761.0,155051.0,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",9598524.0,18932.0,507.0,9714704.0,19352.0,502.0,16814077.0,24763.0,679.0,29050137.000000004,32751.0,887.0,9133839.0,20163.0,453.0,7328772.0,19701.0,372.0,7212708.0,19389.0,372.0,-0.04611940743150278,-0.05018867462203802
2018-11-15,13306960.714285715,23320.571428571428,7,93148725.0,163244.0,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",10339251.0,20393.0,507.0,10465696.0,20848.0,502.0,15532804.0,22876.0,679.0,31305778.0,35294.0,887.0,9839160.0,21720.0,453.0,7894584.0,21222.0,372.0,7771452.0,20891.0,372.0,0.10512629607195478,0.07764618898615017
2018-10-15,12041122.142857144,21640.285714285714,7,84287855.0,151482.0,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",10058880.0,19840.0,507.0,10182568.0,20284.0,502.0,14538748.0,21412.0,679.0,24691419.0,27837.0,887.0,9572796.0,21132.0,453.0,7680684.0,20647.0,372.0,7562760.0,20330.0,372.0,-0.04213142534482461,-0.04205347431259965
2018-9-15,12570745.57142857,22590.285714285714,7,87995219.0,158132.0,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",10439130.0,20590.0,507.0,10638384.0,21192.0,502.0,15189909.0,22371.0,679.0,25799282.0,29086.0,887.0,10001334.0,22078.0,453.0,8024040.0,21570.0,372.0,7903140.0,21245.0,372.0,,
2018-8-15,,,7,,,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",,,507.0,,,502.0,,,679.0,,,887.0,,,453.0,,,372.0,,,372.0,,
2018-7-15,,,7,,,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",,,507.0,,,502.0,,,679.0,,,887.0,,,453.0,,,372.0,,,372.0,,
2018-6-15,,,7,,,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",,,507.0,,,502.0,,,679.0,,,887.0,,,453.0,,,372.0,,,372.0,,
2018-5-15,,,7,,,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",,,507.0,,,502.0,,,679.0,,,887.0,,,453.0,,,372.0,,,372.0,,
2018-4-15,,,7,,,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",,,507.0,,,502.0,,,679.0,,,887.0,,,453.0,,,372.0,,,372.0,,
2018-3-15,,,7,,,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",,,507.0,,,502.0,,,679.0,,,887.0,,,453.0,,,372.0,,,372.0,,
2018-2-15,,,7,,,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",,,507.0,,,502.0,,,679.0,,,887.0,,,453.0,,,372.0,,,372.0,,
2018-1-15,,,7,,,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",,,507.0,,,502.0,,,679.0,,,887.0,,,453.0,,,372.0,,,372.0,,
2017-12-15,,,7,,,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",,,507.0,,,502.0,,,679.0,,,887.0,,,453.0,,,372.0,,,372.0,,
2017-11-15,,,7,,,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",,,507.0,,,502.0,,,679.0,,,887.0,,,453.0,,,372.0,,,372.0,,
2017-10-15,,,7,,,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",,,507.0,,,502.0,,,679.0,,,887.0,,,453.0,,,372.0,,,372.0,,
2017-9-15,,,7,,,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",,,507.0,,,502.0,,,679.0,,,887.0,,,453.0,,,372.0,,,372.0,,
2017-8-15,,,7,,,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",,,507.0,,,502.0,,,679.0,,,887.0,,,453.0,,,372.0,,,372.0,,
2017-7-15,,,7,,,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",,,507.0,,,502.0,,,679.0,,,887.0,,,453.0,,,372.0,,,372.0,,
2017-6-15,,,7,,,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",,,507.0,,,502.0,,,679.0,,,887.0,,,453.0,,,372.0,,,372.0,,
2017-5-15,,,7,,,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",,,507.0,,,502.0,,,679.0,,,887.0,,,453.0,,,372.0,,,372.0,,
2017-4-15,,,7,,,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",,,507.0,,,502.0,,,679.0,,,887.0,,,453.0,,,372.0,,,372.0,,
2017-3-15,,,7,,,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",,,507.0,,,502.0,,,679.0,,,887.0,,,453.0,,,372.0,,,372.0,,
2017-2-15,,,7,,,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",,,507.0,,,502.0,,,679.0,,,887.0,,,453.0,,,372.0,,,372.0,,
2017-1-15,,,7,,,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",,,507.0,,,502.0,,,679.0,,,887.0,,,453.0,,,372.0,,,372.0,,
2016-12-15,,,7,,,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",,,507.0,,,502.0,,,679.0,,,887.0,,,453.0,,,372.0,,,372.0,,
2016-11-15,,,7,,,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",,,507.0,,,502.0,,,679.0,,,887.0,,,453.0,,,372.0,,,372.0,,
2016-10-15,,,7,,,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",,,507.0,,,502.0,,,679.0,,,887.0,,,453.0,,,372.0,,,372.0,,
2016-9-15,,,7,,,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",,,507.0,,,502.0,,,679.0,,,887.0,,,453.0,,,372.0,,,372.0,,
2016-8-15,,,7,,,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",,,507.0,,,502.0,,,679.0,,,887.0,,,453.0,,,372.0,,,372.0,,
2016-7-15,,,7,,,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",,,507.0,,,502.0,,,679.0,,,887.0,,,453.0,,,372.0,,,372.0,,
2016-6-15,,,7,,,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",,,507.0,,,502.0,,,679.0,,,887.0,,,453.0,,,372.0,,,372.0,,
2016-5-15,,,7,,,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",,,507.0,,,502.0,,,679.0,,,887.0,,,453.0,,,372.0,,,372.0,,
2016-4-15,,,7,,,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",,,507.0,,,502.0,,,679.0,,,887.0,,,453.0,,,372.0,,,372.0,,
2016-3-15,,,7,,,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",,,507.0,,,502.0,,,679.0,,,887.0,,,453.0,,,372.0,,,372.0,,
2016-2-15,,,7,,,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",,,507.0,,,502.0,,,679.0,,,887.0,,,453.0,,,372.0,,,372.0,,
2016-1-15,,,7,,,3772,"K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",,,507.0,,,502.0,,,679.0,,,887.0,,,453.0,,,372.0,,,372.0,,
