,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_change,npsf_change
2019-12-15,8889680.166666666,15645.166666666666,6,53338081.0,93871.0,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",11118016.0,15106.0,736.0,7772376.0,15927.0,488.0,7519050.0,15345.0,490.0,11059731.0,15297.0,723.0,7878212.0,15788.0,499.0,7990696.0,16408.0,487.0,-0.014755500028834412,-0.014767312496064111
2018-5-15,8900039.666666666,15668.833333333334,6,53400238.0,94013.0,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",11129056.0,15121.0,736.0,7929511.999999999,16249.0,488.0,7498470.0,15303.0,490.0,11028642.0,15254.0,723.0,7845777.0,15723.0,499.0,7968781.0,16363.0,487.0,,
2018-4-15,,,6,,,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",,,736.0,,,488.0,,,490.0,,,723.0,,,499.0,,,487.0,,
2018-3-15,,,6,,,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",,,736.0,,,488.0,,,490.0,,,723.0,,,499.0,,,487.0,,
2018-2-15,,,6,,,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",,,736.0,,,488.0,,,490.0,,,723.0,,,499.0,,,487.0,,
2018-1-15,,,6,,,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",,,736.0,,,488.0,,,490.0,,,723.0,,,499.0,,,487.0,,
2017-12-15,,,6,,,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",,,736.0,,,488.0,,,490.0,,,723.0,,,499.0,,,487.0,,
2017-11-15,,,6,,,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",,,736.0,,,488.0,,,490.0,,,723.0,,,499.0,,,487.0,,
2017-10-15,,,6,,,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",,,736.0,,,488.0,,,490.0,,,723.0,,,499.0,,,487.0,,
2017-9-15,,,6,,,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",,,736.0,,,488.0,,,490.0,,,723.0,,,499.0,,,487.0,,
2017-8-15,,,6,,,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",,,736.0,,,488.0,,,490.0,,,723.0,,,499.0,,,487.0,,
2017-7-15,,,6,,,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",,,736.0,,,488.0,,,490.0,,,723.0,,,499.0,,,487.0,,
2017-6-15,,,6,,,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",,,736.0,,,488.0,,,490.0,,,723.0,,,499.0,,,487.0,,
2017-5-15,,,6,,,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",,,736.0,,,488.0,,,490.0,,,723.0,,,499.0,,,487.0,,
2017-4-15,,,6,,,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",,,736.0,,,488.0,,,490.0,,,723.0,,,499.0,,,487.0,,
2017-3-15,,,6,,,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",,,736.0,,,488.0,,,490.0,,,723.0,,,499.0,,,487.0,,
2017-2-15,,,6,,,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",,,736.0,,,488.0,,,490.0,,,723.0,,,499.0,,,487.0,,
2017-1-15,,,6,,,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",,,736.0,,,488.0,,,490.0,,,723.0,,,499.0,,,487.0,,
2016-12-15,,,6,,,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",,,736.0,,,488.0,,,490.0,,,723.0,,,499.0,,,487.0,,
2016-11-15,,,6,,,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",,,736.0,,,488.0,,,490.0,,,723.0,,,499.0,,,487.0,,
2016-10-15,,,6,,,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",,,736.0,,,488.0,,,490.0,,,723.0,,,499.0,,,487.0,,
2016-9-15,,,6,,,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",,,736.0,,,488.0,,,490.0,,,723.0,,,499.0,,,487.0,,
2016-8-15,,,6,,,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",,,736.0,,,488.0,,,490.0,,,723.0,,,499.0,,,487.0,,
2016-7-15,,,6,,,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",,,736.0,,,488.0,,,490.0,,,723.0,,,499.0,,,487.0,,
2016-6-15,,,6,,,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",,,736.0,,,488.0,,,490.0,,,723.0,,,499.0,,,487.0,,
2016-5-15,,,6,,,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",,,736.0,,,488.0,,,490.0,,,723.0,,,499.0,,,487.0,,
2016-4-15,,,6,,,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",,,736.0,,,488.0,,,490.0,,,723.0,,,499.0,,,487.0,,
2016-3-15,,,6,,,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",,,736.0,,,488.0,,,490.0,,,723.0,,,499.0,,,487.0,,
2016-2-15,,,6,,,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",,,736.0,,,488.0,,,490.0,,,723.0,,,499.0,,,487.0,,
2016-1-15,,,6,,,3423,"SEASIDE SONATA(Block 2),HAI TAN ST|愛海頌2座,海壇街",,,736.0,,,488.0,,,490.0,,,723.0,,,499.0,,,487.0,,
