,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,lumpSum_M,npsf_M,nfa_M,lumpSum_N,npsf_N,nfa_N,lumpSum_P,npsf_P,nfa_P,lumpSum_Q,npsf_Q,nfa_Q,lumpSum_R,npsf_R,nfa_R,lumpSum_S,npsf_S,nfa_S,lumpSum_change,npsf_change
2019-12-15,7744349.352941177,16595.764705882353,17,131653939.0,282128.0,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",12077070.0,15870.0,761.0,11243241.0,17113.0,657.0,7807059.0,16367.0,477.0,8346749.999999999,17950.0,465.0,6048279.0,16391.0,369.0,8577583.0,15511.0,553.0,8652288.0,16899.0,512.0,7536268.0,14662.0,514.0,7836521.0,14539.0,539.0,6826500.0,18500.0,369.0,8730510.0,18735.0,466.0,4927790.0,17170.0,287.0,6143324.0,16082.0,382.0,7495950.0,16225.0,462.0,6645376.0,17216.0,386.0,8112582.0,15814.0,513.0,4646848.0,17084.0,272.0,-0.014828331845368248,-0.014826764999615882
2019-1-15,7615076.94117647,16318.470588235294,17,129456308.0,277414.0,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",11885298.0,15618.0,761.0,11059938.0,16834.0,657.0,7663005.0,16065.0,477.0,8203530.0,17642.0,465.0,5949756.0,16124.0,369.0,8437674.0,15258.0,553.0,8505344.0,16612.0,512.0,7410852.0,14418.0,514.0,7703388.0,14292.0,539.0,6712848.0,18192.0,369.0,8584186.0,18421.0,466.0,4847430.0,16890.0,287.0,6034072.0,15796.0,382.0,7371210.0,15955.0,462.0,6529190.0,16915.0,386.0,7983819.0,15563.0,513.0,4574768.0,16819.0,272.0,0.015188829605638832,0.015190494139345478
2018-12-15,7501143.352941177,16074.29411764706,17,127519437.0,273263.0,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",11707985.0,15385.0,761.0,10895031.0,16583.0,657.0,7546617.0,15821.0,477.0,8080770.0,17378.0,465.0,5860827.0,15883.0,369.0,8312143.000000001,15031.0,553.0,8377856.0,16363.0,512.0,7300342.0,14203.0,514.0,7587503.0,14077.0,539.0,6612480.0,17920.0,369.0,8456036.0,18146.0,466.0,4775106.0,16638.0,287.0,5943156.0,15558.0,382.0,7261254.0,15717.0,462.0,6430760.0,16660.0,386.0,7864803.0,15331.0,513.0,4506768.0,16569.0,272.0,,
2018-11-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2018-10-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2018-9-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2018-8-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2018-7-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2018-6-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2018-5-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2018-4-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2018-3-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2018-2-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2018-1-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2017-12-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2017-11-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2017-10-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2017-9-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2017-8-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2017-7-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2017-6-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2017-5-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2017-4-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2017-3-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2017-2-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2017-1-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2016-12-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2016-11-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2016-10-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2016-9-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2016-8-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2016-7-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2016-6-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2016-5-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2016-4-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2016-3-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2016-2-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
2016-1-15,,,17,,,7984,"THE CAMPTON,(Phase 1B),FUK WING ST|THE CAMPTON,1B期,福榮街",,,761.0,,,657.0,,,477.0,,,465.0,,,369.0,,,553.0,,,512.0,,,514.0,,,539.0,,,369.0,,,466.0,,,287.0,,,382.0,,,462.0,,,386.0,,,513.0,,,272.0,,
