,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_change,npsf_change
2019-12-15,6601268.25,13304.5,8,52810146.0,106436.0,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",6515490.0,13434.0,485.0,6181236.0,15003.0,412.0,7710912.0,13387.0,576.0,6260600.0,13610.0,460.0,8604563.0,13057.0,659.0,5841358.0,12119.0,482.0,5573871.0,13177.0,423.0,6122116.0,12649.0,484.0,-0.0002818739205402432,-0.000272389987319821
2018-8-15,,,8,,,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2018-7-15,,,8,,,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2018-6-15,,,8,,,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2018-5-15,,,8,,,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2018-4-15,,,8,,,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2018-3-15,,,8,,,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2018-2-15,,,8,,,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2018-1-15,,,8,,,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2017-12-15,,,8,,,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2017-11-15,,,8,,,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2017-10-15,,,8,,,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2017-9-15,,,8,,,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2017-8-15,,,8,,,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2017-7-15,,,8,,,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2017-6-15,,,8,,,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2017-5-15,,,8,,,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2017-4-15,,,8,,,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2017-3-15,,,8,,,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2017-2-15,,,8,,,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2017-1-15,,,8,,,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2016-12-15,,,8,,,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2016-11-15,,,8,,,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2016-10-15,,,8,,,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2016-9-15,,,8,,,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2016-8-15,,,8,,,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2016-7-15,,,8,,,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2016-6-15,,,8,,,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2016-5-15,,,8,,,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2016-4-15,,,8,,,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2016-3-15,,,8,,,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2016-2-15,,,8,,,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
2016-1-15,,,8,,,3981,"WETLAND SEASONS PARK(Block 15),WETLAND PARK RD|WETLAND SEASONS PARK15座,濕地公園路",,,485.0,,,412.0,,,576.0,,,460.0,,,659.0,,,482.0,,,423.0,,,484.0,,
