,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_change,npsf_change
2019-12-15,6954813.5,15105.166666666666,6,41728881.0,90631.0,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",5475210.0,14039.0,390.0,5663915.999999999,14412.0,393.0,8184726.0,13779.0,594.0,9938856.0,16648.0,597.0,6796219.0,17471.0,389.0,5669954.0,14282.0,397.0,-0.020130276151740567,-0.02014184703872679
2017-11-15,,,6,,,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",,,390.0,,,393.0,,,594.0,,,597.0,,,389.0,,,397.0,,
2017-10-15,,,6,,,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",,,390.0,,,393.0,,,594.0,,,597.0,,,389.0,,,397.0,,
2017-9-15,,,6,,,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",,,390.0,,,393.0,,,594.0,,,597.0,,,389.0,,,397.0,,
2017-8-15,,,6,,,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",,,390.0,,,393.0,,,594.0,,,597.0,,,389.0,,,397.0,,
2017-7-15,,,6,,,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",,,390.0,,,393.0,,,594.0,,,597.0,,,389.0,,,397.0,,
2017-6-15,,,6,,,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",,,390.0,,,393.0,,,594.0,,,597.0,,,389.0,,,397.0,,
2017-5-15,,,6,,,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",,,390.0,,,393.0,,,594.0,,,597.0,,,389.0,,,397.0,,
2017-4-15,,,6,,,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",,,390.0,,,393.0,,,594.0,,,597.0,,,389.0,,,397.0,,
2017-3-15,,,6,,,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",,,390.0,,,393.0,,,594.0,,,597.0,,,389.0,,,397.0,,
2017-2-15,,,6,,,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",,,390.0,,,393.0,,,594.0,,,597.0,,,389.0,,,397.0,,
2017-1-15,,,6,,,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",,,390.0,,,393.0,,,594.0,,,597.0,,,389.0,,,397.0,,
2016-12-15,,,6,,,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",,,390.0,,,393.0,,,594.0,,,597.0,,,389.0,,,397.0,,
2016-11-15,,,6,,,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",,,390.0,,,393.0,,,594.0,,,597.0,,,389.0,,,397.0,,
2016-10-15,,,6,,,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",,,390.0,,,393.0,,,594.0,,,597.0,,,389.0,,,397.0,,
2016-9-15,,,6,,,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",,,390.0,,,393.0,,,594.0,,,597.0,,,389.0,,,397.0,,
2016-8-15,,,6,,,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",,,390.0,,,393.0,,,594.0,,,597.0,,,389.0,,,397.0,,
2016-7-15,,,6,,,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",,,390.0,,,393.0,,,594.0,,,597.0,,,389.0,,,397.0,,
2016-6-15,,,6,,,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",,,390.0,,,393.0,,,594.0,,,597.0,,,389.0,,,397.0,,
2016-5-15,,,6,,,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",,,390.0,,,393.0,,,594.0,,,597.0,,,389.0,,,397.0,,
2016-4-15,,,6,,,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",,,390.0,,,393.0,,,594.0,,,597.0,,,389.0,,,397.0,,
2016-3-15,,,6,,,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",,,390.0,,,393.0,,,594.0,,,597.0,,,389.0,,,397.0,,
2016-2-15,,,6,,,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",,,390.0,,,393.0,,,594.0,,,597.0,,,389.0,,,397.0,,
2016-1-15,,,6,,,2760,"ONTOLO(Block 8B),FO YIN RD|朗濤8B座,科研路",,,390.0,,,393.0,,,594.0,,,597.0,,,389.0,,,397.0,,
