,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_13,npsf_13,nfa_13,lumpSum_14,npsf_14,nfa_14,lumpSum_18,npsf_18,nfa_18,lumpSum_22,npsf_22,nfa_22,lumpSum_23,npsf_23,nfa_23,lumpSum_change,npsf_change
2019-12-15,1924882.2,6185.4,5,9624411.0,30927.0,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",1927141.0,6157.0,313.0,1920126.0,6214.0,309.0,1937783.0,6191.0,313.0,1907457.0,6173.0,309.0,1931904.0,6192.0,312.0,0.027030317762885447,0.02703151462823361
2018-12-15,,,5,,,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,
2018-11-15,,,5,,,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,
2018-10-15,,,5,,,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,
2018-9-15,,,5,,,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,
2018-8-15,,,5,,,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,
2018-7-15,,,5,,,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,
2018-6-15,,,5,,,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,
2018-5-15,,,5,,,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,
2018-4-15,,,5,,,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,
2018-3-15,,,5,,,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,
2018-2-15,,,5,,,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,
2018-1-15,,,5,,,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,
2017-12-15,,,5,,,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,
2017-11-15,,,5,,,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,
2017-10-15,,,5,,,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,
2017-9-15,,,5,,,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,
2017-8-15,,,5,,,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,
2017-7-15,,,5,,,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,
2017-6-15,,,5,,,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,
2017-5-15,,,5,,,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,
2017-4-15,,,5,,,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,
2017-3-15,,,5,,,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,
2017-2-15,,,5,,,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,
2017-1-15,,,5,,,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,
2016-12-15,,,5,,,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,
2016-11-15,,,5,,,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,
2016-10-15,,,5,,,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,
2016-9-15,,,5,,,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,
2016-8-15,,,5,,,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,
2016-7-15,,,5,,,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,
2016-6-15,,,5,,,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,
2016-5-15,,,5,,,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,
2016-4-15,,,5,,,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,
2016-3-15,,,5,,,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,
2016-2-15,,,5,,,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,
2016-1-15,,,5,,,1556,"DIP TSUI COURT,CHAI WAN RD|蝶翠苑,柴灣道",,,313.0,,,309.0,,,313.0,,,309.0,,,312.0,,
