,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,15005441.0,13078.0,3,45016323.0,39234.0,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",15827496.0,12443.0,1272.0,15682686.0,12678.0,1237.0,13506141.000000002,14113.0,957.0,-0.0003078823545636933,-0.00030576364470269457
2017-5-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2017-4-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2017-3-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2017-2-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2017-1-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2016-12-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2016-11-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2016-10-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2016-9-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2016-8-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2016-7-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2016-6-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2016-5-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2016-4-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2016-3-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2016-2-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
2016-1-15,,,3,,,3466,"WETLAND SEASONS PARK(Block V6),WETLAND PARK RD|WETLAND SEASONS PARKV6座,濕地公園路",,,1272.0,,,1237.0,,,957.0,,
