,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_change,npsf_change
2019-12-15,7209767.625,14419.5,8,57678141.0,115356.0,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",9891211.0,14741.0,671.0,7492352.0,16724.0,448.0,8063896.0,14197.0,568.0,5089962.0,13907.0,366.0,9559200.0,14225.0,672.0,5932476.0,13926.0,426.0,5898688.0,13912.0,424.0,5750356.0,13724.0,419.0,-0.00029368186215517067,-0.00029465291619723555
2019-1-15,,,8,,,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",,,671.0,,,448.0,,,568.0,,,366.0,,,672.0,,,426.0,,,424.0,,,419.0,,
2018-12-15,,,8,,,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",,,671.0,,,448.0,,,568.0,,,366.0,,,672.0,,,426.0,,,424.0,,,419.0,,
2018-11-15,,,8,,,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",,,671.0,,,448.0,,,568.0,,,366.0,,,672.0,,,426.0,,,424.0,,,419.0,,
2018-10-15,,,8,,,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",,,671.0,,,448.0,,,568.0,,,366.0,,,672.0,,,426.0,,,424.0,,,419.0,,
2018-9-15,,,8,,,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",,,671.0,,,448.0,,,568.0,,,366.0,,,672.0,,,426.0,,,424.0,,,419.0,,
2018-8-15,,,8,,,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",,,671.0,,,448.0,,,568.0,,,366.0,,,672.0,,,426.0,,,424.0,,,419.0,,
2018-7-15,,,8,,,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",,,671.0,,,448.0,,,568.0,,,366.0,,,672.0,,,426.0,,,424.0,,,419.0,,
2018-6-15,,,8,,,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",,,671.0,,,448.0,,,568.0,,,366.0,,,672.0,,,426.0,,,424.0,,,419.0,,
2018-5-15,,,8,,,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",,,671.0,,,448.0,,,568.0,,,366.0,,,672.0,,,426.0,,,424.0,,,419.0,,
2018-4-15,,,8,,,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",,,671.0,,,448.0,,,568.0,,,366.0,,,672.0,,,426.0,,,424.0,,,419.0,,
2018-3-15,,,8,,,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",,,671.0,,,448.0,,,568.0,,,366.0,,,672.0,,,426.0,,,424.0,,,419.0,,
2018-2-15,,,8,,,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",,,671.0,,,448.0,,,568.0,,,366.0,,,672.0,,,426.0,,,424.0,,,419.0,,
2018-1-15,,,8,,,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",,,671.0,,,448.0,,,568.0,,,366.0,,,672.0,,,426.0,,,424.0,,,419.0,,
2017-12-15,,,8,,,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",,,671.0,,,448.0,,,568.0,,,366.0,,,672.0,,,426.0,,,424.0,,,419.0,,
2017-11-15,,,8,,,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",,,671.0,,,448.0,,,568.0,,,366.0,,,672.0,,,426.0,,,424.0,,,419.0,,
2017-10-15,,,8,,,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",,,671.0,,,448.0,,,568.0,,,366.0,,,672.0,,,426.0,,,424.0,,,419.0,,
2017-9-15,,,8,,,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",,,671.0,,,448.0,,,568.0,,,366.0,,,672.0,,,426.0,,,424.0,,,419.0,,
2017-8-15,,,8,,,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",,,671.0,,,448.0,,,568.0,,,366.0,,,672.0,,,426.0,,,424.0,,,419.0,,
2017-7-15,,,8,,,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",,,671.0,,,448.0,,,568.0,,,366.0,,,672.0,,,426.0,,,424.0,,,419.0,,
2017-6-15,,,8,,,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",,,671.0,,,448.0,,,568.0,,,366.0,,,672.0,,,426.0,,,424.0,,,419.0,,
2017-5-15,,,8,,,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",,,671.0,,,448.0,,,568.0,,,366.0,,,672.0,,,426.0,,,424.0,,,419.0,,
2017-4-15,,,8,,,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",,,671.0,,,448.0,,,568.0,,,366.0,,,672.0,,,426.0,,,424.0,,,419.0,,
2017-3-15,,,8,,,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",,,671.0,,,448.0,,,568.0,,,366.0,,,672.0,,,426.0,,,424.0,,,419.0,,
2017-2-15,,,8,,,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",,,671.0,,,448.0,,,568.0,,,366.0,,,672.0,,,426.0,,,424.0,,,419.0,,
2017-1-15,,,8,,,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",,,671.0,,,448.0,,,568.0,,,366.0,,,672.0,,,426.0,,,424.0,,,419.0,,
2016-12-15,,,8,,,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",,,671.0,,,448.0,,,568.0,,,366.0,,,672.0,,,426.0,,,424.0,,,419.0,,
2016-11-15,,,8,,,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",,,671.0,,,448.0,,,568.0,,,366.0,,,672.0,,,426.0,,,424.0,,,419.0,,
2016-10-15,,,8,,,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",,,671.0,,,448.0,,,568.0,,,366.0,,,672.0,,,426.0,,,424.0,,,419.0,,
2016-9-15,,,8,,,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",,,671.0,,,448.0,,,568.0,,,366.0,,,672.0,,,426.0,,,424.0,,,419.0,,
2016-8-15,,,8,,,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",,,671.0,,,448.0,,,568.0,,,366.0,,,672.0,,,426.0,,,424.0,,,419.0,,
2016-7-15,,,8,,,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",,,671.0,,,448.0,,,568.0,,,366.0,,,672.0,,,426.0,,,424.0,,,419.0,,
2016-6-15,,,8,,,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",,,671.0,,,448.0,,,568.0,,,366.0,,,672.0,,,426.0,,,424.0,,,419.0,,
2016-5-15,,,8,,,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",,,671.0,,,448.0,,,568.0,,,366.0,,,672.0,,,426.0,,,424.0,,,419.0,,
2016-4-15,,,8,,,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",,,671.0,,,448.0,,,568.0,,,366.0,,,672.0,,,426.0,,,424.0,,,419.0,,
2016-3-15,,,8,,,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",,,671.0,,,448.0,,,568.0,,,366.0,,,672.0,,,426.0,,,424.0,,,419.0,,
2016-2-15,,,8,,,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",,,671.0,,,448.0,,,568.0,,,366.0,,,672.0,,,426.0,,,424.0,,,419.0,,
2016-1-15,,,8,,,3994,"WETLAND SEASONS PARK(Phase 3),Block 8,WETLAND PARK RD|WETLAND SEASONS PARK3期,8座,濕地公園路",,,671.0,,,448.0,,,568.0,,,366.0,,,672.0,,,426.0,,,424.0,,,419.0,,
