,lumpSum_avg,npsf_avg,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_10,npsf_10,nfa_10,lumpSum_11,npsf_11,nfa_11,lumpSum_12,npsf_12,nfa_12,lumpSum_15,npsf_15,nfa_15,lumpSum_16,npsf_16,nfa_16,lumpSum_17,npsf_17,nfa_17,lumpSum_18,npsf_18,nfa_18,lumpSum_19,npsf_19,nfa_19,lumpSum_2,npsf_2,nfa_2,lumpSum_20,npsf_20,nfa_20,lumpSum_3,npsf_3,nfa_3,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,lumpSum_9,npsf_9,nfa_9,nfa_avg,lumpSum_change,npsf_change
2022-12-15,4466842.823529412,13923.823529411764,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",8081430.0,13270.0,609.0,4257093.0,13777.0,309.0,4155760.0,12670.0,328.0,4250913.0,13757.0,309.0,4141760.0,13760.0,301.0,4326870.0,15182.0,285.0,4366590.0,14802.0,295.0,2958175.9999999995,14222.0,208.0,5931306.0,14022.0,423.0,5848584.0,13476.0,434.0,5854743.0,13841.0,423.0,3867050.0,14062.0,275.0,4090175.0,13865.0,295.0,3950670.0,13862.0,285.0,3970604.0000000005,13981.0,284.0,2999777.0,14353.0,209.0,2884827.0,13803.0,209.0,,0.023027186827364154,0.02302735362633279
2022-1-15,5067394.882352941,15795.823529411764,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",9167886.0,15054.0,609.0,4829670.0,15630.0,309.0,4714672.0,14374.0,328.0,4822563.0,15607.0,309.0,4698309.0,15609.0,301.0,4908555.0,17223.0,285.0,4953640.0,16792.0,295.0,3355872.0,16134.0,208.0,6728661.0,15907.0,423.0,6634992.0,15288.0,434.0,6641946.0,15702.0,423.0,4386800.0,15952.0,275.0,4639760.0,15728.0,295.0,4481910.0,15726.0,285.0,4504808.0,15862.0,284.0,3403147.0,16283.0,209.0,3272522.0,15658.0,209.0,,0.02053241628137603,0.02053388870731121
2021-12-15,4965442.352941177,15478.0,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",8983359.0,14751.0,609.0,4732335.0,15315.0,309.0,4619880.0,14085.0,328.0,4725537.0,15293.0,309.0,4603795.0,15295.0,301.0,4809659.999999999,16876.0,285.0,4854225.0,16455.0,295.0,3288272.0,15809.0,208.0,6593301.0,15587.0,423.0,6501754.0,14981.0,434.0,6508278.0,15386.0,423.0,4298525.0,15631.0,275.0,4546540.0,15412.0,295.0,4391565.0,15409.0,285.0,4414212.0,15543.0,284.0,3334595.0,15955.0,209.0,3206687.0,15343.0,209.0,,-0.03223091892875496,-0.03223362389201523
2021-11-15,5130813.176470588,15993.529411764706,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",9282378.0,15242.0,609.0,4889925.0,15825.0,309.0,4774040.0,14555.0,328.0,4882818.0,15802.0,309.0,4757305.0,15805.0,301.0,4969830.0,17438.0,285.0,5015590.0,17002.0,295.0,3397888.0,16336.0,208.0,6812838.0,16106.0,423.0,6718320.0,15480.0,434.0,6724854.0,15898.0,423.0,4441800.0,16152.0,275.0,4697875.0,15925.0,295.0,4537770.0,15922.0,285.0,4561324.0,16061.0,284.0,3445783.0,16487.0,209.0,3313486.0,15854.0,209.0,,0.06051270416512633,0.06051268449464864
2021-10-15,4838049.705882353,15080.941176470587,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",8752548.0,14372.0,609.0,4610898.0,14922.0,309.0,4501472.0,13724.0,328.0,4604409.0,14901.0,309.0,4485803.0,14903.0,301.0,4686255.0,16443.0,285.0,4729440.0,16032.0,295.0,3203824.0,15403.0,208.0,6424101.0,15187.0,423.0,6335098.0,14597.0,434.0,6341193.0,14991.0,423.0,4188250.0,15230.0,275.0,4429720.0,15016.0,295.0,4278990.0,15014.0,285.0,4301180.0,15145.0,284.0,3249114.0,15546.0,209.0,3124550.0,14950.0,209.0,,-0.04970588222040806,-0.04970254091220794
2021-9-15,5091107.705882353,15869.70588235294,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",9210516.0,15124.0,609.0,4851918.0,15702.0,309.0,4736976.0,14442.0,328.0,4845119.999999999,15680.0,309.0,4720282.0,15682.0,301.0,4931355.0,17303.0,285.0,4976945.0,16871.0,295.0,3371472.0,16209.0,208.0,6760386.0,15982.0,423.0,6666674.0,15361.0,434.0,6672825.0,15775.0,423.0,4407150.0,16026.0,275.0,4661295.0,15801.0,295.0,4502715.0,15799.0,285.0,4526392.0,15938.0,284.0,3419030.9999999995,16359.0,209.0,3287779.0,15731.0,209.0,,-0.014058463124331566,-0.014059028183838196
2021-8-15,5163701.411764706,16096.0,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",9342060.0,15340.0,609.0,4921134.0,15926.0,309.0,4804544.0,14648.0,328.0,4914027.0,15903.0,309.0,4787706.0,15906.0,301.0,5001750.0,17550.0,285.0,5047744.999999999,17111.0,295.0,3419520.0,16440.0,208.0,6856407.0,16209.0,423.0,6761720.0,15580.0,434.0,6768000.0,16000.0,423.0,4470125.0,16255.0,275.0,4727670.0,16026.0,295.0,4566840.0,16024.0,285.0,4591144.0,16166.0,284.0,3467728.0,16592.0,209.0,3334804.0,15956.0,209.0,,0.03388593744190249,0.03388837880625539
2021-7-15,4994459.470588235,15568.411764705883,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",9035733.0,14837.0,609.0,4759836.0,15404.0,309.0,4647432.0,14169.0,328.0,4753038.0,15382.0,309.0,4630584.0,15384.0,301.0,4837590.0,16974.0,285.0,4882250.0,16550.0,295.0,3307408.0,15901.0,208.0,6631794.0,15678.0,423.0,6540380.0,15070.0,434.0,6546348.0,15476.0,423.0,4323550.0,15722.0,275.0,4572500.0,15500.0,295.0,4417215.0,15499.0,285.0,4440624.0,15636.0,284.0,3354032.0,16048.0,209.0,3225497.0,15433.0,209.0,,-0.013997146779682557,-0.014000394902038193
2021-6-15,5065360.05882353,15789.470588235294,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",9163623.0,15047.0,609.0,4827507.0,15623.0,309.0,4713360.0,14370.0,328.0,4820399.999999999,15600.0,309.0,4696503.0,15603.0,301.0,4906275.0,17215.0,285.0,4951575.0,16785.0,295.0,3354416.0,16127.0,208.0,6726123.0,15901.0,423.0,6633256.0,15284.0,434.0,6638985.0,15695.0,423.0,4384875.0,15945.0,275.0,4637400.0,15720.0,295.0,4479915.0,15719.0,285.0,4503956.0,15859.0,284.0,3401684.0000000005,16276.0,209.0,3271268.0,15652.0,209.0,,0.01600768828530086,0.01600729772286824
2021-5-15,4985552.882352941,15540.70588235294,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",9019290.0,14810.0,609.0,4751493.0,15377.0,309.0,4639232.0,14144.0,328.0,4744386.0,15354.0,309.0,4622457.0,15357.0,301.0,4829040.0,16944.0,285.0,4873695.0,16521.0,295.0,3301584.0,15873.0,208.0,6619950.000000001,15650.0,423.0,6528662.0,15043.0,434.0,6534504.000000001,15448.0,423.0,4315850.0,15694.0,275.0,4564240.0,15472.0,295.0,4409235.0,15471.0,285.0,4432956.0,15609.0,284.0,3348180.0,16020.0,209.0,3219645.0000000005,15405.0,209.0,,0.011770838338454048,0.011772455365007373
2021-4-15,4927551.470588235,15359.882352941177,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",8914542.0,14638.0,609.0,4696182.0,15198.0,309.0,4585112.0,13979.0,328.0,4689384.0,15176.0,309.0,4568578.0,15178.0,301.0,4772895.0,16747.0,285.0,4817055.000000001,16329.0,295.0,3263104.0,15688.0,208.0,6542964.0,15468.0,423.0,6452712.0,14868.0,434.0,6458364.0,15268.0,423.0,4265525.0,15511.0,275.0,4511140.0,15292.0,295.0,4357935.0,15291.0,285.0,4381552.0,15428.0,284.0,3309097.0,15833.0,209.0,3182234.0,15226.0,209.0,,0.005738572030270062,0.005738980387323345
2021-3-15,4899435.705882353,15272.235294117647,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",8863386.0,14554.0,609.0,4669299.0,15111.0,309.0,4559200.0,13900.0,328.0,4662501.0,15089.0,309.0,4542391.0,15091.0,301.0,4745535.0,16651.0,285.0,4789325.0,16235.0,295.0,3244384.0,15598.0,208.0,6505740.0,15380.0,423.0,6416256.0,14784.0,434.0,6421563.000000001,15181.0,423.0,4241325.0,15423.0,275.0,4485180.0,15204.0,295.0,4333140.0,15204.0,285.0,4356844.0,15341.0,284.0,3290287.0,15743.0,209.0,3164051.0,15139.0,209.0,,0.013351858354615054,0.012965022141589122
2021-2-15,4834881.05882353,15076.764705882353,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",8687385.0,14265.0,609.0,4611516.0,14924.0,309.0,4502784.0,13728.0,328.0,4604718.0,14902.0,309.0,4486405.0,14905.0,301.0,4686825.0,16445.0,285.0,4730030.0,16034.0,295.0,3204240.0,15405.0,208.0,6424947.0,15189.0,423.0,6336834.0,14601.0,434.0,6342039.0,14993.0,423.0,4188800.0,15232.0,275.0,4429720.0,15016.0,295.0,4279560.0,15016.0,285.0,4302884.0,15151.0,284.0,3249531.9999999995,15548.0,209.0,3124759.0,14951.0,209.0,,,
2021-1-15,,,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",,,609.0,,,309.0,,,328.0,,,309.0,,,301.0,,,285.0,,,295.0,,,208.0,,,423.0,,,434.0,,,423.0,,,275.0,,,295.0,,,285.0,,,284.0,,,209.0,,,209.0,,,
2020-12-15,,,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",,,609.0,,,309.0,,,328.0,,,309.0,,,301.0,,,285.0,,,295.0,,,208.0,,,423.0,,,434.0,,,423.0,,,275.0,,,295.0,,,285.0,,,284.0,,,209.0,,,209.0,,,
2020-11-15,,,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",,,609.0,,,309.0,,,328.0,,,309.0,,,301.0,,,285.0,,,295.0,,,208.0,,,423.0,,,434.0,,,423.0,,,275.0,,,295.0,,,285.0,,,284.0,,,209.0,,,209.0,,,
2020-10-15,,,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",,,609.0,,,309.0,,,328.0,,,309.0,,,301.0,,,285.0,,,295.0,,,208.0,,,423.0,,,434.0,,,423.0,,,275.0,,,295.0,,,285.0,,,284.0,,,209.0,,,209.0,,,
2020-9-15,,,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",,,609.0,,,309.0,,,328.0,,,309.0,,,301.0,,,285.0,,,295.0,,,208.0,,,423.0,,,434.0,,,423.0,,,275.0,,,295.0,,,285.0,,,284.0,,,209.0,,,209.0,,,
2020-8-15,,,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",,,609.0,,,309.0,,,328.0,,,309.0,,,301.0,,,285.0,,,295.0,,,208.0,,,423.0,,,434.0,,,423.0,,,275.0,,,295.0,,,285.0,,,284.0,,,209.0,,,209.0,,,
2020-7-15,,,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",,,609.0,,,309.0,,,328.0,,,309.0,,,301.0,,,285.0,,,295.0,,,208.0,,,423.0,,,434.0,,,423.0,,,275.0,,,295.0,,,285.0,,,284.0,,,209.0,,,209.0,,,
2020-6-15,,,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",,,609.0,,,309.0,,,328.0,,,309.0,,,301.0,,,285.0,,,295.0,,,208.0,,,423.0,,,434.0,,,423.0,,,275.0,,,295.0,,,285.0,,,284.0,,,209.0,,,209.0,,,
2020-5-15,,,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",,,609.0,,,309.0,,,328.0,,,309.0,,,301.0,,,285.0,,,295.0,,,208.0,,,423.0,,,434.0,,,423.0,,,275.0,,,295.0,,,285.0,,,284.0,,,209.0,,,209.0,,,
2020-4-15,,,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",,,609.0,,,309.0,,,328.0,,,309.0,,,301.0,,,285.0,,,295.0,,,208.0,,,423.0,,,434.0,,,423.0,,,275.0,,,295.0,,,285.0,,,284.0,,,209.0,,,209.0,,,
2020-3-15,,,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",,,609.0,,,309.0,,,328.0,,,309.0,,,301.0,,,285.0,,,295.0,,,208.0,,,423.0,,,434.0,,,423.0,,,275.0,,,295.0,,,285.0,,,284.0,,,209.0,,,209.0,,,
2020-2-15,,,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",,,609.0,,,309.0,,,328.0,,,309.0,,,301.0,,,285.0,,,295.0,,,208.0,,,423.0,,,434.0,,,423.0,,,275.0,,,295.0,,,285.0,,,284.0,,,209.0,,,209.0,,,
2020-1-15,,,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",,,609.0,,,309.0,,,328.0,,,309.0,,,301.0,,,285.0,,,295.0,,,208.0,,,423.0,,,434.0,,,423.0,,,275.0,,,295.0,,,285.0,,,284.0,,,209.0,,,209.0,,,
2019-12-15,,,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",,,609.0,,,309.0,,,328.0,,,309.0,,,301.0,,,285.0,,,295.0,,,208.0,,,423.0,,,434.0,,,423.0,,,275.0,,,295.0,,,285.0,,,284.0,,,209.0,,,209.0,,,
2019-11-15,,,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",,,609.0,,,309.0,,,328.0,,,309.0,,,301.0,,,285.0,,,295.0,,,208.0,,,423.0,,,434.0,,,423.0,,,275.0,,,295.0,,,285.0,,,284.0,,,209.0,,,209.0,,,
2019-10-15,,,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",,,609.0,,,309.0,,,328.0,,,309.0,,,301.0,,,285.0,,,295.0,,,208.0,,,423.0,,,434.0,,,423.0,,,275.0,,,295.0,,,285.0,,,284.0,,,209.0,,,209.0,,,
2019-9-15,,,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",,,609.0,,,309.0,,,328.0,,,309.0,,,301.0,,,285.0,,,295.0,,,208.0,,,423.0,,,434.0,,,423.0,,,275.0,,,295.0,,,285.0,,,284.0,,,209.0,,,209.0,,,
2019-8-15,,,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",,,609.0,,,309.0,,,328.0,,,309.0,,,301.0,,,285.0,,,295.0,,,208.0,,,423.0,,,434.0,,,423.0,,,275.0,,,295.0,,,285.0,,,284.0,,,209.0,,,209.0,,,
2019-7-15,,,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",,,609.0,,,309.0,,,328.0,,,309.0,,,301.0,,,285.0,,,295.0,,,208.0,,,423.0,,,434.0,,,423.0,,,275.0,,,295.0,,,285.0,,,284.0,,,209.0,,,209.0,,,
2019-6-15,,,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",,,609.0,,,309.0,,,328.0,,,309.0,,,301.0,,,285.0,,,295.0,,,208.0,,,423.0,,,434.0,,,423.0,,,275.0,,,295.0,,,285.0,,,284.0,,,209.0,,,209.0,,,
2019-5-15,,,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",,,609.0,,,309.0,,,328.0,,,309.0,,,301.0,,,285.0,,,295.0,,,208.0,,,423.0,,,434.0,,,423.0,,,275.0,,,295.0,,,285.0,,,284.0,,,209.0,,,209.0,,,
2019-4-15,,,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",,,609.0,,,309.0,,,328.0,,,309.0,,,301.0,,,285.0,,,295.0,,,208.0,,,423.0,,,434.0,,,423.0,,,275.0,,,295.0,,,285.0,,,284.0,,,209.0,,,209.0,,,
2019-3-15,,,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",,,609.0,,,309.0,,,328.0,,,309.0,,,301.0,,,285.0,,,295.0,,,208.0,,,423.0,,,434.0,,,423.0,,,275.0,,,295.0,,,285.0,,,284.0,,,209.0,,,209.0,,,
2019-2-15,,,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",,,609.0,,,309.0,,,328.0,,,309.0,,,301.0,,,285.0,,,295.0,,,208.0,,,423.0,,,434.0,,,423.0,,,275.0,,,295.0,,,285.0,,,284.0,,,209.0,,,209.0,,,
2019-1-15,,,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",,,609.0,,,309.0,,,328.0,,,309.0,,,301.0,,,285.0,,,295.0,,,208.0,,,423.0,,,434.0,,,423.0,,,275.0,,,295.0,,,285.0,,,284.0,,,209.0,,,209.0,,,
2018-12-15,,,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",,,609.0,,,309.0,,,328.0,,,309.0,,,301.0,,,285.0,,,295.0,,,208.0,,,423.0,,,434.0,,,423.0,,,275.0,,,295.0,,,285.0,,,284.0,,,209.0,,,209.0,,,
2018-11-15,,,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",,,609.0,,,309.0,,,328.0,,,309.0,,,301.0,,,285.0,,,295.0,,,208.0,,,423.0,,,434.0,,,423.0,,,275.0,,,295.0,,,285.0,,,284.0,,,209.0,,,209.0,,,
2018-10-15,,,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",,,609.0,,,309.0,,,328.0,,,309.0,,,301.0,,,285.0,,,295.0,,,208.0,,,423.0,,,434.0,,,423.0,,,275.0,,,295.0,,,285.0,,,284.0,,,209.0,,,209.0,,,
2018-9-15,,,"ONE INNOVALE(Phase 1),Block A,MA SIK RD|ONE INNOVALE1期,A座,馬適路",,,609.0,,,309.0,,,328.0,,,309.0,,,301.0,,,285.0,,,295.0,,,208.0,,,423.0,,,434.0,,,423.0,,,275.0,,,295.0,,,285.0,,,284.0,,,209.0,,,209.0,,,
