,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,nfa_avg,lumpSum_change,npsf_change
2022-12-15,5845318.833333333,8404.333333333334,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",6532940.0,7967.0,820.0,5820364.0,8129.0,716.0,5854125.0,8375.0,699.0,6673160.0,8138.0,820.0,4885452.0,8541.0,572.0,5305872.0,9276.0,572.0,,0.05196997102996126,0.0519881503734303
2020-10-15,6342558.166666667,9133.666666666666,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7165980.000000001,8739.0,820.0,6323711.999999999,8832.0,716.0,6186849.0,8851.0,699.0,7093819.999999999,8651.0,820.0,5502068.0,9619.0,572.0,5782920.0,10110.0,572.0,,-0.033399199421594195,-0.03337213814513007
2020-9-15,6561714.166666667,9449.0,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7353760.0,8968.0,820.0,6489108.0,9063.0,716.0,6662169.0,9531.0,699.0,7279960.0,8878.0,820.0,5649644.0,9877.0,572.0,5935644.0,10377.0,572.0,,0.031488493144030905,0.03263997668573082
2020-8-15,6361403.166666667,9150.333333333334,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7075780.0,8629.0,820.0,6242804.0,8719.0,716.0,6411927.0,9173.0,699.0,7287340.0,8887.0,820.0,5438576.0,9508.0,572.0,5711992.0,9986.0,572.0,,-0.006272200009737161,-0.0055967108003839305
2020-7-15,6401555.0,9201.833333333334,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7143840.0,8712.0,820.0,6302232.0,8802.0,716.0,6471342.0,9258.0,699.0,7356220.0,8971.0,820.0,5490628.0,9599.0,572.0,5645068.0,9869.0,572.0,,0.0037605482609095464,0.0037451140805382366
2020-6-15,6377571.833333333,9167.5,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7117599.999999999,8680.0,820.0,6278604.0,8769.0,716.0,6445479.0,9221.0,699.0,7327520.0,8936.0,820.0,5470035.999999999,9563.0,572.0,5626192.0,9836.0,572.0,,-0.024059611751745758,-0.024093820414101463
2020-5-15,6534796.5,9393.833333333334,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7302099.999999999,8905.0,820.0,6441136.0,8996.0,716.0,6610443.0,9457.0,699.0,7486600.0,9130.0,820.0,5603312.000000001,9796.0,572.0,5765188.0,10079.0,572.0,,0.021796529035952306,0.021809282088469883
2020-4-15,6395399.0,9193.333333333334,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7147120.0,8716.0,820.0,6304380.000000001,8805.0,716.0,6468546.000000001,9254.0,699.0,7327520.0,8936.0,820.0,5482620.0,9585.0,572.0,5642208.0,9864.0,572.0,,-0.00018009705542876286,-0.0001993801091151326
2020-3-15,6396551.0,9195.166666666666,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7150399.999999999,8720.0,820.0,6295072.0,8792.0,716.0,6471342.0,9258.0,699.0,7330800.0,8940.0,820.0,5484908.0,9589.0,572.0,5646783.999999999,9872.0,572.0,,0.03573244393666197,0.03570556984362394
2020-2-15,6175872.0,8878.166666666666,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",6934740.0,8457.0,820.0,6105332.0,8527.0,716.0,6109260.0,8740.0,699.0,7109400.0,8670.0,820.0,5319028.0,9299.0,572.0,5477472.0,9576.0,572.0,,-0.04356964057388868,-0.043627354171529076
2020-1-15,6457210.333333333,9283.166666666666,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7238960.0,8828.0,820.0,6385288.0,8918.0,716.0,6390258.0,9142.0,699.0,7435760.0,9068.0,820.0,5562700.0,9725.0,572.0,5730296.000000001,10018.0,572.0,,-0.007932949083539476,-0.007943717160922681
2019-12-15,6508844.666666667,9357.5,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7296360.0,8898.0,820.0,6435408.0,8988.0,716.0,6441984.0,9216.0,699.0,7494800.0,9140.0,820.0,5606744.0,9802.0,572.0,5777772.0,10101.0,572.0,,0.0090063471202122,0.00960241678804552
2019-11-15,6450747.0,9268.5,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7266020.0,8861.0,820.0,6408916.0,8951.0,716.0,6415422.0,9178.0,699.0,7416080.0,9044.0,820.0,5582720.0,9760.0,572.0,5615324.0,9817.0,572.0,,0.015002943429920368,0.014614121510673206
2019-10-15,6355397.333333333,9135.0,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7143840.0,8712.0,820.0,6305812.0,8807.0,716.0,6313368.0,9032.0,699.0,7291440.0,8892.0,820.0,5492916.0,9603.0,572.0,5585008.0,9764.0,572.0,,-0.023887484326988617,-0.023516835916622125
2019-9-15,6510927.0,9355.0,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7340640.0,8952.0,820.0,6479800.0,9050.0,716.0,6440586.0,9214.0,699.0,7491520.0,9136.0,820.0,5606744.0,9802.0,572.0,5706272.0,9976.0,572.0,,0.0005927911534577834,0.0014630316871253601
2019-8-15,6507069.666666667,9341.333333333334,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7406240.0,9032.0,820.0,6439704.0,8994.0,716.0,6401442.0,9158.0,699.0,7554660.0,9213.0,820.0,5570136.0,9738.0,572.0,5670236.0,9913.0,572.0,,-0.01796875090393346,-0.018303469777380732
2019-7-15,6626133.0,9515.5,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7620260.0,9293.0,820.0,6572880.0,9180.0,716.0,6535650.0,9350.0,699.0,7557120.0,9216.0,820.0,5683392.0,9936.0,572.0,5787496.0,10118.0,572.0,,0.023064052390244782,0.023245393935048986
2019-6-15,6476752.833333333,9299.333333333334,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7437400.000000001,9070.0,820.0,6418224.0,8964.0,716.0,6382569.0,9131.0,699.0,7424280.0,9054.0,820.0,5547256.0,9698.0,572.0,5650788.0,9879.0,572.0,,-0.022866529995524076,-0.022871353017407392
2019-5-15,6628319.5,9517.0,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7608779.999999999,9279.0,820.0,6570016.0,9176.0,716.0,6533553.0,9347.0,699.0,7598119.999999999,9266.0,820.0,5675956.0,9923.0,572.0,5783492.0,10111.0,572.0,,0.023295629643709015,0.023296656033833907
2019-4-15,6477423.833333333,9300.333333333334,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7433300.0,9065.0,820.0,6421088.0,8968.0,716.0,6386763.000000001,9137.0,699.0,7425920.0,9056.0,820.0,5545540.0,9695.0,572.0,5651931.999999999,9881.0,572.0,,0.006744607636070876,0.0068746504032768385
2019-3-15,6434028.833333333,9236.833333333334,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7408699.999999999,9035.0,820.0,6373831.999999999,8902.0,716.0,6340629.0,9071.0,699.0,7369340.0,8987.0,820.0,5502067.999999999,9619.0,572.0,5609604.0,9807.0,572.0,,0.04785042743197376,0.047854036679901846
2019-2-15,6140216.833333333,8815.0,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7069220.0,8621.0,820.0,6083136.0,8496.0,716.0,6052641.0,8659.0,699.0,7033140.0,8577.0,820.0,5249815.999999999,9178.0,572.0,5353348.0,9359.0,572.0,,-0.012809840555662366,-0.012380258809030265
2019-1-15,6219892.666666667,8925.5,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7090540.0,8647.0,820.0,6209868.0,8673.0,716.0,6179159.999999999,8840.0,699.0,7178280.0,8754.0,820.0,5197192.0,9086.0,572.0,5464316.0,9553.0,572.0,,-0.007886428789952382,-0.008259412211337303
2018-12-15,6269335.333333333,8999.833333333334,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7147120.0,8716.0,820.0,6259988.0,8743.0,716.0,6229488.000000001,8912.0,699.0,7195500.0,8775.0,820.0,5240092.0,9161.0,572.0,5543824.0,9692.0,572.0,,-0.018871485559971424,-0.01886003960971705
2018-11-15,6389922.666666667,9172.833333333334,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7270120.0,8866.0,820.0,6367388.0,8893.0,716.0,6416820.0,9180.0,699.0,7317680.0,8924.0,820.0,5331040.0,9320.0,572.0,5636488.0,9854.0,572.0,,-0.010343838950586215,-0.010552998705594563
2018-10-15,6456709.833333333,9270.666666666666,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7339000.000000001,8950.0,820.0,6428248.0,8978.0,716.0,6479031.0,9269.0,699.0,7385740.0,9007.0,820.0,5421416.0,9478.0,572.0,5686824.0,9942.0,572.0,,-0.03850400860982384,-0.03849544519541592
2018-9-15,6715274.833333333,9641.833333333334,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7633380.0,9309.0,820.0,6686724.0,9339.0,716.0,6740457.0,9643.0,699.0,7680120.0,9366.0,820.0,5638776.0,9858.0,572.0,5912192.0,10336.0,572.0,,0.018801826324129634,0.018808446189880756
2018-8-15,6591345.5,9463.833333333334,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7493160.0,9138.0,820.0,6563572.0,9167.0,716.0,6617433.0,9467.0,699.0,7537440.0,9192.0,820.0,5535244.0,9677.0,572.0,5801224.0,10142.0,572.0,,-0.026358749948176663,-0.026137513506097054
2018-7-15,6769788.666666667,9717.833333333334,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7703900.0,9395.0,820.0,6749016.0,9426.0,716.0,6805464.0,9736.0,699.0,7748180.0,9449.0,820.0,5650216.0,9878.0,572.0,5961956.0,10423.0,572.0,,0.02778286020150489,0.027798343028380135
2018-6-15,6586788.833333333,9455.0,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7496440.0,9142.0,820.0,6567152.0,9172.0,716.0,6623025.0,9475.0,699.0,7538260.000000001,9193.0,820.0,5497492.0,9611.0,572.0,5798364.0,10137.0,572.0,,0.032920111096442994,0.03265618173875051
2018-5-15,6376861.833333333,9156.0,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7248800.0,8840.0,820.0,6350920.0,8870.0,716.0,6406335.0,9165.0,699.0,7288160.0,8888.0,820.0,5315596.0,9293.0,572.0,5651360.0,9880.0,572.0,,-0.00548158859914416,-0.00548525498289254
2018-4-15,6412009.833333333,9206.5,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7288980.0,8889.0,820.0,6385288.0,8918.0,716.0,6442683.0,9217.0,699.0,7327520.0,8936.0,820.0,5344768.0,9344.0,572.0,5682820.0,9935.0,572.0,,0.0033442671228409715,0.00348792849746582
2018-3-15,6390637.833333333,9174.5,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7223380.0,8809.0,820.0,6542808.0,9138.0,716.0,6386763.0,9137.0,699.0,7261100.0,8855.0,820.0,5297292.0,9261.0,572.0,5632484.0,9847.0,572.0,,0.029212325576457587,0.02916596556172535
2018-2-15,6209251.166666667,8914.5,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",7029860.0,8573.0,820.0,6314404.0,8819.0,716.0,6207819.0,8881.0,699.0,7065940.0,8617.0,820.0,5155436.000000001,9013.0,572.0,5482048.0,9584.0,572.0,,0.045639736025799627,0.045627822415107655
2018-1-15,5938231.833333333,8525.5,"JADE HEIGHTS(Block 14,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,14座(翡翠閣),100 青山公路青龍頭段",6723180.0,8199.0,820.0,6039460.0,8435.0,716.0,5936607.0,8493.0,699.0,6755980.0,8239.0,820.0,4930640.0,8620.0,572.0,5243524.0,9167.0,572.0,699.8333333333334,,
