,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,nfa_avg,lumpSum_change,npsf_change
2022-12-15,5719242.5,8321.833333333334,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",5983200.0,7200.0,831.0,6083028.0,8484.0,717.0,6186275.999999999,8628.0,717.0,6516702.0,7842.0,831.0,4763727.0,8871.0,537.0,4782522.0,8906.0,537.0,,0.051842955231533594,0.0518432694333264
2022-1-15,6288187.0,9149.666666666666,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6592323.0,7933.0,831.0,6730479.0,9387.0,717.0,6635835.0,9255.0,717.0,7238841.0,8711.0,831.0,5324892.0,9916.0,537.0,5206752.0,9696.0,537.0,,-0.004844985239685129,-0.004840025378410218
2021-12-15,6318801.5,9194.166666666666,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6622239.0,7969.0,831.0,6760593.0,9429.0,717.0,6670251.0,9303.0,717.0,7277067.0,8757.0,831.0,5350668.0,9964.0,537.0,5231991.0,9743.0,537.0,,-0.040139355059413684,-0.03935568132346556
2021-11-15,6583040.5,9570.833333333334,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6917244.0,8324.0,831.0,7061016.0,9848.0,717.0,6971391.0,9723.0,717.0,7606143.0,9153.0,831.0,5590707.0,10411.0,537.0,5351742.0,9966.0,537.0,,0.033258378221250995,0.03325116505029069
2021-10-15,6371146.5,9262.833333333334,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6692043.0,8053.0,831.0,6830142.0,9526.0,717.0,6749121.0,9413.0,717.0,7364322.0,8862.0,831.0,5410275.0,10075.0,537.0,5180976.0,9648.0,537.0,,-0.011710442316496872,-0.010610079575596676
2021-9-15,6446639.5,9362.166666666666,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6795918.0,8178.0,831.0,6935541.0,9673.0,717.0,6858105.0,9565.0,717.0,7483986.0,9006.0,831.0,5341539.0,9947.0,537.0,5264748.0,9804.0,537.0,,0.002303779551113161,0.0023017629005781526
2021-8-15,6431822.0,9340.666666666666,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6778467.0,8157.0,831.0,6916899.0,9647.0,717.0,6843048.0,9544.0,717.0,7469859.0,8989.0,831.0,5328113.999999999,9922.0,537.0,5254545.0,9785.0,537.0,,-0.009973423854313102,-0.009980745111201506
2021-7-15,6496615.5,9434.833333333334,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6844947.0,8237.0,831.0,6983580.0,9740.0,717.0,6912597.0,9641.0,717.0,7547973.0,9083.0,831.0,5381277.0,10021.0,537.0,5309319.0,9887.0,537.0,,0.00975543339093754,0.009558967774151661
2021-6-15,6433850.5,9345.5,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6772650.0,8150.0,831.0,6908295.0,9635.0,717.0,6841614.0,9542.0,717.0,7473183.0,8993.0,831.0,5324892.0,9916.0,537.0,5282469.0,9837.0,537.0,,0.009409740449842552,0.009305925552595573
2021-5-15,6373874.0,9259.333333333334,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6689550.0,8050.0,831.0,6845199.0,9547.0,717.0,6782103.0,9459.0,717.0,7410858.0,8918.0,831.0,5277099.0,9827.0,537.0,5238435.0,9755.0,537.0,,0.00039968122812705786,0.0004141681522698004
2021-4-15,6371327.5,9255.5,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6688719.0,8049.0,831.0,6838746.0,9538.0,717.0,6779235.0,9455.0,717.0,7410027.0,8917.0,831.0,5273340.0,9820.0,537.0,5237898.0,9754.0,537.0,,-0.0006097833563259991,-0.0005938883489904345
2021-3-15,6375215.0,9261.0,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6695367.0,8057.0,831.0,6838746.0,9538.0,717.0,6782820.0,9460.0,717.0,7416675.0,8925.0,831.0,5274951.0,9823.0,537.0,5242731.0,9763.0,537.0,,0.031212662767385435,0.031732179660953985
2021-2-15,6182250.5,8976.166666666666,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6505899.0,7829.0,831.0,6640137.0,9261.0,717.0,6588513.0,9189.0,717.0,7206432.0,8672.0,831.0,5058003.0,9419.0,537.0,5094519.0,9487.0,537.0,,0.008818811113919578,0.008822537743977898
2021-1-15,6128207.0,8897.666666666666,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6450222.0,7762.0,831.0,6579909.0,9177.0,717.0,6529719.0,9107.0,717.0,7144938.000000001,8598.0,831.0,5013432.0,9336.0,537.0,5051022.0,9406.0,537.0,,0.009088487797448197,0.009091768263869149
2020-12-15,6073012.5,8817.5,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6392883.0,7693.0,831.0,6520398.0,9094.0,717.0,6468774.0,9022.0,717.0,7081782.0,8522.0,831.0,4968324.0,9252.0,537.0,5005914.0,9322.0,537.0,,0.007612243467353563,0.007618322064565142
2020-11-15,6027132.5,8750.833333333334,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6346347.0,7637.0,831.0,6470925.0,9025.0,717.0,6417867.0,8951.0,717.0,7028598.0,8458.0,831.0,4930734.0,9182.0,537.0,4968324.0,9252.0,537.0,,-0.008278316367729244,-0.00786077360594084
2020-10-15,6077443.5,8820.166666666666,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6400361.999999999,7702.0,831.0,6521115.0,9095.0,717.0,6526851.0,9103.0,717.0,7083444.0,8524.0,831.0,4925364.0,9172.0,537.0,5007524.999999999,9325.0,537.0,,-0.025631852154391677,-0.02562922320623051
2020-9-15,6237317.5,9052.166666666666,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6572379.0,7909.0,831.0,6691044.0,9332.0,717.0,6696780.0,9340.0,717.0,7268757.0,8747.0,831.0,5055855.0,9415.0,537.0,5139090.0,9570.0,537.0,,0.03936513803172903,0.03936390079608065
2020-8-15,6001084.0,8709.333333333334,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6326403.0,7613.0,831.0,6436509.000000001,8977.0,717.0,6440811.0,8983.0,717.0,6992865.0,8415.0,831.0,4865757.0,9061.0,537.0,4944159.0,9207.0,537.0,,-0.00955131701753853,-0.009552691432903715
2020-7-15,6058955.0,8793.333333333334,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6391221.0,7691.0,831.0,6497454.0,9062.0,717.0,6501039.0,9067.0,717.0,7058514.0,8494.0,831.0,4913550.0,9150.0,537.0,4991952.0,9296.0,537.0,,0.001634301080050582,0.0010625379477839925
2020-6-15,6049069.0,8784.0,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6371277.0,7667.0,831.0,6472359.0,9027.0,717.0,6475227.0,9031.0,717.0,7031922.0,8462.0,831.0,4969935.0,9255.0,537.0,4973694.0,9262.0,537.0,,-0.019954131654674967,-0.02086313560109232
2020-5-15,6172230.5,8971.166666666666,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6337206.0,7626.0,831.0,6639420.0,9260.0,717.0,6642288.000000001,9264.0,717.0,7213080.0,8680.0,831.0,5098815.0,9495.0,537.0,5102574.0,9502.0,537.0,,0.021740643670911552,0.021753573394582393
2020-4-15,6040897.5,8780.166666666666,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6204246.0,7466.0,831.0,6496737.0,9061.0,717.0,6500322.0,9066.0,717.0,7060176.0,8496.0,831.0,4989804.0,9292.0,537.0,4994100.000000001,9300.0,537.0,,0.0021177374780227964,0.0020161673799332647
2020-3-15,6028131.5,8762.5,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6209232.0,7472.0,831.0,6404961.0,8933.0,717.0,6503190.0,9070.0,717.0,7062669.0,8499.0,831.0,4991952.0,9296.0,537.0,4996784.999999999,9305.0,537.0,,0.031176500020741127,0.031185642836128347
2020-2-15,5845877.5,8497.5,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6023088.0,7248.0,831.0,6210654.000000001,8662.0,717.0,6306015.0,8795.0,717.0,6849102.0,8242.0,831.0,4840518.0,9014.0,537.0,4845888.0,9024.0,537.0,,-0.04381139921408028,-0.043810131092815285
2020-1-15,6113728.5,8886.833333333334,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6300642.0,7582.0,831.0,6493869.000000001,9057.0,717.0,6594966.0,9198.0,717.0,7162389.0,8619.0,831.0,5062299.0,9427.0,537.0,5068206.0,9438.0,537.0,,-0.007836798296142922,-0.007833724089166716
2019-12-15,6162019.0,8957.0,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6351333.0,7643.0,831.0,6544776.0,9128.0,717.0,6646590.0,9270.0,717.0,7218897.0,8687.0,831.0,5102037.0,9501.0,537.0,5108481.0,9513.0,537.0,,0.009282685908822419,0.008519741780513401
2019-11-15,6105345.0,8881.333333333334,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6323910.0,7610.0,831.0,6516096.0,9088.0,717.0,6618626.999999999,9231.0,717.0,7014471.0,8441.0,831.0,5080020.0,9460.0,537.0,5078946.0,9458.0,537.0,,0.016437047561238316,0.016442223324304894
2019-10-15,6006614.0,8737.666666666666,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6222528.0,7488.0,831.0,6409263.0,8939.0,717.0,6511794.0,9082.0,717.0,6901455.0,8305.0,831.0,4997859.0,9307.0,537.0,4996785.0,9305.0,537.0,,-0.02672994597817735,-0.026733004121338166
2019-9-15,6171580.0,8977.666666666666,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6393714.0,7694.0,831.0,6584928.0,9184.0,717.0,6690327.0,9331.0,717.0,7090923.0,8533.0,831.0,5135331.0,9563.0,537.0,5134257.0,9561.0,537.0,,0.006303849765503244,0.006314452249289948
2019-8-15,6132919.0,8921.333333333334,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6354657.0,7647.0,831.0,6542625.0,9125.0,717.0,6648741.0,9273.0,717.0,7046880.000000001,8480.0,831.0,5102574.0,9502.0,537.0,5102037.0,9501.0,537.0,,-0.0202554829794499,-0.020261736981788236
2019-7-15,6259712.5,9105.833333333334,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6485955.0,7805.0,831.0,6677421.0,9313.0,717.0,6786405.0,9465.0,717.0,7192305.0,8655.0,831.0,5208362.999999999,9699.0,537.0,5207826.0,9698.0,537.0,,0.03258235634899065,0.03182247403210581
2019-6-15,6062192.0,8825.0,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6333882.0,7622.0,831.0,6042159.0,8427.0,717.0,6758442.0,9426.0,717.0,7022781.0,8451.0,831.0,5131035.0,9555.0,537.0,5084853.0,9469.0,537.0,,-0.0020939396246447695,-0.0058018363093561565
2019-5-15,6074912.5,8876.5,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6482631.0,7801.0,831.0,6184125.0,8625.0,717.0,6921201.0,9653.0,717.0,6404517.0,7707.0,831.0,5252934.0,9782.0,537.0,5204067.0,9691.0,537.0,,-0.010857118898722096,-0.006714037934314354
2019-4-15,6141592.5,8936.5,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6336375.0,7625.0,831.0,6470208.0,9024.0,717.0,6767763.0,9439.0,717.0,7041063.0,8473.0,831.0,5148219.0,9587.0,537.0,5085927.0,9471.0,537.0,,0.0338166491546954,0.030025357307514877
2019-3-15,5940698.0,8676.0,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6289008.0,7568.0,831.0,6428622.0,8966.0,717.0,6585645.0,9185.0,717.0,6212556.0,7476.0,831.0,5080020.000000001,9460.0,537.0,5048337.0,9401.0,537.0,,0.008274260467232786,0.01274294274430443
2019-2-15,5891946.5,8566.833333333334,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6003143.999999999,7224.0,831.0,6730479.0,9387.0,717.0,6286656.0,8768.0,717.0,6663789.0,8019.0,831.0,4849647.0,9031.0,537.0,4817964.0,8972.0,537.0,,-0.02398125669186446,-0.025037461353160984
2019-1-15,6036714.5,8786.833333333334,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6127794.0,7374.0,831.0,6870294.0,9582.0,717.0,6417867.000000001,8951.0,717.0,6798411.0,8181.0,831.0,5087538.0,9474.0,537.0,4918382.999999999,9159.0,537.0,,-0.007914625676719078,-0.00795950624717745
2018-12-15,6084874.0,8857.333333333334,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6176823.0,7433.0,831.0,6924785.999999999,9658.0,717.0,6470208.0,9024.0,717.0,6848271.0,8241.0,831.0,5131035.0,9555.0,537.0,4958121.0,9233.0,537.0,,-0.013814260508666854,-0.012982188956781715
2018-11-15,6170109.5,8973.833333333334,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6283191.0,7561.0,831.0,7043808.0,9824.0,717.0,6582777.0,9181.0,717.0,6962118.0,8378.0,831.0,5105259.0,9507.0,537.0,5043504.0,9392.0,537.0,,-0.00937107096967682,-0.00940133200868376
2018-10-15,6228477.0,9059.0,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6343023.0,7633.0,831.0,7110489.0,9917.0,717.0,6645873.0,9269.0,717.0,7024443.0,8453.0,831.0,5155200.0,9600.0,537.0,5091834.0,9482.0,537.0,,-0.03851666895004047,-0.03854385933879323
2018-9-15,6477987.5,9422.166666666666,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6597309.0,7939.0,831.0,7395855.0,10315.0,717.0,6913314.0,9642.0,717.0,7301997.0,8787.0,831.0,5363019.0,9987.0,537.0,5296431.0,9863.0,537.0,,0.018742427826095698,0.0187227448012397
2018-8-15,6358808.0,9249.0,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6476814.0,7794.0,831.0,7259625.0,10125.0,717.0,6787839.0,9467.0,717.0,7164051.0,8621.0,831.0,5265285.0,9805.0,537.0,5199234.0,9682.0,537.0,,-0.023574650808757647,-0.024264162886380447
2018-7-15,6512334.0,9479.0,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6659634.0,8014.0,831.0,7463970.0,10410.0,717.0,6979995.0,9735.0,717.0,7208925.0,8675.0,831.0,5415108.0,10084.0,537.0,5346372.0,9956.0,537.0,,0.027764391731434523,0.027738123204250176
2018-6-15,6336407.5,9223.166666666666,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6480138.0,7798.0,831.0,7263927.0,10131.0,717.0,6792857.999999999,9474.0,717.0,7009485.0,8435.0,831.0,5270118.0,9814.0,537.0,5201919.0,9687.0,537.0,,0.03413528609562655,0.03410322532421417
2018-5-15,6127252.0,8919.0,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6266571.0,7541.0,831.0,7026599.999999999,9800.0,717.0,6569871.0,9163.0,717.0,6772650.0,8150.0,831.0,5097204.0,9492.0,537.0,5030616.0,9368.0,537.0,,-0.005671351140826286,-0.005685618729097008
2018-4-15,6162200.0,8970.0,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6300642.0,7582.0,831.0,7078224.0,9872.0,717.0,6606438.0,9214.0,717.0,6804228.0,8188.0,831.0,5125665.0,9545.0,537.0,5058003.000000001,9419.0,537.0,,-0.002617598728467785,-0.0009467060199365163
2018-3-15,6178372.5,8978.5,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6584844.0,7924.0,831.0,7107621.0,9913.0,717.0,6547644.0,9132.0,717.0,6737748.0,8108.0,831.0,5080557.000000001,9461.0,537.0,5011821.0,9333.0,537.0,,0.027645797605403644,0.02762146386128239
2018-2-15,6012161.5,8737.166666666666,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6409503.0,7713.0,831.0,6916899.0,9647.0,717.0,6372696.0,8888.0,717.0,6551604.0,7884.0,831.0,4945233.0,9209.0,537.0,4877034.0,9082.0,537.0,,0.04231228654149555,0.04241399880691987
2018-1-15,5768100.0,8381.666666666666,"HOOVER HEIGHTS(Block 12,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,12座(豪華閣),100 青山公路青龍頭段",6132780.0,7380.0,831.0,6613608.000000001,9224.0,717.0,6204201.0,8653.0,717.0,6261585.0,7535.0,831.0,4732581.0,8813.0,537.0,4663845.0,8685.0,537.0,695.0,,
