,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,nfa_avg,lumpSum_change,npsf_change
2022-12-15,5854351.031947385,9411.666666666666,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",6640851.859913937,8857.0,831.0,6127045.651420761,9471.0,717.0,6144512.680518888,9498.0,717.0,6600363.432632086,8803.0,831.0,4798671.727510471,9904.0,537.0,4814660.83968816,9937.0,537.0,,0.051902880981014254,0.005018865238129111
2022-1-15,6392883.479942821,9222.833333333334,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7222221.0,8691.0,831.0,6654477.0,9281.0,717.0,6654477.0,9281.0,717.0,7193967.0,8657.0,831.0,5277194.879656922,9455.0,537.0,5354964.0,9972.0,537.0,,-0.005096875354650532,-0.005552959781475741
2021-12-15,6425634.1362096695,9274.333333333334,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7260447.0,8737.0,831.0,6687459.0,9327.0,717.0,6687459.0,9327.0,717.0,7231362.0,8702.0,831.0,5302041.817258017,9525.0,537.0,5385036.000000001,10028.0,537.0,,-0.04321990548352217,-0.03879637946521097
2021-11-15,6715894.4600085495,9648.666666666666,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7589522.999999999,9133.0,831.0,6988599.0,9747.0,717.0,6988599.0,9747.0,717.0,7558776.0,9096.0,831.0,5538887.760051294,9683.0,537.0,5630982.0,10486.0,537.0,,0.03303419419921738,0.025708261724632697
2021-10-15,6501134.713371754,9406.833333333334,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7347702.0,8842.0,831.0,6764178.0,9434.0,717.0,6764178.0,9434.0,717.0,7317786.0,8806.0,831.0,5359192.28023052,9769.0,537.0,5453772.0,10156.0,537.0,,-0.013561367595133822,-0.016878592579689933
2021-9-15,6590511.05644804,9568.333333333334,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7467366.0,8986.0,831.0,6872445.0,9585.0,717.0,6872445.0,9585.0,717.0,7436619.0,8949.0,831.0,5349666.338688243,9980.0,537.0,5544525.0,10325.0,537.0,,0.0019899027891927545,0.004865924525659926
2021-8-15,6577422.624821208,9522.0,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7453239.0,8969.0,831.0,6857387.999999999,9564.0,717.0,6857387.999999999,9564.0,717.0,7422492.0,8932.0,831.0,5337558.748927252,9793.0,537.0,5536470.0,10310.0,537.0,,-0.010294615103532578,-0.01326424870466325
2021-7-15,6645838.979151628,9650.0,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7531353.0,9063.0,831.0,6927654.0,9662.0,717.0,6927654.0,9662.0,717.0,7499775.0,9025.0,831.0,5391983.874909763,10066.0,537.0,5596614.0,10422.0,537.0,,0.010124150252736275,0.013158815706586502
2021-6-15,6579229.867426512,9524.666666666666,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7456563.0,8973.0,831.0,6856671.0,9563.0,717.0,6856671.0,9563.0,717.0,7425816.0,8936.0,831.0,5336744.204559077,9791.0,537.0,5542914.0,10322.0,537.0,,-0.0013388835701074742,-0.004546325489034775
2021-5-15,6588050.5,9568.166666666666,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7493127.0,9017.0,831.0,6802896.0,9488.0,717.0,6788556.0,9468.0,717.0,7452408.0,8968.0,831.0,5492436.0,10228.0,537.0,5498880.0,10240.0,537.0,,-0.00038107524062436227,-0.0003656625457078011
2021-4-15,6590562.0,9571.666666666666,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7496451.0,9021.0,831.0,6806481.0,9493.0,717.0,6790707.0,9471.0,717.0,7455732.0,8972.0,831.0,5493510.0,10230.0,537.0,5500491.0,10243.0,537.0,,0.0001703483278054918,0.000121902373613203
2021-3-15,6589439.5,9570.5,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7507254.0,9034.0,831.0,6755574.0,9422.0,717.0,6799311.0,9483.0,717.0,7466535.000000001,8985.0,831.0,5499954.0,10242.0,537.0,5508009.0,10257.0,537.0,,0.028755458312461846,0.02877259616245942
2021-2-15,6405253.5,9302.833333333334,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7298673.0,8783.0,831.0,6565569.0,9157.0,717.0,6609306.0,9218.0,717.0,7258785.0,8735.0,831.0,5345835.0,9955.0,537.0,5353353.0,9969.0,537.0,,0.0159774475515293,0.0312038131835648
2021-1-15,6304523.309485305,9021.333333333334,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7262939.999999999,8740.0,831.0,6447981.0,8993.0,717.0,6500321.999999999,9066.0,717.0,7210587.0,8677.0,831.0,5095453.8569118325,8764.0,537.0,5309856.0,9888.0,537.0,,0.008522406032259289,0.0068639669636711975
2020-12-15,6251247.638898411,8959.833333333334,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7203107.999999999,8668.0,831.0,6394206.0,8918.0,717.0,6446547.0,8991.0,717.0,7150755.0,8605.0,831.0,5048658.833390469,8774.0,537.0,5264211.0,9803.0,537.0,,0.00968326458100166,0.009881088798301851
2020-11-15,6191295.684684399,8872.166666666666,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7153248.0,8608.0,831.0,6349752.0,8856.0,717.0,6402810.0,8930.0,717.0,7101726.0,8546.0,831.0,4956040.1081063915,8639.0,537.0,5184198.0,9654.0,537.0,,-0.00822165809449682,-0.0020995407254664755
2020-10-15,6242620.375021566,8890.833333333334,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7213911.0,8681.0,831.0,6402810.0,8930.0,717.0,6457302.0,9006.0,717.0,7161558.0,8618.0,831.0,4994594.250129394,8379.0,537.0,5225547.0,9731.0,537.0,,-0.025913004891482183,-0.016917604997880642
2020-9-15,6408688.758159746,9043.833333333334,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7406702.999999999,8913.0,831.0,6573456.0,9168.0,717.0,6630099.0,9247.0,717.0,7353519.0,8849.0,831.0,5124799.548958479,8098.0,537.0,5363556.0,9988.0,537.0,,0.03899860095323504,0.031243467188658114
2020-8-15,6168139.930390723,8769.833333333334,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7129980.0,8580.0,831.0,6327525.0,8825.0,717.0,6382734.0,8902.0,717.0,7078458.0,8518.0,831.0,4929572.582344335,8184.0,537.0,5160570.0,9610.0,537.0,,-0.009646541126692498,-0.010120962432040859
2020-7-15,6228220.7176900385,8859.5,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7201446.0,8666.0,831.0,6387036.0,8908.0,717.0,6443679.0,8987.0,717.0,7149924.0,8604.0,831.0,4976191.306140233,8288.0,537.0,5211048.0,9704.0,537.0,,0.0036289518435010937,0.0075437366136583694
2020-6-15,6205700.529313969,8793.166666666666,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7178178.0,8638.0,831.0,6361941.0,8873.0,717.0,6419300.999999999,8953.0,717.0,7125825.0,8575.0,831.0,4956705.175883814,8051.0,537.0,5192253.0,9669.0,537.0,,-0.03338058211272621,-0.05642593983617705
2020-5-15,6420004.0,9319.0,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7371801.0,8871.0,831.0,6534021.0,9113.0,717.0,6585645.0,9185.0,717.0,7327758.0,8818.0,831.0,5373222.0,10006.0,537.0,5327577.0,9921.0,537.0,,0.02159486294048385,0.021614806964973976
2020-4-15,6284295.5,9121.833333333334,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7217235.0,8685.0,831.0,6394206.0,8918.0,717.0,6445830.0,8990.0,717.0,7174854.0,8634.0,831.0,5258841.0,9793.0,537.0,5214807.0,9711.0,537.0,,-0.009886879695883866,-0.009250208174939267
2020-3-15,6347048.0,9207.0,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7194798.0,8658.0,831.0,6648024.0,9272.0,717.0,6666666.0,9298.0,717.0,7149093.0,8603.0,831.0,5205678.0,9694.0,537.0,5218029.0,9717.0,537.0,,0.031133514534413154,0.03115375282325039
2020-2-15,6155408.5,8928.833333333334,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",6979569.0,8399.0,831.0,6445113.0,8989.0,717.0,6463755.0,9015.0,717.0,6935526.0,8346.0,831.0,5047800.0,9400.0,537.0,5060687.999999999,9424.0,537.0,,-0.04379939232862662,-0.043783243494091906
2020-1-15,6437361.0,9337.666666666666,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7300335.0,8785.0,831.0,6739083.0,9399.0,717.0,6758442.000000001,9426.0,717.0,7255460.999999999,8731.0,831.0,5277636.0,9828.0,537.0,5293209.0,9857.0,537.0,,-0.007877660004854792,-0.007862581901894816
2019-12-15,6488475.0,9411.666666666666,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7360167.0,8857.0,831.0,6790707.0,9471.0,717.0,6810066.0,9498.0,717.0,7315293.0,8803.0,831.0,5318448.0,9904.0,537.0,5336169.0,9937.0,537.0,,0.004403230325555674,0.005018865238129111
2019-11-15,6460030.0,9364.666666666666,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7377618.0,8878.0,831.0,6760593.0,9429.0,717.0,6779951.999999999,9456.0,717.0,7286208.0,8768.0,831.0,5241657.0,9761.0,537.0,5314152.0,9896.0,537.0,,0.016438135669158083,0.01644385752274835
2019-10-15,6355556.5,9213.166666666666,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7257954.0,8734.0,831.0,6649458.0,9274.0,717.0,6668817.0,9301.0,717.0,7171530.0,8630.0,831.0,5155737.0,9601.0,537.0,5229843.0,9739.0,537.0,,-0.024498821634829082,-0.024872550230203405
2019-9-15,6515170.5,9448.166666666666,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7458225.0,8975.0,831.0,6831576.000000001,9528.0,717.0,6850935.0,9555.0,717.0,7279560.0,8760.0,831.0,5295894.0,9862.0,537.0,5374833.0,10009.0,537.0,,0.006365578409505135,0.006373158175039917
2019-8-15,6473960.0,9388.333333333334,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7410858.0,8918.0,831.0,6787122.0,9466.0,717.0,6807198.0,9494.0,717.0,7235517.0,8707.0,831.0,5260989.0,9797.0,537.0,5342076.0,9948.0,537.0,,-0.02115787729350449,-0.021403008929501977
2019-7-15,6613896.0,9593.666666666666,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7564593.0,9103.0,831.0,6926220.0,9660.0,717.0,6946296.0,9688.0,717.0,7387590.0,8890.0,831.0,5368389.0,9997.0,537.0,5490287.999999999,10224.0,537.0,,0.024183118273175985,0.024198427102238185
2019-6-15,6457728.0,9367.0,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7385928.0,8888.0,831.0,6762027.0,9431.0,717.0,6781386.0,9458.0,717.0,7215573.0,8683.0,831.0,5240583.0,9759.0,537.0,5360871.0,9983.0,537.0,,-0.022805913559471924,-0.02279484638255702
2019-5-15,6608439.5,9585.5,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7558776.0,9096.0,831.0,6918333.000000001,9649.0,717.0,6939126.0,9678.0,717.0,7385928.0,8888.0,831.0,5361944.999999999,9985.0,537.0,5486529.0,10217.0,537.0,,0.0230880030938303,0.02292615253272623
2019-4-15,6459307.0,9370.666666666666,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7385097.0,8887.0,831.0,6757008.0,9424.0,717.0,6777084.0,9452.0,717.0,7216404.0,8684.0,831.0,5259915.0,9795.0,537.0,5360334.0,9982.0,537.0,,0.010056219724870807,0.009715712156313394
2019-3-15,6394997.5,9280.5,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7326927.0,8817.0,831.0,6701799.0,9347.0,717.0,6721874.999999999,9375.0,717.0,7083444.0,8524.0,831.0,5217492.0,9716.0,537.0,5318448.0,9904.0,537.0,,0.053077775381798586,0.053664351808049515
2019-2-15,6072673.5,8807.833333333334,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",6986217.0,8407.0,831.0,6351186.0,8858.0,717.0,6369828.0,8884.0,717.0,6761016.0,8136.0,831.0,4977453.0,9269.0,537.0,4990341.0,9293.0,537.0,,-0.01990698057260165,-0.01988167436339683
2019-1-15,6196017.5,8986.5,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7127487.0,8577.0,831.0,6479529.000000001,9037.0,717.0,6498171.0,9063.0,717.0,6902286.0,8306.0,831.0,5077335.0,9455.0,537.0,5091297.0,9481.0,537.0,,-0.007527377414520031,-0.007491808710378134
2018-12-15,6243011.0,9054.333333333334,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7181502.0,8642.0,831.0,6527568.0,9104.0,717.0,6546927.0,9131.0,717.0,6958794.0,8374.0,831.0,5114925.0,9525.0,537.0,5128350.0,9550.0,537.0,,-0.015155348992172635,-0.015655009965573452
2018-11-15,6339082.0,9198.333333333334,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7224714.0,8694.0,831.0,6635835.0,9255.0,717.0,6655911.0,9283.0,717.0,7079289.0,8519.0,831.0,5199771.0,9683.0,537.0,5238972.0,9756.0,537.0,,-0.008986154672920077,-0.008960476934403494
2018-10-15,6396562.5,9281.5,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7289532.0,8772.0,831.0,6695346.0,9338.0,717.0,6715422.0,9366.0,717.0,7147431.0,8601.0,831.0,5245953.0,9769.0,537.0,5285691.0,9843.0,537.0,,-0.03626081286270755,-0.03552130239002427
2018-9-15,6637234.0,9623.333333333334,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7594509.0,9139.0,831.0,6959919.0,9707.0,717.0,6980712.0,9736.0,717.0,7434957.0,8947.0,831.0,5359259.999999999,9980.0,537.0,5494047.0,10231.0,537.0,,0.019093471774892734,0.019115025504350847
2018-8-15,6512880.5,9442.833333333334,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7452408.0,8968.0,831.0,6828708.0,9524.0,717.0,6848784.0,9552.0,717.0,7298673.0,8783.0,831.0,5258841.0,9793.0,537.0,5389869.0,10037.0,537.0,,-0.027082353470170184,-0.027063692408084705
2018-7-15,6694174.5,9705.5,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7659327.0,9217.0,831.0,7017279.0,9787.0,717.0,7038789.0,9817.0,717.0,7505592.0,9032.0,831.0,5405442.0,10066.0,537.0,5538618.0,10314.0,537.0,,0.028086423047456455,0.028106848396038275
2018-6-15,6511295.5,9440.166666666666,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7449915.0,8965.0,831.0,6825123.0,9519.0,717.0,6845199.0,9547.0,717.0,7303659.0,8789.0,831.0,5257767.0,9791.0,537.0,5386110.0,10030.0,537.0,,0.03594054152523429,0.03571167349327098
2018-5-15,6285395.0,9114.666666666666,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7115022.0,8562.0,831.0,6597117.0,9201.0,717.0,6616476.0,9228.0,717.0,7095909.0,8539.0,831.0,5082705.0,9465.0,537.0,5205141.0,9693.0,537.0,,-0.005053330776341292,-0.005039570635859358
2018-4-15,6317318.5,9160.833333333334,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7151586.0,8606.0,831.0,6630099.0,9247.0,717.0,6650892.0,9276.0,717.0,7132473.0,8583.0,831.0,5108481.000000001,9513.0,537.0,5230380.0,9740.0,537.0,,0.009466487026804415,0.009476758067182178
2018-3-15,6258076.5,9074.833333333334,"GRENVILLE HEIGHTS(Block 11,Phase 2,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,2期,11座(嘉蘭閣),100 青山公路青龍頭段",7085106.0,8526.0,831.0,6567720.000000001,9160.0,717.0,6588513.0,9189.0,717.0,7065993.0,8503.0,831.0,5060688.0,9424.0,537.0,5180439.0,9647.0,537.0,,0.027775380449202025,0.027785642826132273
