,lumpSum_avg,npsf_avg,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_F,npsf_F,nfa_F,nfa_avg,lumpSum_change,npsf_change
2022-12-15,13450110.0,22466.0,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",11013180.0,21220.0,519.0,15887040.000000002,23712.0,670.0,,-0.04535726076697788,-0.045360868549089606
2021-11-15,15613992.5,26080.5,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",12785565.0,24635.0,519.0,18442420.0,27526.0,670.0,,-0.04866065900113281,-0.048660380455598284
2021-10-15,16412642.5,27414.5,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",13439505.0,25895.0,519.0,19385780.0,28934.0,670.0,,-0.010968080443256034,-0.010967404441077244
2021-9-15,16594654.0,27718.5,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",13588458.0,26182.0,519.0,19600850.0,29255.0,670.0,,-0.014031026140605585,-0.01403265393234443
2021-8-15,16830807.5,28113.0,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",13782044.999999998,26555.0,519.0,19879570.0,29671.0,670.0,,0.06694874051729816,0.06694751223955375
2021-7-15,15774710.5,26349.0,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",12917390.999999998,24889.0,519.0,18632030.0,27809.0,670.0,,-0.07769256955911585,-0.07769046327248541
2021-6-15,17103527.5,28568.5,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",14005215.0,26985.0,519.0,20201840.0,30152.0,670.0,,0.03715628316434305,0.037157378834634214
2021-5-15,16490791.0,27545.0,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",13503342.0,26018.0,519.0,19478240.0,29072.0,670.0,,0.3772477804219463,0.3658451926414439
2021-4-15,11973728.5,20167.0,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",10573587.0,20373.0,519.0,13373870.0,19961.0,670.0,,0.002410687443789028,0.002410716504709587
2021-3-15,11944933.0,20118.5,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",10548156.0,20324.0,519.0,13341710.0,19913.0,670.0,,0.0030670763827476133,0.0030662611557061847
2021-2-15,11908409.0,20057.0,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",10515978.0,20262.0,519.0,13300840.0,19852.0,670.0,,0.00829277079844637,0.008294791876131136
2021-1-15,11810467.5,19892.0,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",10429305.0,20095.0,519.0,13191630.0,19689.0,670.0,,0.026420504097654396,0.02641898864809078
2020-12-15,11506461.0,19380.0,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",10160982.0,19578.0,519.0,12851940.000000002,19182.0,670.0,,,
2020-11-15,,,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",,,519.0,,,670.0,,,
2020-10-15,,,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",,,519.0,,,670.0,,,
2020-9-15,,,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",,,519.0,,,670.0,,,
2020-8-15,,,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",,,519.0,,,670.0,,,
2020-7-15,,,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",,,519.0,,,670.0,,,
2020-6-15,,,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",,,519.0,,,670.0,,,
2020-5-15,,,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",,,519.0,,,670.0,,,
2020-4-15,,,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",,,519.0,,,670.0,,,
2020-3-15,,,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",,,519.0,,,670.0,,,
2020-2-15,,,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",,,519.0,,,670.0,,,
2020-1-15,,,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",,,519.0,,,670.0,,,
2019-12-15,,,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",,,519.0,,,670.0,,,
2019-11-15,,,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",,,519.0,,,670.0,,,
2019-10-15,,,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",,,519.0,,,670.0,,,
2019-9-15,,,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",,,519.0,,,670.0,,,
2019-8-15,,,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",,,519.0,,,670.0,,,
2019-7-15,,,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",,,519.0,,,670.0,,,
2019-6-15,,,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",,,519.0,,,670.0,,,
2019-5-15,,,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",,,519.0,,,670.0,,,
2019-4-15,,,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",,,519.0,,,670.0,,,
2019-3-15,,,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",,,519.0,,,670.0,,,
2019-2-15,,,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",,,519.0,,,670.0,,,
2019-1-15,,,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",,,519.0,,,670.0,,,
2018-12-15,,,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",,,519.0,,,670.0,,,
2018-11-15,,,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",,,519.0,,,670.0,,,
2018-10-15,,,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",,,519.0,,,670.0,,,
2018-9-15,,,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",,,519.0,,,670.0,,,
2018-8-15,,,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",,,519.0,,,670.0,,,
2018-7-15,,,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",,,519.0,,,670.0,,,
2018-6-15,,,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",,,519.0,,,670.0,,,
2018-5-15,,,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",,,519.0,,,670.0,,,
2018-4-15,,,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",,,519.0,,,670.0,,,
2018-3-15,,,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",,,519.0,,,670.0,,,
2018-2-15,,,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",,,519.0,,,670.0,,,
2018-1-15,,,"KOKO HILLS(Phase 1),Block 5,KO LING RD|KOKO HILLS1期,5座,高嶺道",,,519.0,,,670.0,594.5,,
