,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2016-1-15,14333728.0,14108.0,1,14333728.0,14108,1016.0,19A FUNG FAI TERR|19A 鳳輝臺,14333728.0,14108.0,1016.0,-0.03422782037239869,-0.03422782037239869
2018-8-15,14185392.0,13962.0,1,14185392.0,13962,1016.0,19A FUNG FAI TERR|19A 鳳輝臺,14185392.0,13962.0,1016.0,-0.09012707722385138,-0.09012707722385138
2018-9-15,15590520.0,15345.0,1,15590520.0,15345,1016.0,19A FUNG FAI TERR|19A 鳳輝臺,15590520.0,15345.0,1016.0,0.08852947435624592,0.08852947435624592
2018-10-15,14322552.0,14097.0,1,14322552.0,14097,1016.0,19A FUNG FAI TERR|19A 鳳輝臺,14322552.0,14097.0,1016.0,0.017907430139360248,0.017907430139360248
2018-11-15,14070584.0,13849.0,1,14070584.0,13849,1016.0,19A FUNG FAI TERR|19A 鳳輝臺,14070584.0,13849.0,1016.0,0.18641309003683704,0.18641309003683704
2018-12-15,11859768.0,11673.0,1,11859768.0,11673,1016.0,19A FUNG FAI TERR|19A 鳳輝臺,11859768.0,11673.0,1016.0,-0.20564817965294313,-0.20564817965294313
2019-1-15,14930120.0,14695.0,1,14930120.0,14695,1016.0,19A FUNG FAI TERR|19A 鳳輝臺,14930120.0,14695.0,1016.0,-0.03449408672798948,-0.03449408672798948
2019-2-15,15463520.0,15220.0,1,15463520.0,15220,1016.0,19A FUNG FAI TERR|19A 鳳輝臺,15463520.0,15220.0,1016.0,0.1003470213996529,0.1003470213996529
2019-3-15,14053312.0,13832.0,1,14053312.0,13832,1016.0,19A FUNG FAI TERR|19A 鳳輝臺,14053312.0,13832.0,1016.0,0.038360483447188676,0.038360483447188676
2019-4-15,13534136.0,13321.0,1,13534136.0,13321,1016.0,19A FUNG FAI TERR|19A 鳳輝臺,13534136.0,13321.0,1016.0,-0.0847189776006596,-0.0847189776006596
2019-5-15,14786864.0,14554.0,1,14786864.0,14554,1016.0,19A FUNG FAI TERR|19A 鳳輝臺,14786864.0,14554.0,1016.0,-0.011948404616429098,-0.011948404616429098
2019-6-15,14965680.0,14730.0,1,14965680.0,14730,1016.0,19A FUNG FAI TERR|19A 鳳輝臺,14965680.0,14730.0,1016.0,0.012092895423938543,0.012092895423938543
2019-7-15,14786864.0,14554.0,1,14786864.0,14554,1016.0,19A FUNG FAI TERR|19A 鳳輝臺,14786864.0,14554.0,1016.0,-0.0026725142191461604,-0.0026725142191461604
2019-8-15,14826488.0,14593.0,1,14826488.0,14593,1016.0,19A FUNG FAI TERR|19A 鳳輝臺,14826488.0,14593.0,1016.0,0.02522130111001819,0.02522130111001819
2019-9-15,14461744.0,14234.0,1,14461744.0,14234,1016.0,19A FUNG FAI TERR|19A 鳳輝臺,14461744.0,14234.0,1016.0,0.015263908701854456,0.015263908701854456
2019-10-15,14244320.0,14020.0,1,14244320.0,14020,1016.0,19A FUNG FAI TERR|19A 鳳輝臺,14244320.0,14020.0,1016.0,-0.002348253042055104,-0.002348253042055104
2019-11-15,14277848.0,14053.0,1,14277848.0,14053,1016.0,19A FUNG FAI TERR|19A 鳳輝臺,14277848.0,14053.0,1016.0,0.03582221567037669,0.03582221567037669
2019-12-15,13784072.0,13567.0,1,13784072.0,13567,1016.0,19A FUNG FAI TERR|19A 鳳輝臺,13784072.0,13567.0,1016.0,,
2020-1-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2020-2-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2020-3-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2020-4-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2020-5-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2020-6-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2020-7-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2020-8-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2020-9-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2020-10-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2020-11-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2020-12-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2021-1-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2021-2-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2021-3-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2021-4-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2021-5-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2021-6-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2021-7-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2021-8-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2021-9-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2021-10-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2021-11-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2021-12-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2022-1-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2022-2-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2022-3-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2022-4-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2022-5-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2022-6-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2022-7-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2022-8-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2022-9-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2022-10-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2022-11-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
2022-12-15,,,1,,,,19A FUNG FAI TERR|19A 鳳輝臺,,,,,
