,lumpSum_avg,npsf_avg,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,lumpSum_B8,npsf_B8,nfa_B8,nfa_avg,lumpSum_change,npsf_change
2022-12-15,7782878.2,17692.9,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",7428240.0,16290.0,456.0,8754675.0,15495.0,565.0,5547336.0,24988.0,222.0,6288798.0,15801.0,398.0,13276340.0,17242.0,770.0,5538690.0,19434.0,285.0,7854804.0,17691.0,444.0,6923137.0,17179.0,403.0,9732942.0,16839.0,578.0,6483820.0,15970.0,406.0,,-0.08755215369374636,-0.0875480260952528
2021-11-15,9814922.2,22286.5,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",9379920.0,20570.0,456.0,11053660.0,19564.0,565.0,6887328.0,31024.0,222.0,7940100.000000001,19950.0,398.0,16761360.0,21768.0,770.0,6993330.0,24538.0,285.0,9917184.0,22336.0,444.0,8741070.0,21690.0,403.0,12288280.0,21260.0,578.0,8186990.000000001,20165.0,406.0,,0.032035942937076234,0.03202608023190656
2021-10-15,9510252.3,21594.9,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",9089448.0,19933.0,456.0,10710705.0,18957.0,565.0,6673542.0,30061.0,222.0,7693738.0,19331.0,398.0,16239300.000000002,21090.0,770.0,6776445.0,23777.0,285.0,9609048.0,21642.0,444.0,8469851.0,21017.0,403.0,11906800.0,20600.0,578.0,7933646.0,19541.0,406.0,,0.009996373030384254,0.009985314338630813
2021-9-15,9416125.2,21381.4,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",9000528.0,19738.0,456.0,10604485.0,18769.0,565.0,6607830.0,29765.0,222.0,7617720.0,19140.0,398.0,16077600.000000002,20880.0,770.0,6709470.0,23542.0,285.0,9513588.0,21427.0,444.0,8386027.0,20809.0,403.0,11788310.0,20395.0,578.0,7855694.0,19349.0,406.0,,-0.05030639465810505,-0.05031491236641761
2021-8-15,9914908.5,22514.2,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",9478416.0,20786.0,456.0,11166660.0,19764.0,565.0,6957924.0,31342.0,222.0,8021291.999999999,20154.0,398.0,16927680.0,21984.0,770.0,7064865.0,24789.0,285.0,10017084.0,22561.0,444.0,8830536.0,21912.0,403.0,12411972.0,21474.0,578.0,8272656.0,20376.0,406.0,,0.05302120625855311,0.053015102405440384
2021-7-15,9415677.9,21380.7,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",9001896.0,19741.0,456.0,10604485.0,18769.0,565.0,6607608.0,29764.0,222.0,7617720.0,19140.0,398.0,16074520.0,20876.0,770.0,6709185.0,23541.0,285.0,9512256.0,21424.0,444.0,8386027.0,20809.0,403.0,11786576.0,20392.0,578.0,7856506.0,19351.0,406.0,,-0.03307432305210878,-0.03308565820832743
2021-6-15,9737747.3,22112.3,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",9310608.0,20418.0,456.0,10967215.0,19411.0,565.0,6833826.0,30783.0,222.0,7878410.0,19795.0,398.0,16622760.0,21588.0,770.0,6938895.0,24347.0,285.0,9837264.0,22156.0,444.0,8672963.0,21521.0,403.0,12189442.0,21089.0,578.0,8126090.000000001,20015.0,406.0,,-0.0008186870839586025,-0.0008269093472386135
2021-5-15,9745726.0,22130.6,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",9319272.0,20437.0,456.0,10976820.0,19428.0,565.0,6839598.0,30809.0,222.0,7884778.0,19811.0,398.0,16635079.999999998,21604.0,770.0,6944595.0,24367.0,285.0,9844812.0,22173.0,444.0,8680217.0,21539.0,403.0,12198690.0,21105.0,578.0,8133398.000000001,20033.0,406.0,,-0.004178307775899115,-0.004189221416775912
2021-4-15,9786617.5,22223.7,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",9358944.0,20524.0,456.0,11022585.0,19509.0,565.0,6868458.0,30939.0,222.0,7918210.000000001,19895.0,398.0,16703610.0,21693.0,770.0,6973950.0,24470.0,285.0,9885660.0,22265.0,444.0,8716890.0,21630.0,403.0,12249554.0,21193.0,578.0,8168314.0,20119.0,406.0,,0.04568075778072922,0.04566863187017445
2021-3-15,9359087.3,21253.1,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",8951280.0,19630.0,456.0,10541770.0,18658.0,565.0,6568536.0,29588.0,222.0,7572348.0,19026.0,398.0,15972110.0,20743.0,770.0,6669570.0,23402.0,285.0,9453204.0,21291.0,444.0,8336054.999999999,20685.0,403.0,11713748.0,20266.0,578.0,7812252.0,19242.0,406.0,,-0.0024686193293642633,-0.002478186793329673
2021-2-15,9382248.5,21305.9,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",8974080.0,19680.0,456.0,10567760.0,18704.0,565.0,6584964.0,29662.0,222.0,7591452.0,19074.0,398.0,16010610.0,20793.0,770.0,6686100.0,23460.0,285.0,9476292.0,21343.0,444.0,8357011.0,20737.0,403.0,11742070.0,20315.0,578.0,7832146.0,19291.0,406.0,,-0.005070865296387894,-0.005080622189430617
2021-1-15,9430067.1,21414.7,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",9020592.0,19782.0,456.0,10622000.0,18800.0,565.0,6618708.0,29814.0,222.0,7630058.0,19171.0,398.0,16090690.0,20897.0,770.0,6720300.0,23580.0,285.0,9524244.0,21451.0,444.0,8399729.0,20843.0,403.0,11801604.0,20418.0,578.0,7872746.0,19391.0,406.0,,-0.03676147620820336,0.10165713881511684
2020-12-15,9789960.5,19438.625,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",8727384.0,19139.0,456.0,10275655.0,18187.0,565.0,,,222.0,7381308.0,18546.0,398.0,15564010.0,20213.0,770.0,,,285.0,9213000.0,20750.0,444.0,8125689.0,20163.0,403.0,11416078.0,19751.0,578.0,7616560.0,18760.0,406.0,,,
2020-11-15,,,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",,,456.0,,,565.0,,,222.0,,,398.0,,,770.0,,,285.0,,,444.0,,,403.0,,,578.0,,,406.0,,,
2020-10-15,,,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",,,456.0,,,565.0,,,222.0,,,398.0,,,770.0,,,285.0,,,444.0,,,403.0,,,578.0,,,406.0,,,
2020-9-15,,,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",,,456.0,,,565.0,,,222.0,,,398.0,,,770.0,,,285.0,,,444.0,,,403.0,,,578.0,,,406.0,,,
2020-8-15,,,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",,,456.0,,,565.0,,,222.0,,,398.0,,,770.0,,,285.0,,,444.0,,,403.0,,,578.0,,,406.0,,,
2020-7-15,,,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",,,456.0,,,565.0,,,222.0,,,398.0,,,770.0,,,285.0,,,444.0,,,403.0,,,578.0,,,406.0,,,
2020-6-15,,,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",,,456.0,,,565.0,,,222.0,,,398.0,,,770.0,,,285.0,,,444.0,,,403.0,,,578.0,,,406.0,,,
2020-5-15,,,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",,,456.0,,,565.0,,,222.0,,,398.0,,,770.0,,,285.0,,,444.0,,,403.0,,,578.0,,,406.0,,,
2020-4-15,,,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",,,456.0,,,565.0,,,222.0,,,398.0,,,770.0,,,285.0,,,444.0,,,403.0,,,578.0,,,406.0,,,
2020-3-15,,,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",,,456.0,,,565.0,,,222.0,,,398.0,,,770.0,,,285.0,,,444.0,,,403.0,,,578.0,,,406.0,,,
2020-2-15,,,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",,,456.0,,,565.0,,,222.0,,,398.0,,,770.0,,,285.0,,,444.0,,,403.0,,,578.0,,,406.0,,,
2020-1-15,,,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",,,456.0,,,565.0,,,222.0,,,398.0,,,770.0,,,285.0,,,444.0,,,403.0,,,578.0,,,406.0,,,
2019-12-15,,,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",,,456.0,,,565.0,,,222.0,,,398.0,,,770.0,,,285.0,,,444.0,,,403.0,,,578.0,,,406.0,,,
2019-11-15,,,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",,,456.0,,,565.0,,,222.0,,,398.0,,,770.0,,,285.0,,,444.0,,,403.0,,,578.0,,,406.0,,,
2019-10-15,,,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",,,456.0,,,565.0,,,222.0,,,398.0,,,770.0,,,285.0,,,444.0,,,403.0,,,578.0,,,406.0,,,
2019-9-15,,,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",,,456.0,,,565.0,,,222.0,,,398.0,,,770.0,,,285.0,,,444.0,,,403.0,,,578.0,,,406.0,,,
2019-8-15,,,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",,,456.0,,,565.0,,,222.0,,,398.0,,,770.0,,,285.0,,,444.0,,,403.0,,,578.0,,,406.0,,,
2019-7-15,,,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",,,456.0,,,565.0,,,222.0,,,398.0,,,770.0,,,285.0,,,444.0,,,403.0,,,578.0,,,406.0,,,
2019-6-15,,,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",,,456.0,,,565.0,,,222.0,,,398.0,,,770.0,,,285.0,,,444.0,,,403.0,,,578.0,,,406.0,,,
2019-5-15,,,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",,,456.0,,,565.0,,,222.0,,,398.0,,,770.0,,,285.0,,,444.0,,,403.0,,,578.0,,,406.0,,,
2019-4-15,,,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",,,456.0,,,565.0,,,222.0,,,398.0,,,770.0,,,285.0,,,444.0,,,403.0,,,578.0,,,406.0,,,
2019-3-15,,,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",,,456.0,,,565.0,,,222.0,,,398.0,,,770.0,,,285.0,,,444.0,,,403.0,,,578.0,,,406.0,,,
2019-2-15,,,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",,,456.0,,,565.0,,,222.0,,,398.0,,,770.0,,,285.0,,,444.0,,,403.0,,,578.0,,,406.0,,,
2019-1-15,,,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",,,456.0,,,565.0,,,222.0,,,398.0,,,770.0,,,285.0,,,444.0,,,403.0,,,578.0,,,406.0,,,
2018-12-15,,,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",,,456.0,,,565.0,,,222.0,,,398.0,,,770.0,,,285.0,,,444.0,,,403.0,,,578.0,,,406.0,,,
2018-11-15,,,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",,,456.0,,,565.0,,,222.0,,,398.0,,,770.0,,,285.0,,,444.0,,,403.0,,,578.0,,,406.0,,,
2018-10-15,,,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",,,456.0,,,565.0,,,222.0,,,398.0,,,770.0,,,285.0,,,444.0,,,403.0,,,578.0,,,406.0,,,
2018-9-15,,,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",,,456.0,,,565.0,,,222.0,,,398.0,,,770.0,,,285.0,,,444.0,,,403.0,,,578.0,,,406.0,,,
2018-8-15,,,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",,,456.0,,,565.0,,,222.0,,,398.0,,,770.0,,,285.0,,,444.0,,,403.0,,,578.0,,,406.0,,,
2018-7-15,,,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",,,456.0,,,565.0,,,222.0,,,398.0,,,770.0,,,285.0,,,444.0,,,403.0,,,578.0,,,406.0,,,
2018-6-15,,,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",,,456.0,,,565.0,,,222.0,,,398.0,,,770.0,,,285.0,,,444.0,,,403.0,,,578.0,,,406.0,,,
2018-5-15,,,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",,,456.0,,,565.0,,,222.0,,,398.0,,,770.0,,,285.0,,,444.0,,,403.0,,,578.0,,,406.0,,,
2018-4-15,,,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",,,456.0,,,565.0,,,222.0,,,398.0,,,770.0,,,285.0,,,444.0,,,403.0,,,578.0,,,406.0,,,
2018-3-15,,,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",,,456.0,,,565.0,,,222.0,,,398.0,,,770.0,,,285.0,,,444.0,,,403.0,,,578.0,,,406.0,,,
2018-2-15,,,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",,,456.0,,,565.0,,,222.0,,,398.0,,,770.0,,,285.0,,,444.0,,,403.0,,,578.0,,,406.0,,,
2018-1-15,,,"GREENWOOD TOWER 1(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第1座),優景里",,,456.0,,,565.0,,,222.0,,,398.0,,,770.0,,,285.0,,,444.0,,,403.0,,,578.0,,,406.0,452.7,,
