,lumpSum_avg,npsf_avg,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,lumpSum_B8,npsf_B8,nfa_B8,nfa_avg,lumpSum_change,npsf_change
2022-12-15,7024693.7272727275,17392.0,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",7583014.0,16378.0,463.0,10167458.0,16037.0,634.0,6511596.000000001,16198.0,402.0,5160260.0,23780.0,217.0,6667232.0,16027.0,416.0,6287472.0,16722.0,376.0,7045784.999999999,17397.0,405.0,7062671.0,17353.0,407.0,8599014.0,16194.0,531.0,6593236.0,16003.0,412.0,5593893.0,19223.0,291.0,,-0.08751783934642288,-0.0875261729537401
2020-8-15,,,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",,,463.0,,,634.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,412.0,,,291.0,,,
2020-7-15,,,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",,,463.0,,,634.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,412.0,,,291.0,,,
2020-6-15,,,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",,,463.0,,,634.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,412.0,,,291.0,,,
2020-5-15,,,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",,,463.0,,,634.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,412.0,,,291.0,,,
2020-4-15,,,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",,,463.0,,,634.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,412.0,,,291.0,,,
2020-3-15,,,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",,,463.0,,,634.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,412.0,,,291.0,,,
2020-2-15,,,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",,,463.0,,,634.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,412.0,,,291.0,,,
2020-1-15,,,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",,,463.0,,,634.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,412.0,,,291.0,,,
2019-12-15,,,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",,,463.0,,,634.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,412.0,,,291.0,,,
2019-11-15,,,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",,,463.0,,,634.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,412.0,,,291.0,,,
2019-10-15,,,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",,,463.0,,,634.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,412.0,,,291.0,,,
2019-9-15,,,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",,,463.0,,,634.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,412.0,,,291.0,,,
2019-8-15,,,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",,,463.0,,,634.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,412.0,,,291.0,,,
2019-7-15,,,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",,,463.0,,,634.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,412.0,,,291.0,,,
2019-6-15,,,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",,,463.0,,,634.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,412.0,,,291.0,,,
2019-5-15,,,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",,,463.0,,,634.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,412.0,,,291.0,,,
2019-4-15,,,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",,,463.0,,,634.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,412.0,,,291.0,,,
2019-3-15,,,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",,,463.0,,,634.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,412.0,,,291.0,,,
2019-2-15,,,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",,,463.0,,,634.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,412.0,,,291.0,,,
2019-1-15,,,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",,,463.0,,,634.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,412.0,,,291.0,,,
2018-12-15,,,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",,,463.0,,,634.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,412.0,,,291.0,,,
2018-11-15,,,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",,,463.0,,,634.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,412.0,,,291.0,,,
2018-10-15,,,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",,,463.0,,,634.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,412.0,,,291.0,,,
2018-9-15,,,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",,,463.0,,,634.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,412.0,,,291.0,,,
2018-8-15,,,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",,,463.0,,,634.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,412.0,,,291.0,,,
2018-7-15,,,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",,,463.0,,,634.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,412.0,,,291.0,,,
2018-6-15,,,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",,,463.0,,,634.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,412.0,,,291.0,,,
2018-5-15,,,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",,,463.0,,,634.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,412.0,,,291.0,,,
2018-4-15,,,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",,,463.0,,,634.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,412.0,,,291.0,,,
2018-3-15,,,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",,,463.0,,,634.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,412.0,,,291.0,,,
2018-2-15,,,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",,,463.0,,,634.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,412.0,,,291.0,,,
2018-1-15,,,"GREENWOOD TOWER 3(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第3座),優景里",,,463.0,,,634.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,412.0,,,291.0,414.0,,
