,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2022-12-15,24213515.666666668,15010.0,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",32257247.999999996,13928.0,2316.0,18637087.0,15701.0,1187.0,21746212.0,15401.0,1412.0,,-0.087534124258426,-0.08753799392097261
2020-10-15,,,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",,,2316.0,,,1187.0,,,1412.0,,,
2020-9-15,,,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",,,2316.0,,,1187.0,,,1412.0,,,
2020-8-15,,,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",,,2316.0,,,1187.0,,,1412.0,,,
2020-7-15,,,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",,,2316.0,,,1187.0,,,1412.0,,,
2020-6-15,,,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",,,2316.0,,,1187.0,,,1412.0,,,
2020-5-15,,,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",,,2316.0,,,1187.0,,,1412.0,,,
2020-4-15,,,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",,,2316.0,,,1187.0,,,1412.0,,,
2020-3-15,,,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",,,2316.0,,,1187.0,,,1412.0,,,
2020-2-15,,,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",,,2316.0,,,1187.0,,,1412.0,,,
2020-1-15,,,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",,,2316.0,,,1187.0,,,1412.0,,,
2019-12-15,,,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",,,2316.0,,,1187.0,,,1412.0,,,
2019-11-15,,,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",,,2316.0,,,1187.0,,,1412.0,,,
2019-10-15,,,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",,,2316.0,,,1187.0,,,1412.0,,,
2019-9-15,,,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",,,2316.0,,,1187.0,,,1412.0,,,
2019-8-15,,,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",,,2316.0,,,1187.0,,,1412.0,,,
2019-7-15,,,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",,,2316.0,,,1187.0,,,1412.0,,,
2019-6-15,,,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",,,2316.0,,,1187.0,,,1412.0,,,
2019-5-15,,,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",,,2316.0,,,1187.0,,,1412.0,,,
2019-4-15,,,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",,,2316.0,,,1187.0,,,1412.0,,,
2019-3-15,,,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",,,2316.0,,,1187.0,,,1412.0,,,
2019-2-15,,,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",,,2316.0,,,1187.0,,,1412.0,,,
2019-1-15,,,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",,,2316.0,,,1187.0,,,1412.0,,,
2018-12-15,,,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",,,2316.0,,,1187.0,,,1412.0,,,
2018-11-15,,,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",,,2316.0,,,1187.0,,,1412.0,,,
2018-10-15,,,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",,,2316.0,,,1187.0,,,1412.0,,,
2018-9-15,,,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",,,2316.0,,,1187.0,,,1412.0,,,
2018-8-15,,,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",,,2316.0,,,1187.0,,,1412.0,,,
2018-7-15,,,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",,,2316.0,,,1187.0,,,1412.0,,,
2018-6-15,,,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",,,2316.0,,,1187.0,,,1412.0,,,
2018-5-15,,,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",,,2316.0,,,1187.0,,,1412.0,,,
2018-4-15,,,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",,,2316.0,,,1187.0,,,1412.0,,,
2018-3-15,,,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",,,2316.0,,,1187.0,,,1412.0,,,
2018-2-15,,,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",,,2316.0,,,1187.0,,,1412.0,,,
2018-1-15,,,"VILLA LUCCA(Block 10),LO FAI RD|林海山城10座,露輝路",,,2316.0,,,1187.0,,,1412.0,1638.3333333333333,,
