,lumpSum_avg,npsf_avg,final_address,lumpSum_B,npsf_B,nfa_B,nfa_avg,lumpSum_change,npsf_change
2022-12-15,18487653.0,15761.0,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",18487653.0,15761.0,1173.0,,-0.08753545996642154,-0.08753545996642154
2019-1-15,,,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",,,1173.0,,,
2018-12-15,,,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",,,1173.0,,,
2018-11-15,,,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",,,1173.0,,,
2018-10-15,,,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",,,1173.0,,,
2018-9-15,,,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",,,1173.0,,,
2018-8-15,,,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",,,1173.0,,,
2018-7-15,,,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",,,1173.0,,,
2018-6-15,,,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",,,1173.0,,,
2018-5-15,,,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",,,1173.0,,,
2018-4-15,,,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",,,1173.0,,,
2018-3-15,,,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",,,1173.0,,,
2018-2-15,,,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",,,1173.0,,,
2018-1-15,,,"VILLA LUCCA(Block 12),LO FAI RD|林海山城12座,露輝路",,,1173.0,1173.0,,
