,lumpSum_avg,npsf_avg,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,lumpSum_B8,npsf_B8,nfa_B8,nfa_avg,lumpSum_change,npsf_change
2022-12-15,7110209.909090909,17227.090909090908,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",6802632.0,15894.0,428.0,10494720.0,16398.0,640.0,6413508.0,15954.0,402.0,5435850.0,25050.0,217.0,6651424.0,15989.0,416.0,6287472.0,16722.0,376.0,6975315.0,17223.0,405.0,7084242.0,17406.0,407.0,8705214.0,16394.0,531.0,6471440.0,15784.0,410.0,6890491.999999999,16684.0,413.0,,-0.08754397211730558,-0.08754375743334675
2022-1-15,8266626.7272727275,20028.909090909092,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",7909012.0,18479.0,428.0,12201600.0,19065.0,640.0,7455894.0,18547.0,402.0,6319908.0,29124.0,217.0,7733024.0,18589.0,416.0,7310192.0,19442.0,376.0,8109720.0,20024.0,405.0,8236866.0,20238.0,407.0,10121391.0,19061.0,531.0,7523500.0,18350.0,410.0,8011787.0,19399.0,413.0,,-0.05396559684189173,-0.053966318284482395
2021-12-15,8738188.272727273,21171.454545454544,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",8360124.0,19533.0,428.0,12897920.0,20153.0,640.0,7882014.0,19607.0,402.0,6680562.0,30786.0,217.0,8174400.0,19650.0,416.0,7727176.0,20551.0,376.0,8572635.0,21167.0,405.0,8706137.0,21391.0,407.0,10698588.0,20148.0,531.0,7951950.0,19395.0,410.0,8468565.0,20505.0,413.0,,-0.0266021279644586,-0.026603859544996666
2021-11-15,8976995.454545455,21750.090909090908,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",8588676.0,20067.0,428.0,13250560.0,20704.0,640.0,8098290.0,20145.0,402.0,6863276.0,31628.0,217.0,8397792.0,20187.0,416.0,7938487.999999999,21113.0,376.0,8807130.0,21746.0,405.0,8943825.0,21975.0,407.0,10990638.0,20698.0,531.0,8168430.0,19923.0,410.0,8699845.0,21065.0,413.0,,0.03203785884711974,0.03203723514390222
2021-10-15,8698319.909090908,21074.909090909092,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",8322460.0,19445.0,428.0,12839680.0,20062.0,640.0,7847442.0,19521.0,402.0,6650399.0,30647.0,217.0,8137375.999999999,19561.0,416.0,7692208.0,20458.0,376.0,8533755.0,21071.0,405.0,8665844.0,21292.0,407.0,10649205.0,20055.0,531.0,7913820.0,19302.0,410.0,8429330.0,20410.0,413.0,,0.009984554279506064,0.009985535785859811
2021-9-15,8612329.636363637,20866.545454545456,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",8240284.0,19253.0,428.0,12712960.0,19864.0,640.0,7770660.0,19330.0,402.0,6584648.0,30344.0,217.0,8057087.999999999,19368.0,416.0,7616256.0,20256.0,376.0,8449515.0,20863.0,405.0,8579967.0,21081.0,407.0,10544067.0,19857.0,531.0,7834690.0,19109.0,410.0,8345491.000000001,20207.0,413.0,,-0.050295376887290355,-0.05030017915585727
2021-8-15,9068429.727272727,21971.727272727272,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",8676844.0,20273.0,428.0,13386240.0,20916.0,640.0,8182710.000000001,20355.0,402.0,6933801.0,31953.0,217.0,8483904.0,20394.0,416.0,8020079.999999999,21330.0,376.0,8897040.0,21968.0,405.0,9034179.0,22197.0,407.0,11102148.0,20908.0,531.0,8248380.0,20118.0,410.0,8787401.0,21277.0,413.0,,0.05303293062232317,0.05303310865861777
2021-7-15,8611724.727272727,20865.18181818182,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",8239855.999999999,19252.0,428.0,12712320.0,19863.0,640.0,7771464.0,19332.0,402.0,6584648.0,30344.0,217.0,8056671.999999999,19367.0,416.0,7616256.0,20256.0,376.0,8449110.0,20862.0,405.0,8578746.0,21078.0,407.0,10543005.0,19855.0,531.0,7832230.0,19103.0,410.0,8344665.0,20205.0,413.0,,-0.03307422204041466,-0.03307522496713955
2021-6-15,8906293.454545455,21578.909090909092,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",8521908.0,19911.0,428.0,13147520.0,20543.0,640.0,8037990.000000001,19995.0,402.0,6810111.0,31383.0,217.0,8332480.0,20030.0,416.0,7876824.000000001,20949.0,376.0,8738280.0,21576.0,405.0,8871786.0,21798.0,407.0,10903554.0,20534.0,531.0,8099140.0,19754.0,410.0,8629635.0,20895.0,413.0,,-0.0008192999540231893,-0.0008208348943227195
2021-5-15,8913596.363636363,21596.636363636364,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",8529184.0,19928.0,428.0,13158400.0,20560.0,640.0,8045226.0,20013.0,402.0,6815753.0,31409.0,217.0,8339552.0,20047.0,416.0,7883591.999999999,20967.0,376.0,8745975.0,21595.0,405.0,8878705.0,21815.0,407.0,10912050.0,20550.0,531.0,8104879.999999999,19768.0,410.0,8636243.0,20911.0,413.0,,-0.004167756915740672,-0.004166719065045288
2021-4-15,8950901.545454545,21687.0,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",8565136.0,20012.0,428.0,13214080.0,20647.0,640.0,8079797.999999999,20099.0,402.0,6844397.0,31541.0,217.0,8374496.0,20131.0,416.0,7916680.0,21055.0,376.0,8782425.0,21685.0,405.0,8915335.0,21905.0,407.0,10957716.0,20636.0,531.0,8137680.0,19848.0,410.0,8672174.0,20998.0,413.0,,0.045681671439553595,0.0456788932917207
2021-3-15,8559872.272727273,20739.636363636364,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",8191064.000000001,19138.0,428.0,12636800.0,19745.0,640.0,7727646.0,19223.0,402.0,6545588.0,30164.0,217.0,8008832.0,19252.0,416.0,7570760.0,20135.0,376.0,8399295.0,20739.0,405.0,8525836.0,20948.0,407.0,10478754.0,19734.0,531.0,7780980.0,18978.0,410.0,8293040.0,20080.0,413.0,,-0.002478965748487605,-0.0024791979117021468
2021-2-15,8581144.636363637,20791.18181818182,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",8211607.999999999,19186.0,428.0,12668800.0,19795.0,640.0,7747344.0,19272.0,402.0,6562080.0,30240.0,217.0,8028800.0,19300.0,416.0,7589936.0,20186.0,376.0,8419950.0,20790.0,405.0,8546593.0,20999.0,407.0,10504773.0,19783.0,531.0,7799430.0,19023.0,410.0,8313276.999999999,20129.0,413.0,,-0.005050314096224473,-0.005050812654439074
2021-1-15,8624702.090909092,20896.727272727272,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",8253552.0,19284.0,428.0,12733440.0,19896.0,640.0,7787544.0,19372.0,402.0,6595498.0,30394.0,217.0,8069984.0,19399.0,416.0,7628664.0,20289.0,376.0,8462880.0,20896.0,405.0,8589328.0,21104.0,407.0,10557873.0,19883.0,531.0,7837970.0,19117.0,410.0,8354990.0,20230.0,413.0,,0.03373011998853226,0.03372848122897576
2020-12-15,8343282.181818182,20214.909090909092,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",7984340.0,18655.0,428.0,12318080.0,19247.0,640.0,7534284.0,18742.0,402.0,6380451.0,29403.0,217.0,7806656.0,18766.0,416.0,7379752.0,19627.0,376.0,8187075.0,20215.0,405.0,8308904.999999999,20415.0,407.0,10213254.0,19234.0,531.0,7581310.0,18491.0,410.0,8081997.0,19569.0,413.0,,,
2020-11-15,,,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",,,428.0,,,640.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,410.0,,,413.0,,,
2020-10-15,,,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",,,428.0,,,640.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,410.0,,,413.0,,,
2020-9-15,,,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",,,428.0,,,640.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,410.0,,,413.0,,,
2020-8-15,,,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",,,428.0,,,640.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,410.0,,,413.0,,,
2020-7-15,,,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",,,428.0,,,640.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,410.0,,,413.0,,,
2020-6-15,,,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",,,428.0,,,640.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,410.0,,,413.0,,,
2020-5-15,,,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",,,428.0,,,640.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,410.0,,,413.0,,,
2020-4-15,,,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",,,428.0,,,640.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,410.0,,,413.0,,,
2020-3-15,,,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",,,428.0,,,640.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,410.0,,,413.0,,,
2020-2-15,,,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",,,428.0,,,640.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,410.0,,,413.0,,,
2020-1-15,,,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",,,428.0,,,640.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,410.0,,,413.0,,,
2019-12-15,,,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",,,428.0,,,640.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,410.0,,,413.0,,,
2019-11-15,,,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",,,428.0,,,640.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,410.0,,,413.0,,,
2019-10-15,,,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",,,428.0,,,640.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,410.0,,,413.0,,,
2019-9-15,,,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",,,428.0,,,640.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,410.0,,,413.0,,,
2019-8-15,,,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",,,428.0,,,640.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,410.0,,,413.0,,,
2019-7-15,,,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",,,428.0,,,640.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,410.0,,,413.0,,,
2019-6-15,,,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",,,428.0,,,640.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,410.0,,,413.0,,,
2019-5-15,,,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",,,428.0,,,640.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,410.0,,,413.0,,,
2019-4-15,,,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",,,428.0,,,640.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,410.0,,,413.0,,,
2019-3-15,,,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",,,428.0,,,640.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,410.0,,,413.0,,,
2019-2-15,,,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",,,428.0,,,640.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,410.0,,,413.0,,,
2019-1-15,,,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",,,428.0,,,640.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,410.0,,,413.0,,,
2018-12-15,,,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",,,428.0,,,640.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,410.0,,,413.0,,,
2018-11-15,,,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",,,428.0,,,640.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,410.0,,,413.0,,,
2018-10-15,,,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",,,428.0,,,640.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,410.0,,,413.0,,,
2018-9-15,,,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",,,428.0,,,640.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,410.0,,,413.0,,,
2018-8-15,,,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",,,428.0,,,640.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,410.0,,,413.0,,,
2018-7-15,,,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",,,428.0,,,640.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,410.0,,,413.0,,,
2018-6-15,,,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",,,428.0,,,640.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,410.0,,,413.0,,,
2018-5-15,,,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",,,428.0,,,640.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,410.0,,,413.0,,,
2018-4-15,,,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",,,428.0,,,640.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,410.0,,,413.0,,,
2018-3-15,,,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",,,428.0,,,640.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,410.0,,,413.0,,,
2018-2-15,,,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",,,428.0,,,640.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,410.0,,,413.0,,,
2018-1-15,,,"GREENWOOD TOWER 5(Phase 1,SILICON HILL),YAU KING LANE|SILICON HILL,1期(翠景閣第5座),優景里",,,428.0,,,640.0,,,402.0,,,217.0,,,416.0,,,376.0,,,405.0,,,407.0,,,531.0,,,410.0,,,413.0,422.27272727272725,,
