,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2020-12-15,11818213.5,13933.0,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",12227134.0,13942.0,877.0,11177420.0,13631.0,820.0,11492300.0,14015.0,820.0,12376000.0,14144.0,875.0,,-0.006722237556012645,-0.006878363448447944
2019-6-15,11812038.0,13928.0,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",12204332.0,13916.0,877.0,11083120.0,13516.0,820.0,11693200.0,14260.0,820.0,12267500.0,14020.0,875.0,,-0.0842571956796414,-0.0842565501824517
2019-5-15,12898859.75,15209.5,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",13327769.0,15197.0,877.0,12104020.0,14761.0,820.0,12767400.0,15570.0,820.0,13396250.0,15310.0,875.0,,0.03130851719065442,0.031309860826227665
2019-4-15,12507275.5,14747.75,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",12923472.0,14736.0,877.0,11736660.0,14313.0,820.0,12378720.0,15096.0,820.0,12990250.0,14846.0,875.0,,0.05215026001701095,0.052151889703390575
2019-3-15,11887347.25,14016.75,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",12284139.0,14007.0,877.0,11155280.0,13604.0,820.0,11763720.0,14346.0,820.0,12346250.0,14110.0,875.0,,0.01736411456689857,0.017365269461077748
2019-2-15,11684457.0,13777.5,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",12075413.0,13769.0,877.0,10965860.0,13373.0,820.0,11561180.0,14099.0,820.0,12135375.0,13869.0,875.0,,0.044856121387609305,0.04485818292128019
2019-1-15,11182838.25,13186.0,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",11557983.0,13179.0,877.0,10495180.0,12799.0,820.0,11063440.0,13492.0,820.0,11614750.0,13274.0,875.0,,-0.055766220951704804,-0.055765409334216476
2018-12-15,11843294.0,13964.75,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",12241166.0,13958.0,877.0,11115920.0,13556.0,820.0,11715340.0,14287.0,820.0,12300750.0,14058.0,875.0,,-0.07348058117525202,-0.07347940752044324
2018-11-15,12782564.25,15072.25,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",13212882.0,15066.0,877.0,11998240.0,14632.0,820.0,12642760.0,15418.0,820.0,13276375.0,15173.0,875.0,,0.1249192946516462,0.12492070007836698
2018-10-15,11363094.5,13398.5,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",11746538.0,13394.0,877.0,10666560.0,13008.0,820.0,11237280.0,13704.0,820.0,11802000.0,13488.0,875.0,,-0.07537733768538957,-0.07537567068647244
2018-9-15,12289439.75,14490.75,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",12705099.0,14487.0,877.0,11536580.0,14069.0,820.0,12151580.0,14819.0,820.0,12764500.0,14588.0,875.0,,,
2018-8-15,,,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,,
2018-7-15,,,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,,
2018-6-15,,,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,,
2018-5-15,,,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,,
2018-4-15,,,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,,
2018-3-15,,,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,,
2018-2-15,,,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,,
2018-1-15,,,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,,
2017-12-15,,,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,,
2017-11-15,,,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,,
2017-10-15,,,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,,
2017-9-15,,,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,,
2017-8-15,,,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,,
2017-7-15,,,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,,
2017-6-15,,,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,,
2017-5-15,,,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,,
2017-4-15,,,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,,
2017-3-15,,,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,,
2017-2-15,,,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,,
2017-1-15,,,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,,
2016-12-15,,,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,,
2016-11-15,,,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,,
2016-10-15,,,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,,
2016-9-15,,,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,,
2016-8-15,,,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,,
2016-7-15,,,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,,
2016-6-15,,,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,,
2016-5-15,,,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,,
2016-4-15,,,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,,
2016-3-15,,,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,,
2016-2-15,,,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,,,
2016-1-15,,,"THE REGENT(Block 2),SHAN TONG RD|天鑽2座,山塘路",,,877.0,,,820.0,,,820.0,,,875.0,848.0,,
