,lumpSum_avg,npsf_avg,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,nfa_avg,lumpSum_change,npsf_change
2020-12-15,4856526.0,9146.0,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",4856526.0,9146.0,531.0,,-0.05594549958711803,-0.05594549958711803
2020-1-15,5087511.0,9581.0,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",5087511.0,9581.0,531.0,,-0.035146022155085554,-0.035146022155085554
2019-12-15,5272830.0,9930.0,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",5272830.0,9930.0,531.0,,-0.034328503355052,-0.034328503355052
2019-11-15,5460273.0,10283.0,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",5460273.0,10283.0,531.0,,0.08173784977908682,0.08173784977908682
2019-10-15,5047686.0,9506.0,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",5047686.0,9506.0,531.0,,-0.06243219252391752,-0.06243219252391752
2019-9-15,5383809.0,10139.0,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",5383809.0,10139.0,531.0,,-0.0438513768389287,-0.0438513768389287
2019-8-15,5630724.0,10604.0,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",5630724.0,10604.0,531.0,,0.033024841695080465,0.033024841695080465
2019-7-15,5450715.0,10265.0,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",5450715.0,10265.0,531.0,,-0.0007787403874233156,-0.0007787403874233156
2019-6-15,5454963.0,10273.0,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",5454963.0,10273.0,531.0,,0.0060718832631476705,0.0060718832631476705
2019-5-15,5422041.0,10211.0,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",5422041.0,10211.0,531.0,,-0.011328427575522881,-0.011328427575522881
2019-4-15,5484168.0,10328.0,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",5484168.0,10328.0,531.0,,0.04714589881374831,0.04714589881374831
2019-3-15,5237253.0,9863.0,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",5237253.0,9863.0,531.0,,-0.023465346534653486,-0.023465346534653486
2019-2-15,5363100.0,10100.0,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",5363100.0,10100.0,531.0,,0.07207302834094054,0.07207302834094054
2019-1-15,5002551.0,9421.0,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",5002551.0,9421.0,531.0,,0.040534570355643895,0.040534570355643895
2018-12-15,4807674.0,9054.0,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",4807674.0,9054.0,531.0,,-0.06957147261329766,-0.06957147261329766
2018-11-15,5167161.0,9731.0,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",5167161.0,9731.0,531.0,,-0.05340466926070042,-0.05340466926070042
2018-10-15,5458680.0,10280.0,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",5458680.0,10280.0,531.0,,,
2018-9-15,,,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",,,531.0,,,
2018-8-15,,,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",,,531.0,,,
2018-7-15,,,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",,,531.0,,,
2018-6-15,,,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",,,531.0,,,
2018-5-15,,,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",,,531.0,,,
2018-4-15,,,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",,,531.0,,,
2018-3-15,,,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",,,531.0,,,
2018-2-15,,,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",,,531.0,,,
2018-1-15,,,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",,,531.0,,,
2017-12-15,,,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",,,531.0,,,
2017-11-15,,,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",,,531.0,,,
2017-10-15,,,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",,,531.0,,,
2017-9-15,,,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",,,531.0,,,
2017-8-15,,,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",,,531.0,,,
2017-7-15,,,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",,,531.0,,,
2017-6-15,,,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",,,531.0,,,
2017-5-15,,,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",,,531.0,,,
2017-4-15,,,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",,,531.0,,,
2017-3-15,,,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",,,531.0,,,
2017-2-15,,,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",,,531.0,,,
2017-1-15,,,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",,,531.0,,,
2016-12-15,,,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",,,531.0,,,
2016-11-15,,,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",,,531.0,,,
2016-10-15,,,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",,,531.0,,,
2016-9-15,,,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",,,531.0,,,
2016-8-15,,,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",,,531.0,,,
2016-7-15,,,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",,,531.0,,,
2016-6-15,,,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",,,531.0,,,
2016-5-15,,,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",,,531.0,,,
2016-4-15,,,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",,,531.0,,,
2016-3-15,,,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",,,531.0,,,
2016-2-15,,,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",,,531.0,,,
2016-1-15,,,"NEW ASIA BLDG,ARGYLE ST|新亞大樓,亞皆老街",,,531.0,531.0,,
