,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,nfa_avg,lumpSum_change,npsf_change
2020-12-15,33757032.0,20639.0,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",33178560.0,20544.0,1615.0,34335504.0,20734.0,1656.0,,-0.01407021552958998,-0.014068359328349267
2017-5-15,,,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,,
2017-4-15,,,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,,
2017-3-15,,,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,,
2017-2-15,,,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,,
2017-1-15,,,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,,
2016-12-15,,,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,,
2016-11-15,,,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,,
2016-10-15,,,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,,
2016-9-15,,,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,,
2016-8-15,,,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,,
2016-7-15,,,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,,
2016-6-15,,,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,,
2016-5-15,,,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,,
2016-4-15,,,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,,
2016-3-15,,,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,,
2016-2-15,,,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,,,
2016-1-15,,,"THE ENTRANCE(Block 1),LOK WO SHA LANE|峻源1座,落禾沙里",,,1615.0,,,1656.0,1635.5,,
