,lumpSum_avg,npsf_avg,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_H,npsf_H,nfa_H,nfa_avg,lumpSum_change,npsf_change
2020-12-15,6879599.0,17098.5,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",6894315.0,17023.0,405.0,7237157.0,16561.0,437.0,6820332.0,16966.0,402.0,6566592.0,17844.0,368.0,,0.0009088360050222288,0.0009219827018482896
2017-7-15,,,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,,
2017-6-15,,,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,,
2017-5-15,,,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,,
2017-4-15,,,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,,
2017-3-15,,,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,,
2017-2-15,,,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,,
2017-1-15,,,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,,
2016-12-15,,,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,,
2016-11-15,,,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,,
2016-10-15,,,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,,
2016-9-15,,,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,,
2016-8-15,,,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,,
2016-7-15,,,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,,
2016-6-15,,,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,,
2016-5-15,,,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,,
2016-4-15,,,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,,
2016-3-15,,,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,,
2016-2-15,,,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,,,
2016-1-15,,,"ALTO RESIDENCES(Block 6),TONG YIN ST|藍塘傲6座,唐賢街",,,405.0,,,437.0,,,402.0,,,368.0,403.0,,
