,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_change,npsf_change
2019-12-15,10961594.4,14679.4,5,54807972.0,73397.0,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",16498550.0,15550.0,1061.0,12817505.0,15727.0,815.0,11113290.999999998,13909.0,799.0,7446537.999999999,13739.0,542.0,6932088.0,14472.0,479.0,-0.04990069439383571,-0.04988932182107686
2019-1-15,10810923.8,14460.6,5,54054619.0,72303.0,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",16353193.0,15413.0,1061.0,12651245.0,15523.0,815.0,10977461.0,13739.0,799.0,7217271.999999999,13316.0,542.0,6855448.000000001,14312.0,479.0,0.0398736999034357,0.039882065295555824
2018-12-15,10396381.6,13906.0,5,51981908.0,69530.0,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",15729325.0,14825.0,1061.0,12163060.0,14924.0,815.0,10555589.0,13211.0,799.0,6941936.0,12808.0,542.0,6591998.0,13762.0,479.0,-0.035295780485176786,-0.035297055803757194
2018-11-15,10776755.6,14414.8,5,53883778.0,72074.0,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",16307570.000000002,15370.0,1061.0,12605605.0,15467.0,815.0,10939908.0,13692.0,799.0,7197760.000000001,13280.0,542.0,6832935.0,14265.0,479.0,0.03061622168002831,0.029569738872064377
2018-10-15,10456613.6,14000.8,5,52283068.0,70004.0,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",15783436.0,14876.0,1061.0,12195660.0,14964.0,815.0,10585152.0,13248.0,799.0,7106704.0,13112.0,542.0,6612115.999999999,13804.0,479.0,,
2018-9-15,,,5,,,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",,,1061.0,,,815.0,,,799.0,,,542.0,,,479.0,,
2018-8-15,,,5,,,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",,,1061.0,,,815.0,,,799.0,,,542.0,,,479.0,,
2018-7-15,,,5,,,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",,,1061.0,,,815.0,,,799.0,,,542.0,,,479.0,,
2018-6-15,,,5,,,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",,,1061.0,,,815.0,,,799.0,,,542.0,,,479.0,,
2018-5-15,,,5,,,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",,,1061.0,,,815.0,,,799.0,,,542.0,,,479.0,,
2018-4-15,,,5,,,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",,,1061.0,,,815.0,,,799.0,,,542.0,,,479.0,,
2018-3-15,,,5,,,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",,,1061.0,,,815.0,,,799.0,,,542.0,,,479.0,,
2018-2-15,,,5,,,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",,,1061.0,,,815.0,,,799.0,,,542.0,,,479.0,,
2018-1-15,,,5,,,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",,,1061.0,,,815.0,,,799.0,,,542.0,,,479.0,,
2017-12-15,,,5,,,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",,,1061.0,,,815.0,,,799.0,,,542.0,,,479.0,,
2017-11-15,,,5,,,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",,,1061.0,,,815.0,,,799.0,,,542.0,,,479.0,,
2017-10-15,,,5,,,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",,,1061.0,,,815.0,,,799.0,,,542.0,,,479.0,,
2017-9-15,,,5,,,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",,,1061.0,,,815.0,,,799.0,,,542.0,,,479.0,,
2017-8-15,,,5,,,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",,,1061.0,,,815.0,,,799.0,,,542.0,,,479.0,,
2017-7-15,,,5,,,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",,,1061.0,,,815.0,,,799.0,,,542.0,,,479.0,,
2017-6-15,,,5,,,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",,,1061.0,,,815.0,,,799.0,,,542.0,,,479.0,,
2017-5-15,,,5,,,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",,,1061.0,,,815.0,,,799.0,,,542.0,,,479.0,,
2017-4-15,,,5,,,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",,,1061.0,,,815.0,,,799.0,,,542.0,,,479.0,,
2017-3-15,,,5,,,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",,,1061.0,,,815.0,,,799.0,,,542.0,,,479.0,,
2017-2-15,,,5,,,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",,,1061.0,,,815.0,,,799.0,,,542.0,,,479.0,,
2017-1-15,,,5,,,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",,,1061.0,,,815.0,,,799.0,,,542.0,,,479.0,,
2016-12-15,,,5,,,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",,,1061.0,,,815.0,,,799.0,,,542.0,,,479.0,,
2016-11-15,,,5,,,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",,,1061.0,,,815.0,,,799.0,,,542.0,,,479.0,,
2016-10-15,,,5,,,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",,,1061.0,,,815.0,,,799.0,,,542.0,,,479.0,,
2016-9-15,,,5,,,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",,,1061.0,,,815.0,,,799.0,,,542.0,,,479.0,,
2016-8-15,,,5,,,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",,,1061.0,,,815.0,,,799.0,,,542.0,,,479.0,,
2016-7-15,,,5,,,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",,,1061.0,,,815.0,,,799.0,,,542.0,,,479.0,,
2016-6-15,,,5,,,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",,,1061.0,,,815.0,,,799.0,,,542.0,,,479.0,,
2016-5-15,,,5,,,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",,,1061.0,,,815.0,,,799.0,,,542.0,,,479.0,,
2016-4-15,,,5,,,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",,,1061.0,,,815.0,,,799.0,,,542.0,,,479.0,,
2016-3-15,,,5,,,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",,,1061.0,,,815.0,,,799.0,,,542.0,,,479.0,,
2016-2-15,,,5,,,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",,,1061.0,,,815.0,,,799.0,,,542.0,,,479.0,,
2016-1-15,,,5,,,3696,"OCEAN MARINI,LOHAS PARK,LOHAS PARK RD|OCEAN MARINI(日出康城),康城路",,,1061.0,,,815.0,,,799.0,,,542.0,,,479.0,,
