,lumpSum_avg,npsf_avg,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_E,npsf_E,nfa_E,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,nfa_avg,lumpSum_change,npsf_change
2020-12-15,7715351.8,17494.6,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",7247475.0,17895.0,405.0,7159284.0,17721.0,404.0,7499794.000000001,17162.0,437.0,6804356.0,17537.0,388.0,9865850.0,17158.0,575.0,,0.005509104557752442,0.005506126859323501
2019-12-15,7334656.6,16624.8,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",6892290.0,17018.0,405.0,6718924.0,16631.0,404.0,7075467.0,16191.0,437.0,6539352.0,16854.0,388.0,9447250.0,16430.0,575.0,,-0.05034706487441831,-0.0503478767522364
2019-11-15,7723512.8,17506.2,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",7257600.0,17920.0,405.0,7075252.0,17513.0,404.0,7450413.0,17049.0,437.0,6886224.0,17748.0,388.0,9948075.0,17301.0,575.0,,0.047826302962081346,0.0478236927791611
2019-10-15,7370985.8,16707.2,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",6925905.0,17101.0,405.0,6752052.0,16713.0,404.0,7110427.0,16271.0,437.0,6572720.0,16940.0,388.0,9493825.0,16511.0,575.0,,-0.016515919743915197,-0.016517736257784965
2019-9-15,7494768.8,16987.8,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",7042140.0,17388.0,405.0,6865576.000000001,16994.0,404.0,7229728.0,16544.0,437.0,6683300.0,17225.0,388.0,9653100.0,16788.0,575.0,,-0.037961577041027206,-0.03796536453319144
2019-8-15,7790508.8,17658.2,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",7319970.0,18074.0,405.0,7136256.0,17664.0,404.0,7514652.0,17196.0,437.0,6947916.0,17907.0,388.0,10033750.0,17450.0,575.0,,0.0027286854655590442,0.002725693064246748
2019-7-15,7769308.8,17610.2,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",7300125.0,18025.0,405.0,7116864.0,17616.0,404.0,7494113.000000001,17149.0,437.0,6929292.0,17859.0,388.0,10006150.0,17402.0,575.0,,0.0019733538041244447,0.0019686383395163265
2019-6-15,7754007.4,17575.6,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",7285545.0,17989.0,405.0,7102724.0,17581.0,404.0,7479255.0,17115.0,437.0,6916488.0,17826.0,388.0,9986025.0,17367.0,575.0,,-0.008894327708509286,-0.008898462787734096
2019-5-15,7823593.0,17733.4,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",7350750.0,18150.0,405.0,7166556.0,17739.0,404.0,7546553.0,17269.0,437.0,6978956.0,17987.0,388.0,10075150.0,17522.0,575.0,,0.023431709457947925,0.023431097568013648
2019-4-15,7644470.0,17327.4,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",7182270.0,17734.0,405.0,7002128.0,17332.0,404.0,7373501.0,16873.0,437.0,6819876.0,17577.0,388.0,9844575.0,17121.0,575.0,,0.037287430550861034,0.03728314356524565
2019-3-15,7369673.8,16704.6,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",6923880.000000001,17096.0,405.0,6750436.000000001,16709.0,404.0,7108242.0,16266.0,437.0,6575436.0,16947.0,388.0,9490375.0,16505.0,575.0,,-0.0030848921744625057,-0.003091356138550272
2019-2-15,7392478.8,16756.4,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",6945345.0,17149.0,405.0,6771444.0,16761.0,404.0,7130092.0,16316.0,437.0,6596388.0,17001.0,388.0,9519125.0,16555.0,575.0,,0.017339253812924005,0.017339777060009443
2019-1-15,7266483.4,16470.8,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",6826680.0,16856.0,405.0,6655900.0,16475.0,404.0,7008606.0,16038.0,437.0,6484256.0,16712.0,388.0,9356975.0,16273.0,575.0,,0.04105456367615168,0.040993035102577347
2018-12-15,6979925.6,15822.2,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",6558975.0,16195.0,405.0,6394916.0,15829.0,404.0,6733733.0,15409.0,437.0,6230504.0,16058.0,388.0,8981500.0,15620.0,575.0,,-0.03219132356096832,-0.03218663600107652
2018-11-15,7212092.4,16348.4,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",6799950.0,16790.0,405.0,6582775.999999999,16294.0,404.0,6926887.0,15851.0,437.0,6459423.999999999,16648.0,388.0,9291425.0,16159.0,575.0,,,
2018-10-15,,,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,404.0,,,437.0,,,388.0,,,575.0,,,
2018-9-15,,,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,404.0,,,437.0,,,388.0,,,575.0,,,
2018-8-15,,,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,404.0,,,437.0,,,388.0,,,575.0,,,
2018-7-15,,,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,404.0,,,437.0,,,388.0,,,575.0,,,
2018-6-15,,,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,404.0,,,437.0,,,388.0,,,575.0,,,
2018-5-15,,,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,404.0,,,437.0,,,388.0,,,575.0,,,
2018-4-15,,,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,404.0,,,437.0,,,388.0,,,575.0,,,
2018-3-15,,,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,404.0,,,437.0,,,388.0,,,575.0,,,
2018-2-15,,,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,404.0,,,437.0,,,388.0,,,575.0,,,
2018-1-15,,,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,404.0,,,437.0,,,388.0,,,575.0,,,
2017-12-15,,,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,404.0,,,437.0,,,388.0,,,575.0,,,
2017-11-15,,,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,404.0,,,437.0,,,388.0,,,575.0,,,
2017-10-15,,,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,404.0,,,437.0,,,388.0,,,575.0,,,
2017-9-15,,,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,404.0,,,437.0,,,388.0,,,575.0,,,
2017-8-15,,,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,404.0,,,437.0,,,388.0,,,575.0,,,
2017-7-15,,,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,404.0,,,437.0,,,388.0,,,575.0,,,
2017-6-15,,,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,404.0,,,437.0,,,388.0,,,575.0,,,
2017-5-15,,,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,404.0,,,437.0,,,388.0,,,575.0,,,
2017-4-15,,,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,404.0,,,437.0,,,388.0,,,575.0,,,
2017-3-15,,,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,404.0,,,437.0,,,388.0,,,575.0,,,
2017-2-15,,,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,404.0,,,437.0,,,388.0,,,575.0,,,
2017-1-15,,,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,404.0,,,437.0,,,388.0,,,575.0,,,
2016-12-15,,,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,404.0,,,437.0,,,388.0,,,575.0,,,
2016-11-15,,,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,404.0,,,437.0,,,388.0,,,575.0,,,
2016-10-15,,,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,404.0,,,437.0,,,388.0,,,575.0,,,
2016-9-15,,,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,404.0,,,437.0,,,388.0,,,575.0,,,
2016-8-15,,,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,404.0,,,437.0,,,388.0,,,575.0,,,
2016-7-15,,,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,404.0,,,437.0,,,388.0,,,575.0,,,
2016-6-15,,,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,404.0,,,437.0,,,388.0,,,575.0,,,
2016-5-15,,,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,404.0,,,437.0,,,388.0,,,575.0,,,
2016-4-15,,,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,404.0,,,437.0,,,388.0,,,575.0,,,
2016-3-15,,,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,404.0,,,437.0,,,388.0,,,575.0,,,
2016-2-15,,,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,404.0,,,437.0,,,388.0,,,575.0,,,
2016-1-15,,,"ALTO RESIDENCES(Block 5),TONG YIN ST|藍塘傲5座,唐賢街",,,405.0,,,404.0,,,437.0,,,388.0,,,575.0,441.8,,
