,lumpSum_avg,npsf_avg,final_address,lumpSum_D,npsf_D,nfa_D,lumpSum_F,npsf_F,nfa_F,nfa_avg,lumpSum_change,npsf_change
2020-12-15,8665836.0,17592.5,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",10133202.0,17411.0,582.0,7198470.0,17774.0,405.0,,0.00557824512251659,0.005573020863103739
2020-1-15,8566630.5,17393.0,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",10012146.000000002,17203.0,582.0,7121114.999999999,17583.0,405.0,,0.027921012376081356,0.02792470671670455
2019-12-15,8333938.5,16920.5,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",9740352.0,16736.0,582.0,6927525.0,17105.0,405.0,,-0.050319750264386065,-0.05031711286973117
2019-11-15,8775520.5,17817.0,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",10256586.0,17623.0,582.0,7294454.999999999,18011.0,405.0,,0.047897728382032545,0.04790471989413314
2019-10-15,8374405.5,17002.5,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",9788076.0,16818.0,582.0,6960735.0,17187.0,405.0,,-0.016463456527828435,-0.016457453577833014
2019-9-15,8514585.0,17287.0,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",9952200.0,17100.0,582.0,7076970.0,17474.0,405.0,,-0.037935873577595425,-0.037927484208475915
2019-8-15,8850330.0,17968.5,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",10345050.000000002,17775.0,582.0,7355610.0,18162.0,405.0,,0.002785770966491352,0.002790412143873544
2019-7-15,8825743.5,17918.5,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",10316532.0,17726.0,582.0,7334955.0,18111.0,405.0,,0.002006967250245406,0.0020131413392980857
2019-6-15,8808066.0,17882.5,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",10296162.0,17691.0,582.0,7319970.0,18074.0,405.0,,-0.008874992088106826,-0.008867950672024394
2019-5-15,8886937.5,18042.5,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",10388700.0,17850.0,582.0,7385175.0,18235.0,405.0,,0.024062055347445988,0.023978433598183857
2019-4-15,8678124.0,17620.0,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",10140768.0,17424.0,582.0,7215480.0,17816.0,405.0,,0.03735054081792932,0.037355391363221635
2019-3-15,8365662.0,16985.5,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",9775854.0,16797.0,582.0,6955470.0,17174.0,405.0,,-0.0030340997922627677,-0.00302283265833192
2019-2-15,8391121.500000002,17037.0,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",9806118.000000002,16849.0,582.0,6976125.000000001,17225.0,405.0,,0.01740456832407511,0.017407661759875737
2019-1-15,8247576.0,16745.5,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",9638502.0,16561.0,582.0,6856650.0,16930.0,405.0,,,
2018-12-15,,,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",,,582.0,,,405.0,,,
2018-11-15,,,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",,,582.0,,,405.0,,,
2018-10-15,,,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",,,582.0,,,405.0,,,
2018-9-15,,,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",,,582.0,,,405.0,,,
2018-8-15,,,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",,,582.0,,,405.0,,,
2018-7-15,,,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",,,582.0,,,405.0,,,
2018-6-15,,,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",,,582.0,,,405.0,,,
2018-5-15,,,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",,,582.0,,,405.0,,,
2018-4-15,,,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",,,582.0,,,405.0,,,
2018-3-15,,,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",,,582.0,,,405.0,,,
2018-2-15,,,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",,,582.0,,,405.0,,,
2018-1-15,,,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",,,582.0,,,405.0,,,
2017-12-15,,,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",,,582.0,,,405.0,,,
2017-11-15,,,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",,,582.0,,,405.0,,,
2017-10-15,,,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",,,582.0,,,405.0,,,
2017-9-15,,,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",,,582.0,,,405.0,,,
2017-8-15,,,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",,,582.0,,,405.0,,,
2017-7-15,,,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",,,582.0,,,405.0,,,
2017-6-15,,,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",,,582.0,,,405.0,,,
2017-5-15,,,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",,,582.0,,,405.0,,,
2017-4-15,,,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",,,582.0,,,405.0,,,
2017-3-15,,,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",,,582.0,,,405.0,,,
2017-2-15,,,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",,,582.0,,,405.0,,,
2017-1-15,,,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",,,582.0,,,405.0,,,
2016-12-15,,,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",,,582.0,,,405.0,,,
2016-11-15,,,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",,,582.0,,,405.0,,,
2016-10-15,,,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",,,582.0,,,405.0,,,
2016-9-15,,,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",,,582.0,,,405.0,,,
2016-8-15,,,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",,,582.0,,,405.0,,,
2016-7-15,,,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",,,582.0,,,405.0,,,
2016-6-15,,,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",,,582.0,,,405.0,,,
2016-5-15,,,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",,,582.0,,,405.0,,,
2016-4-15,,,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",,,582.0,,,405.0,,,
2016-3-15,,,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",,,582.0,,,405.0,,,
2016-2-15,,,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",,,582.0,,,405.0,,,
2016-1-15,,,"ALTO RESIDENCES(Block 8),TONG YIN ST|藍塘傲8座,唐賢街",,,582.0,,,405.0,493.5,,
