,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,nfa_avg,lumpSum_change,npsf_change
2020-12-15,10441838.57142857,15470.714285714286,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",17930973.0,16649.0,1077.0,11656184.0,15688.0,743.0,10909717.0,15431.0,707.0,7142765.0,15295.0,467.0,6992330.0,15005.0,466.0,6975981.0,14811.0,471.0,11484920.0,15416.0,745.0,,0.005659553786192539,0.005655331240829842
2020-1-15,10282860.0,15254.42857142857,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",17474325.0,16225.0,1077.0,11517243.0,15501.0,743.0,10779629.0,15247.0,707.0,7057771.0,15113.0,467.0,6909382.0,14827.0,466.0,6893085.0,14635.0,471.0,11348585.0,15233.0,745.0,,0.02785549006980914,0.027867085074023468
2019-12-15,10004188.42857143,14840.857142857143,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",17002599.0,15787.0,1077.0,11204440.0,15080.0,743.0,10486931.0,14833.0,707.0,6866301.0,14703.0,467.0,6722050.0,14425.0,466.0,6706098.0,14238.0,471.0,11040900.0,14820.0,745.0,,-0.050391557620869554,-0.05037615291095732
2019-11-15,10535066.857142856,15628.142857142857,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",17906202.0,16626.0,1077.0,11798840.0,15880.0,743.0,11043340.0,15620.0,707.0,7230094.000000001,15482.0,467.0,7078074.0,15189.0,466.0,7061703.0,14993.0,471.0,11627215.0,15607.0,745.0,,0.0477932487505488,0.04780376606708425
2019-10-15,10054528.285714285,14915.142857142857,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",17090913.0,15869.0,1077.0,11260165.0,15155.0,743.0,10539249.0,14907.0,707.0,6900392.0,14776.0,467.0,6755136.0,14496.0,466.0,6739068.0,14308.0,471.0,11096775.0,14895.0,745.0,,-0.016566005678404938,-0.016559285633548027
2019-9-15,10223897.42857143,15166.285714285714,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",17379549.0,16137.0,1077.0,11449630.0,15410.0,743.0,10716706.0,15158.0,707.0,7016208.0,15024.0,467.0,6868840.0,14740.0,466.0,6852578.999999999,14549.0,471.0,11283770.0,15146.0,745.0,,-0.03800650387143478,-0.03799487119077172
2019-8-15,10627823.857142856,15765.285714285714,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",18067752.0,16776.0,1077.0,11901373.999999998,16018.0,743.0,11139492.0,15756.0,707.0,7293139.0,15617.0,467.0,7140052.0,15322.0,466.0,7122933.0,15123.0,471.0,11730025.0,15745.0,745.0,,0.0026746340340682018,0.0026894176865555064
2019-7-15,10599474.142857144,15723.0,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",18021441.0,16733.0,1077.0,11869425.0,15975.0,743.0,11109091.0,15713.0,707.0,7273524.999999999,15575.0,467.0,7120480.0,15280.0,466.0,7103622.0,15082.0,471.0,11698735.0,15703.0,745.0,,0.0019384284232004667,0.0019481642648411235
2019-6-15,10578967.57142857,15692.42857142857,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",17988054.0,16702.0,1077.0,11845649.0,15943.0,743.0,11087174.0,15682.0,707.0,7259048.0,15544.0,467.0,7106500.0,15250.0,466.0,7089963.0,15053.0,471.0,11676385.0,15673.0,745.0,,-0.008973413057154267,-0.008958859617466675
2019-5-15,10674756.57142857,15834.285714285714,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",18152835.0,16855.0,1077.0,11952641.000000002,16087.0,743.0,11186861.0,15823.0,707.0,7324428.0,15684.0,467.0,7170808.0,15388.0,466.0,7153548.0,15188.0,471.0,11782175.0,15815.0,745.0,,0.023395190041116676,0.02340612160103417
2019-4-15,10430727.714285715,15472.142857142857,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",17739267.0,16471.0,1077.0,11678474.0,15718.0,743.0,10930927.0,15461.0,707.0,7156775.0,15325.0,467.0,7006310.0,15035.0,466.0,6990111.0,14841.0,471.0,11513230.0,15454.0,745.0,,0.03725184742179222,0.037265117704522455
2019-3-15,10056118.714285715,14916.285714285714,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",17103837.0,15881.0,1077.0,11258679.0,15153.0,743.0,10537835.0,14905.0,707.0,6899458.0,14774.0,467.0,6754670.0,14495.0,466.0,6738597.0,14307.0,471.0,11099755.0,14899.0,745.0,,-0.0031553346809949367,-0.003141021357035756
2019-2-15,10087949.57142857,14963.285714285714,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",17159841.0,15933.0,1077.0,11293600.0,15200.0,743.0,10571064.0,14952.0,707.0,6920940.0,14820.0,467.0,6775640.0,14540.0,466.0,6759792.0,14352.0,471.0,11134770.0,14946.0,745.0,,0.01728491183152947,0.017297643790913142
2019-1-15,9916543.0,14708.857142857143,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",16870128.0,15664.0,1077.0,11101163.0,14941.0,743.0,10390779.0,14697.0,707.0,6803256.0,14568.0,467.0,6660538.0,14293.0,466.0,6644397.0,14107.0,471.0,10945540.0,14692.0,745.0,,,
2018-12-15,,,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,,
2018-11-15,,,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,,
2018-10-15,,,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,,
2018-9-15,,,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,,
2018-8-15,,,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,,
2018-7-15,,,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,,
2018-6-15,,,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,,
2018-5-15,,,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,,
2018-4-15,,,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,,
2018-3-15,,,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,,
2018-2-15,,,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,,
2018-1-15,,,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,,
2017-12-15,,,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,,
2017-11-15,,,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,,
2017-10-15,,,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,,
2017-9-15,,,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,,
2017-8-15,,,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,,
2017-7-15,,,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,,
2017-6-15,,,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,,
2017-5-15,,,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,,
2017-4-15,,,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,,
2017-3-15,,,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,,
2017-2-15,,,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,,
2017-1-15,,,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,,
2016-12-15,,,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,,
2016-11-15,,,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,,
2016-10-15,,,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,,
2016-9-15,,,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,,
2016-8-15,,,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,,
2016-7-15,,,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,,
2016-6-15,,,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,,
2016-5-15,,,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,,
2016-4-15,,,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,,
2016-3-15,,,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,,
2016-2-15,,,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,,,
2016-1-15,,,"SEA TO SKY(Block 1,Phase 8,LOHAS PARK),1 LOHAS PARK RD|日出康城,8期,1座(SEA TO SKY),1 康城路",,,1077.0,,,743.0,,,707.0,,,467.0,,,466.0,,,471.0,,,745.0,668.0,,
