,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_change,npsf_change
2019-12-15,10606179.625,15240.5,8,84849437.0,121924.0,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",17030384.0,16112.0,1057.0,11516382.0,15294.0,753.0,11741044.0,15388.0,763.0,11729478.0,14923.0,786.0,7359781.0,15301.0,481.0,7149868.0,15116.0,473.0,7131804.0,15046.0,474.0,11190696.0,14744.0,759.0,-0.04998201503812871,-0.049984805865714965
2019-1-15,10499982.875,15090.875,8,83999863.0,120727.0,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",16802072.0,15896.0,1057.0,11421504.0,15168.0,753.0,11630408.999999998,15243.0,763.0,11643018.0,14813.0,786.0,7281378.0,15138.0,481.0,7082702.0,14974.0,473.0,7064970.0,14905.0,474.0,11073810.0,14590.0,759.0,,
2018-12-15,,,8,,,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2018-11-15,,,8,,,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2018-10-15,,,8,,,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2018-9-15,,,8,,,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2018-8-15,,,8,,,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2018-7-15,,,8,,,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2018-6-15,,,8,,,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2018-5-15,,,8,,,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2018-4-15,,,8,,,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2018-3-15,,,8,,,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2018-2-15,,,8,,,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2018-1-15,,,8,,,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2017-12-15,,,8,,,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2017-11-15,,,8,,,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2017-10-15,,,8,,,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2017-9-15,,,8,,,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2017-8-15,,,8,,,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2017-7-15,,,8,,,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2017-6-15,,,8,,,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2017-5-15,,,8,,,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2017-4-15,,,8,,,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2017-3-15,,,8,,,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2017-2-15,,,8,,,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2017-1-15,,,8,,,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2016-12-15,,,8,,,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2016-11-15,,,8,,,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2016-10-15,,,8,,,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2016-9-15,,,8,,,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2016-8-15,,,8,,,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2016-7-15,,,8,,,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2016-6-15,,,8,,,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2016-5-15,,,8,,,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2016-4-15,,,8,,,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2016-3-15,,,8,,,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2016-2-15,,,8,,,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
2016-1-15,,,8,,,5546,"SEA TO SKY(LOHAS PARK),Block 3,Phase 8,1 LOHAS PARK RD|SEA TO SKY(日出康城),第8期,第3座,1 康城路",,,1057.0,,,753.0,,,763.0,,,786.0,,,481.0,,,473.0,,,474.0,,,759.0,,
