,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2019-12-15,10849798.75,14485.25,4,43399195.0,57941.0,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",16031710.0,15110.0,1061.0,12364365.0,15171.0,815.0,8331400.0,13525.0,616.0,6671720.0,14135.0,472.0,-0.04989941991780955,-0.04989833398924304
2017-10-15,,,4,,,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2017-9-15,,,4,,,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2017-8-15,,,4,,,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2017-7-15,,,4,,,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2017-6-15,,,4,,,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2017-5-15,,,4,,,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2017-4-15,,,4,,,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2017-3-15,,,4,,,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2017-2-15,,,4,,,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2017-1-15,,,4,,,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2016-12-15,,,4,,,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2016-11-15,,,4,,,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2016-10-15,,,4,,,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2016-9-15,,,4,,,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2016-8-15,,,4,,,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2016-7-15,,,4,,,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2016-6-15,,,4,,,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2016-5-15,,,4,,,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2016-4-15,,,4,,,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2016-3-15,,,4,,,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2016-2-15,,,4,,,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
2016-1-15,,,4,,,2964,"OCEAN MARINI(LOHAS PARK),Block 1A,Phase IXC,1 LOHAS PARK RD|OCEAN MARINI(日出康城),第IXC期,第1A座,1 康城路",,,1061.0,,,815.0,,,616.0,,,472.0,,
