,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_change,npsf_change
2019-12-15,10640526.333333334,15124.777777777777,9,95764737.0,136123.0,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",17010138.0,15794.0,1077.0,11651169.0,15473.0,753.0,11743333.000000002,15391.0,763.0,10551975.0,14925.0,707.0,7080801.0,14721.0,481.0,6934653.0,14661.0,473.0,6913764.000000001,14586.0,474.0,11293920.0,14880.0,759.0,12584984.0,15692.0,802.0,-0.049965362057642126,-0.04995777528074208
2019-1-15,10533587.333333334,14971.111111111111,9,94802286.0,134740.0,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",16859358.0,15654.0,1077.0,11529183.0,15311.0,753.0,11632698.0,15246.0,763.0,10443097.0,14771.0,707.0,7006727.0,14567.0,481.0,6861811.0,14507.0,473.0,6841242.0,14433.0,474.0,11175516.000000002,14724.0,759.0,12452654.0,15527.0,802.0,,
2018-12-15,,,9,,,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",,,1077.0,,,753.0,,,763.0,,,707.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,
2018-11-15,,,9,,,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",,,1077.0,,,753.0,,,763.0,,,707.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,
2018-10-15,,,9,,,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",,,1077.0,,,753.0,,,763.0,,,707.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,
2018-9-15,,,9,,,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",,,1077.0,,,753.0,,,763.0,,,707.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,
2018-8-15,,,9,,,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",,,1077.0,,,753.0,,,763.0,,,707.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,
2018-7-15,,,9,,,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",,,1077.0,,,753.0,,,763.0,,,707.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,
2018-6-15,,,9,,,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",,,1077.0,,,753.0,,,763.0,,,707.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,
2018-5-15,,,9,,,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",,,1077.0,,,753.0,,,763.0,,,707.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,
2018-4-15,,,9,,,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",,,1077.0,,,753.0,,,763.0,,,707.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,
2018-3-15,,,9,,,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",,,1077.0,,,753.0,,,763.0,,,707.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,
2018-2-15,,,9,,,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",,,1077.0,,,753.0,,,763.0,,,707.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,
2018-1-15,,,9,,,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",,,1077.0,,,753.0,,,763.0,,,707.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,
2017-12-15,,,9,,,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",,,1077.0,,,753.0,,,763.0,,,707.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,
2017-11-15,,,9,,,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",,,1077.0,,,753.0,,,763.0,,,707.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,
2017-10-15,,,9,,,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",,,1077.0,,,753.0,,,763.0,,,707.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,
2017-9-15,,,9,,,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",,,1077.0,,,753.0,,,763.0,,,707.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,
2017-8-15,,,9,,,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",,,1077.0,,,753.0,,,763.0,,,707.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,
2017-7-15,,,9,,,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",,,1077.0,,,753.0,,,763.0,,,707.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,
2017-6-15,,,9,,,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",,,1077.0,,,753.0,,,763.0,,,707.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,
2017-5-15,,,9,,,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",,,1077.0,,,753.0,,,763.0,,,707.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,
2017-4-15,,,9,,,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",,,1077.0,,,753.0,,,763.0,,,707.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,
2017-3-15,,,9,,,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",,,1077.0,,,753.0,,,763.0,,,707.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,
2017-2-15,,,9,,,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",,,1077.0,,,753.0,,,763.0,,,707.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,
2017-1-15,,,9,,,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",,,1077.0,,,753.0,,,763.0,,,707.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,
2016-12-15,,,9,,,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",,,1077.0,,,753.0,,,763.0,,,707.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,
2016-11-15,,,9,,,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",,,1077.0,,,753.0,,,763.0,,,707.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,
2016-10-15,,,9,,,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",,,1077.0,,,753.0,,,763.0,,,707.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,
2016-9-15,,,9,,,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",,,1077.0,,,753.0,,,763.0,,,707.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,
2016-8-15,,,9,,,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",,,1077.0,,,753.0,,,763.0,,,707.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,
2016-7-15,,,9,,,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",,,1077.0,,,753.0,,,763.0,,,707.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,
2016-6-15,,,9,,,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",,,1077.0,,,753.0,,,763.0,,,707.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,
2016-5-15,,,9,,,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",,,1077.0,,,753.0,,,763.0,,,707.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,
2016-4-15,,,9,,,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",,,1077.0,,,753.0,,,763.0,,,707.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,
2016-3-15,,,9,,,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",,,1077.0,,,753.0,,,763.0,,,707.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,
2016-2-15,,,9,,,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",,,1077.0,,,753.0,,,763.0,,,707.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,
2016-1-15,,,9,,,6289,"SEA TO SKY,LOHAS PARK,LOHAS PARK RD|SEA TO SKY(日出康城),康城路",,,1077.0,,,753.0,,,763.0,,,707.0,,,481.0,,,473.0,,,474.0,,,759.0,,,802.0,,
