,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,nfa_avg,lumpSum_change,npsf_change
2022-12-15,6528881.5,13710.833333333334,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",8848272.0,13128.0,674.0,6842288.0,13712.0,499.0,8251950.0,13550.0,609.0,4111902.0,14738.0,279.0,5582539.0,14351.0,389.0,5536338.0,12786.0,433.0,,-0.011236054601235779,-0.01171311869293612
2022-1-15,7705714.333333333,16191.166666666666,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",10366794.0,15381.0,674.0,8087791.999999999,16208.0,499.0,9767142.0,16038.0,609.0,4860459.0,17421.0,279.0,6602108.000000001,16972.0,389.0,6549991.0,15127.0,433.0,,-0.04051596238980326,-0.04052345679012348
2021-12-15,8031102.166666667,16875.0,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",10802198.0,16027.0,674.0,8429108.0,16892.0,499.0,10181262.0,16718.0,609.0,5065524.0,18156.0,279.0,6881410.0,17690.0,389.0,6827111.0,15767.0,433.0,,0.03087751877830791,0.030870105276018744
2021-11-15,7790549.333333333,16369.666666666666,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",10476656.0,15544.0,674.0,8176115.0,16385.0,499.0,9877980.0,16220.0,609.0,4913748.0,17612.0,279.0,6675629.0,17161.0,389.0,6623168.0,15296.0,433.0,,-0.007482573831114503,-0.007487949554866313
2021-10-15,7849282.166666667,16493.166666666668,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",10553492.0,15658.0,674.0,8237492.000000001,16508.0,499.0,9954105.0,16345.0,609.0,4950576.0,17744.0,279.0,6726199.0,17291.0,389.0,6673828.999999999,15413.0,433.0,,0.011710470360788872,0.011695547717630372
2021-9-15,7758427.333333333,16302.5,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",10428802.0,15473.0,674.0,8142183.000000001,16317.0,499.0,9840222.0,16158.0,609.0,4893381.0,17539.0,279.0,6648787.999999999,17092.0,389.0,6597187.999999999,15236.0,433.0,,0.010807672230420451,0.010798801281388881
2021-8-15,7675473.333333333,16128.333333333334,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",10314896.0,15304.0,674.0,8054858.0,16142.0,499.0,9736692.0,15988.0,609.0,4840929.0,17351.0,279.0,6577990.000000001,16910.0,389.0,6527475.000000001,15075.0,433.0,,-0.001246120741919321,-0.0012488260003509222
2021-7-15,7685049.833333333,16148.5,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",10325680.0,15320.0,674.0,8064838.000000001,16162.0,499.0,9750699.0,16011.0,609.0,4846788.0,17372.0,279.0,6586159.0,16931.0,389.0,6536135.000000001,15095.0,433.0,,0.0020485033097701333,0.0020373549548058367
2021-6-15,7669339.166666667,16115.666666666666,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",10302090.0,15285.0,674.0,8047872.0,16128.0,499.0,9732429.0,15981.0,609.0,4836744.0,17336.0,279.0,6573322.0,16898.0,389.0,6523578.0,15066.0,433.0,,-0.0043887909010343895,-0.0043965774652238165
2021-5-15,7703146.666666667,16186.833333333334,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",10345226.0,15349.0,674.0,8083301.0,16199.0,499.0,9776886.0,16054.0,609.0,4857948.0,17412.0,279.0,6602497.0,16973.0,389.0,6553022.0,15134.0,433.0,,,
2021-4-15,,,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2021-3-15,,,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2021-2-15,,,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2021-1-15,,,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2020-12-15,,,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2020-11-15,,,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2020-10-15,,,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2020-9-15,,,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2020-8-15,,,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2020-7-15,,,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2020-6-15,,,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2020-5-15,,,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2020-4-15,,,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2020-3-15,,,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2020-2-15,,,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2020-1-15,,,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2019-12-15,,,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2019-11-15,,,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2019-10-15,,,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2019-9-15,,,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2019-8-15,,,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2019-7-15,,,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2019-6-15,,,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2019-5-15,,,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2019-4-15,,,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2019-3-15,,,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2019-2-15,,,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2019-1-15,,,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2018-12-15,,,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2018-11-15,,,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2018-10-15,,,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2018-9-15,,,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2018-8-15,,,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2018-7-15,,,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2018-6-15,,,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2018-5-15,,,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2018-4-15,,,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2018-3-15,,,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2018-2-15,,,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2018-1-15,,,"PARK YOHO BOLOGNA(Block 8A,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8A座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,480.5,,
