,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,nfa_avg,lumpSum_change,npsf_change
2022-12-15,6547431.166666667,13780.166666666666,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",8739084.0,12966.0,674.0,6932607.0,13893.0,499.0,8291534.999999999,13615.0,609.0,4205925.0,15075.0,279.0,5593820.0,14380.0,389.0,5521616.0,12752.0,433.0,,-0.02559112093718252,-0.02240588346575867
2022-1-15,7841314.333333333,16452.0,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",10592584.0,15716.0,674.0,8198570.0,16430.0,499.0,10131324.0,16636.0,609.0,4974291.0,17829.0,279.0,6618446.0,17014.0,389.0,6532671.0,15087.0,433.0,,-0.04051563477117115,-0.040531871464396074
2021-12-15,8172425.333333333,17147.0,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",11040120.0,16380.0,674.0,8544876.0,17124.0,499.0,10557015.0,17335.0,609.0,5184657.0,18583.0,279.0,6898526.0,17734.0,389.0,6809358.0,15726.0,433.0,,0.030891150523298272,0.030871434153966426
2021-11-15,7927534.666666667,16633.5,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",10709186.0,15889.0,674.0,8289387.999999999,16612.0,499.0,10238508.0,16812.0,609.0,5029533.0,18027.0,279.0,6692745.0,17205.0,389.0,6605848.0,15256.0,433.0,,-0.007488778975739185,-0.007508254107164047
2021-10-15,7987350.166666667,16759.333333333332,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",10790066.0,16009.0,674.0,8352262.0,16738.0,499.0,10313415.0,16935.0,609.0,5067756.0,18164.0,279.0,6744092.999999999,17337.0,389.0,6656508.999999999,15373.0,433.0,,0.011697660942795673,0.01168066804165191
2021-9-15,7894997.166666667,16565.833333333332,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",10665376.0,15824.0,674.0,8255955.0,16545.0,499.0,10192224.0,16736.0,609.0,5009445.0,17955.0,279.0,6666682.0,17138.0,389.0,6580301.000000001,15197.0,433.0,,0.010815904772529583,0.010800036610293606
2021-8-15,7810519.333333333,16388.833333333332,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",10551470.0,15655.0,674.0,8168130.999999999,16369.0,499.0,10080777.0,16553.0,609.0,4955877.0,17763.0,279.0,6596273.000000001,16957.0,389.0,6510588.0,15036.0,433.0,,-0.0012349890708998057,-0.0012492890225075381
2021-7-15,7820177.166666667,16409.333333333332,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",10564950.0,15675.0,674.0,8178609.999999999,16390.0,499.0,10091130.0,16570.0,609.0,4962294.0,17786.0,279.0,6604831.000000001,16979.0,389.0,6519248.0,15056.0,433.0,,0.00203601759502936,0.0020151030959310035
2021-6-15,7804287.5,16376.333333333334,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",10543382.0,15643.0,674.0,8162143.0,16357.0,499.0,10068597.0,16533.0,609.0,4952529.0,17751.0,279.0,6592382.999999999,16947.0,389.0,6506691.000000001,15027.0,433.0,,-0.004367193559651428,-0.004387431478047654
2021-5-15,7838519.833333333,16448.5,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",10589888.0,15712.0,674.0,8198570.0,16430.0,499.0,10110009.0,16601.0,609.0,4974570.0,17830.0,279.0,6621947.0,17023.0,389.0,6536135.0,15095.0,433.0,,,
2021-4-15,,,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2021-3-15,,,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2021-2-15,,,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2021-1-15,,,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2020-12-15,,,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2020-11-15,,,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2020-10-15,,,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2020-9-15,,,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2020-8-15,,,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2020-7-15,,,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2020-6-15,,,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2020-5-15,,,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2020-4-15,,,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2020-3-15,,,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2020-2-15,,,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2020-1-15,,,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2019-12-15,,,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2019-11-15,,,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2019-10-15,,,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2019-9-15,,,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2019-8-15,,,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2019-7-15,,,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2019-6-15,,,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2019-5-15,,,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2019-4-15,,,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2019-3-15,,,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2019-2-15,,,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2019-1-15,,,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2018-12-15,,,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2018-11-15,,,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2018-10-15,,,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2018-9-15,,,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2018-8-15,,,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2018-7-15,,,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2018-6-15,,,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2018-5-15,,,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2018-4-15,,,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2018-3-15,,,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2018-2-15,,,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,,,
2018-1-15,,,"PARK YOHO BOLOGNA(Block 8B,Phase 3,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,3期,8B座(PARK YOHO BOLOGNA),18 青山公路潭尾段",,,674.0,,,499.0,,,609.0,,,279.0,,,389.0,,,433.0,480.5,,
