,lumpSum_avg,npsf_avg,final_address,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B10,npsf_B10,nfa_B10,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,lumpSum_B7,npsf_B7,nfa_B7,lumpSum_B8,npsf_B8,nfa_B8,lumpSum_B9,npsf_B9,nfa_B9,nfa_avg,lumpSum_change,npsf_change
2022-12-15,7866353.909090909,16617.81818181818,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",13272168.0,16068.0,826.0,11104832.0,16624.0,668.0,7717248.0,16704.0,462.0,8192934.0,15786.0,519.0,8681319.0,16349.0,531.0,7717806.0,16386.0,471.0,6000345.0,17095.0,351.0,6114944.0,17372.0,352.0,6073760.0,17255.0,352.0,5783360.0,16430.0,352.0,5871177.0,16727.0,351.0,,-0.01285898500330962,-0.012852637490819774
2022-1-15,9297185.363636363,19640.272727272728,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",15688218.000000002,18993.0,826.0,13124864.000000002,19648.0,668.0,9121266.0,19743.0,462.0,9681945.0,18655.0,519.0,10261044.0,19324.0,531.0,9120444.0,19364.0,471.0,7091604.0,20204.0,351.0,7227264.0,20532.0,352.0,7178688.0,20394.0,352.0,6834432.0,19416.0,352.0,6939269.999999999,19770.0,351.0,,-0.0405062890679897,-0.0405082517631592
2021-12-15,9689678.272727273,20469.454545454544,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",16349843.999999998,19794.0,826.0,13679304.0,20478.0,668.0,9506574.0,20577.0,462.0,10090917.0,19443.0,519.0,10693809.0,20139.0,531.0,9505722.0,20182.0,471.0,7391007.0,21057.0,351.0,7532448.0,21399.0,352.0,7481408.0,21254.0,352.0,7123424.0,20237.0,352.0,7232004.0,20604.0,351.0,,0.030878421044553184,0.030871573703993738
2021-11-15,9399438.454545455,19856.454545454544,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",15859200.0,19200.0,826.0,13269152.0,19864.0,668.0,9221520.0,19960.0,462.0,9789378.0,18862.0,519.0,10373085.0,19535.0,531.0,9221709.0,19579.0,471.0,7169526.0,20426.0,351.0,7306816.000000001,20758.0,352.0,7257536.0,20618.0,352.0,6910463.999999999,19632.0,352.0,7015436.999999999,19987.0,351.0,,-0.007464199931537685,-0.007470520073614706
2021-10-15,9470125.363636363,20005.909090909092,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",15977318.0,19343.0,826.0,13368684.000000002,20013.0,668.0,9290820.0,20110.0,462.0,9863595.0,19005.0,519.0,10451142.0,19682.0,531.0,9291417.0,19727.0,471.0,7223580.0,20580.0,351.0,7361728.000000001,20914.0,352.0,7312096.0,20773.0,352.0,6962912.0,19781.0,352.0,7068087.0,20137.0,351.0,,0.011708489046436288,0.011704724644743703
2021-9-15,9360527.727272727,19774.454545454544,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",15791468.0,19118.0,826.0,13214375.999999998,19782.0,668.0,9183174.0,19877.0,462.0,9749934.0,18786.0,519.0,10329543.0,19453.0,531.0,9184500.0,19500.0,471.0,7140041.999999999,20342.0,351.0,7276544.0,20672.0,352.0,7227264.0,20532.0,352.0,6882656.0,19553.0,352.0,6986304.0,19904.0,351.0,,0.01081382191907676,0.0108089017765447
2021-8-15,9260387.545454545,19563.0,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",15621312.0,18912.0,826.0,13072759.999999998,19570.0,668.0,9085230.0,19665.0,462.0,9646134.0,18586.0,519.0,10219095.0,19245.0,531.0,9087003.0,19293.0,471.0,7063524.000000001,20124.0,351.0,7198400.0,20450.0,352.0,7149824.0,20312.0,352.0,6809440.000000001,19345.0,352.0,6911541.0,19691.0,351.0,,-0.0012011068887766152,-0.0012113954718872
2021-7-15,9271523.636363637,19586.727272727272,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",15638658.0,18933.0,826.0,13088124.0,19593.0,668.0,9095856.0,19688.0,462.0,9658590.0,18610.0,519.0,10230777.0,19267.0,531.0,9098778.0,19318.0,471.0,7071948.0,20148.0,351.0,7207200.0,20475.0,352.0,7158624.0,20337.0,352.0,6818240.0,19370.0,352.0,6919965.0,19715.0,351.0,,0.0020392771002613053,0.0020323974383420484
2021-6-15,9252654.909090908,19547.0,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",15605618.0,18893.0,826.0,13061403.999999998,19553.0,668.0,9077376.0,19648.0,462.0,9639906.0,18574.0,519.0,10209537.0,19227.0,531.0,9080409.0,19279.0,471.0,7057557.000000001,20107.0,351.0,7192416.0,20433.0,352.0,7144191.999999999,20296.0,352.0,6804864.0,19332.0,352.0,6905925.0,19675.0,351.0,,-0.004368584654365182,-0.0043711596075216574
2021-5-15,9293253.272727273,19632.81818181818,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",15673350.0,18975.0,826.0,13118852.0,19639.0,668.0,9117108.0,19734.0,462.0,9682464.0,18656.0,519.0,10254141.0,19311.0,531.0,9120915.0,19365.0,471.0,7088445.000000001,20195.0,351.0,7224096.0,20523.0,352.0,7175167.999999999,20384.0,352.0,6835136.0,19418.0,352.0,6936111.0,19761.0,351.0,,0.027542779677001583,0.027534328699077903
2021-4-15,9044152.181818182,19106.727272727272,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",15252090.000000002,18465.0,826.0,12766816.0,19112.0,668.0,8872710.0,19205.0,462.0,9423483.0,18157.0,519.0,9979083.0,18793.0,531.0,8876937.0,18847.0,471.0,6898554.0,19654.0,351.0,7030496.0,19973.0,352.0,6982976.0,19838.0,352.0,6652448.0,18899.0,352.0,6750081.0,19231.0,351.0,,-0.006633389385250932,-0.006635850608286309
2021-3-15,9104546.181818182,19234.363636363636,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",15352862.000000002,18587.0,826.0,12852320.0,19240.0,668.0,8931846.0,19333.0,462.0,9487320.0,18280.0,519.0,10045458.0,18918.0,531.0,8936754.0,18974.0,471.0,6944535.000000001,19785.0,351.0,7077312.0,20106.0,352.0,7029440.000000001,19970.0,352.0,6697152.0,19026.0,352.0,6795009.0,19359.0,351.0,,0.030286744980934976,0.030278535255161776
2021-2-15,8836905.090909092,18669.090909090908,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",14900214.0,18039.0,826.0,12474232.0,18674.0,668.0,8669430.0,18765.0,462.0,9209136.0,17744.0,519.0,9749691.0,18361.0,531.0,8674878.0,18418.0,471.0,6740253.0,19203.0,351.0,6869279.999999999,19515.0,352.0,6822815.999999999,19383.0,352.0,6500736.0,18468.0,352.0,6595290.0,18790.0,351.0,,0.022661226077584917,0.022653141511172148
2021-1-15,8641087.454545455,18255.545454545456,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",14568987.999999998,17638.0,826.0,12197680.0,18260.0,668.0,8477238.0,18349.0,462.0,9005688.0,17352.0,519.0,9533043.0,17953.0,531.0,8483181.0,18011.0,471.0,6591078.0,18778.0,351.0,6716864.0,19082.0,352.0,6671808.0,18954.0,352.0,6357120.0,18060.0,352.0,6449274.0,18374.0,351.0,,-0.0300170216508282,-0.030025069193873155
2020-12-15,8908493.909090908,18820.636363636364,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",15018331.999999998,18182.0,826.0,12575100.0,18825.0,668.0,8739654.0,18917.0,462.0,9284910.0,17890.0,519.0,9827748.0,18508.0,531.0,8746470.0,18570.0,471.0,6795008.999999999,19359.0,351.0,6924896.000000001,19673.0,352.0,6878079.999999999,19540.0,352.0,6554592.0,18621.0,352.0,6648642.0,18942.0,351.0,,,
2020-11-15,,,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",,,826.0,,,668.0,,,462.0,,,519.0,,,531.0,,,471.0,,,351.0,,,352.0,,,352.0,,,352.0,,,351.0,,,
2020-10-15,,,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",,,826.0,,,668.0,,,462.0,,,519.0,,,531.0,,,471.0,,,351.0,,,352.0,,,352.0,,,352.0,,,351.0,,,
2020-9-15,,,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",,,826.0,,,668.0,,,462.0,,,519.0,,,531.0,,,471.0,,,351.0,,,352.0,,,352.0,,,352.0,,,351.0,,,
2020-8-15,,,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",,,826.0,,,668.0,,,462.0,,,519.0,,,531.0,,,471.0,,,351.0,,,352.0,,,352.0,,,352.0,,,351.0,,,
2020-7-15,,,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",,,826.0,,,668.0,,,462.0,,,519.0,,,531.0,,,471.0,,,351.0,,,352.0,,,352.0,,,352.0,,,351.0,,,
2020-6-15,,,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",,,826.0,,,668.0,,,462.0,,,519.0,,,531.0,,,471.0,,,351.0,,,352.0,,,352.0,,,352.0,,,351.0,,,
2020-5-15,,,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",,,826.0,,,668.0,,,462.0,,,519.0,,,531.0,,,471.0,,,351.0,,,352.0,,,352.0,,,352.0,,,351.0,,,
2020-4-15,,,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",,,826.0,,,668.0,,,462.0,,,519.0,,,531.0,,,471.0,,,351.0,,,352.0,,,352.0,,,352.0,,,351.0,,,
2020-3-15,,,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",,,826.0,,,668.0,,,462.0,,,519.0,,,531.0,,,471.0,,,351.0,,,352.0,,,352.0,,,352.0,,,351.0,,,
2020-2-15,,,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",,,826.0,,,668.0,,,462.0,,,519.0,,,531.0,,,471.0,,,351.0,,,352.0,,,352.0,,,352.0,,,351.0,,,
2020-1-15,,,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",,,826.0,,,668.0,,,462.0,,,519.0,,,531.0,,,471.0,,,351.0,,,352.0,,,352.0,,,352.0,,,351.0,,,
2019-12-15,,,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",,,826.0,,,668.0,,,462.0,,,519.0,,,531.0,,,471.0,,,351.0,,,352.0,,,352.0,,,352.0,,,351.0,,,
2019-11-15,,,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",,,826.0,,,668.0,,,462.0,,,519.0,,,531.0,,,471.0,,,351.0,,,352.0,,,352.0,,,352.0,,,351.0,,,
2019-10-15,,,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",,,826.0,,,668.0,,,462.0,,,519.0,,,531.0,,,471.0,,,351.0,,,352.0,,,352.0,,,352.0,,,351.0,,,
2019-9-15,,,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",,,826.0,,,668.0,,,462.0,,,519.0,,,531.0,,,471.0,,,351.0,,,352.0,,,352.0,,,352.0,,,351.0,,,
2019-8-15,,,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",,,826.0,,,668.0,,,462.0,,,519.0,,,531.0,,,471.0,,,351.0,,,352.0,,,352.0,,,352.0,,,351.0,,,
2019-7-15,,,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",,,826.0,,,668.0,,,462.0,,,519.0,,,531.0,,,471.0,,,351.0,,,352.0,,,352.0,,,352.0,,,351.0,,,
2019-6-15,,,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",,,826.0,,,668.0,,,462.0,,,519.0,,,531.0,,,471.0,,,351.0,,,352.0,,,352.0,,,352.0,,,351.0,,,
2019-5-15,,,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",,,826.0,,,668.0,,,462.0,,,519.0,,,531.0,,,471.0,,,351.0,,,352.0,,,352.0,,,352.0,,,351.0,,,
2019-4-15,,,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",,,826.0,,,668.0,,,462.0,,,519.0,,,531.0,,,471.0,,,351.0,,,352.0,,,352.0,,,352.0,,,351.0,,,
2019-3-15,,,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",,,826.0,,,668.0,,,462.0,,,519.0,,,531.0,,,471.0,,,351.0,,,352.0,,,352.0,,,352.0,,,351.0,,,
2019-2-15,,,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",,,826.0,,,668.0,,,462.0,,,519.0,,,531.0,,,471.0,,,351.0,,,352.0,,,352.0,,,352.0,,,351.0,,,
2019-1-15,,,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",,,826.0,,,668.0,,,462.0,,,519.0,,,531.0,,,471.0,,,351.0,,,352.0,,,352.0,,,352.0,,,351.0,,,
2018-12-15,,,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",,,826.0,,,668.0,,,462.0,,,519.0,,,531.0,,,471.0,,,351.0,,,352.0,,,352.0,,,352.0,,,351.0,,,
2018-11-15,,,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",,,826.0,,,668.0,,,462.0,,,519.0,,,531.0,,,471.0,,,351.0,,,352.0,,,352.0,,,352.0,,,351.0,,,
2018-10-15,,,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",,,826.0,,,668.0,,,462.0,,,519.0,,,531.0,,,471.0,,,351.0,,,352.0,,,352.0,,,352.0,,,351.0,,,
2018-9-15,,,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",,,826.0,,,668.0,,,462.0,,,519.0,,,531.0,,,471.0,,,351.0,,,352.0,,,352.0,,,352.0,,,351.0,,,
2018-8-15,,,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",,,826.0,,,668.0,,,462.0,,,519.0,,,531.0,,,471.0,,,351.0,,,352.0,,,352.0,,,352.0,,,351.0,,,
2018-7-15,,,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",,,826.0,,,668.0,,,462.0,,,519.0,,,531.0,,,471.0,,,351.0,,,352.0,,,352.0,,,352.0,,,351.0,,,
2018-6-15,,,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",,,826.0,,,668.0,,,462.0,,,519.0,,,531.0,,,471.0,,,351.0,,,352.0,,,352.0,,,352.0,,,351.0,,,
2018-5-15,,,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",,,826.0,,,668.0,,,462.0,,,519.0,,,531.0,,,471.0,,,351.0,,,352.0,,,352.0,,,352.0,,,351.0,,,
2018-4-15,,,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",,,826.0,,,668.0,,,462.0,,,519.0,,,531.0,,,471.0,,,351.0,,,352.0,,,352.0,,,352.0,,,351.0,,,
2018-3-15,,,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",,,826.0,,,668.0,,,462.0,,,519.0,,,531.0,,,471.0,,,351.0,,,352.0,,,352.0,,,352.0,,,351.0,,,
2018-2-15,,,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",,,826.0,,,668.0,,,462.0,,,519.0,,,531.0,,,471.0,,,351.0,,,352.0,,,352.0,,,352.0,,,351.0,,,
2018-1-15,,,"GRAND MAYFAIR II(Block 1,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,1座(柏瓏 II),29 錦河路",,,826.0,,,668.0,,,462.0,,,519.0,,,531.0,,,471.0,,,351.0,,,352.0,,,352.0,,,352.0,,,351.0,475.90909090909093,,
