,lumpSum_avg,npsf_avg,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,nfa_avg,lumpSum_change,npsf_change
2022-12-15,4319299.0,10059.5,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",4322804.0,9892.0,437.0,4315794.0,10227.0,422.0,,-0.012903017179074827,-0.012903542341281549
2022-1-15,5096250.5,11869.0,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",5100227.0,11671.0,437.0,5092274.0,12067.0,422.0,,-0.04046222368162533,-0.040462427745664775
2021-12-15,5311151.5,12369.5,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",5315231.0,12163.0,437.0,5307072.0,12576.0,422.0,,0.030920822259645764,0.03092053173313336
2021-11-15,5151852.0,11998.5,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",5155726.0,11798.0,437.0,5147978.0,12199.0,422.0,,-0.007445815185995075,-0.007445092443231216
2021-10-15,5190499.5,12088.5,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",5194619.0,11887.0,437.0,5186380.0,12290.0,422.0,,0.011717445349369138,0.011716951918650853
2021-9-15,5130384.5,11948.5,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",5134313.0,11749.0,437.0,5126456.0,12148.0,422.0,,0.010872368702347979,0.010871404399323215
2021-8-15,5075205.0,11820.0,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",5078814.0,11622.0,437.0,5071596.0,12018.0,422.0,,-0.001183377686216125,-0.0011830319418624224
2021-7-15,5081218.0,11834.0,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",5084932.0,11636.0,437.0,5077504.0,12032.0,422.0,,0.00203277123829837,0.002032176121930629
2021-6-15,5070910.0,11810.0,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",5074444.0,11612.0,437.0,5067376.0,12008.0,422.0,,-0.004299593524749734,-0.004299806087176505
2021-5-15,5092807.0,11861.0,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",5096294.0,11662.0,437.0,5089320.0,12060.0,422.0,,0.02754968536277369,0.027549163995495007
2021-4-15,4956263.5,11543.0,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",4959513.0,11349.0,437.0,4953014.0,11737.0,422.0,,-0.006626945214560531,-0.0066265060240964235
2021-3-15,4989327.5,11620.0,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",4992725.0,11425.0,437.0,4985930.0,11815.0,422.0,,0.030370601361139782,0.030370206162713353
2021-2-15,4842265.0,11277.5,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",4845456.0,11088.0,437.0,4839074.0,11467.0,422.0,,0.02267092157840045,0.022670596236681106
2021-1-15,4734920.0,11027.5,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",4737954.0,10842.0,437.0,4731886.0,11213.0,422.0,,-0.029994768848559783,-0.029995162070633796
2020-12-15,4881334.5,11368.5,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",4884349.0,11177.0,437.0,4878320.0,11560.0,422.0,,0.027800725601591303,0.027289567613970167
2020-11-15,4749300.5,11066.5,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",4616905.0,10565.0,437.0,4881696.0,11568.0,422.0,,0.01878060814071958,0.01878020713463746
2020-10-15,4661750.0,10862.5,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",4531690.0,10370.0,437.0,4791810.0,11355.0,422.0,,,
2020-9-15,,,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",,,437.0,,,422.0,,,
2020-8-15,,,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",,,437.0,,,422.0,,,
2020-7-15,,,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",,,437.0,,,422.0,,,
2020-6-15,,,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",,,437.0,,,422.0,,,
2020-5-15,,,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",,,437.0,,,422.0,,,
2020-4-15,,,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",,,437.0,,,422.0,,,
2020-3-15,,,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",,,437.0,,,422.0,,,
2020-2-15,,,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",,,437.0,,,422.0,,,
2020-1-15,,,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",,,437.0,,,422.0,,,
2019-12-15,,,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",,,437.0,,,422.0,,,
2019-11-15,,,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",,,437.0,,,422.0,,,
2019-10-15,,,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",,,437.0,,,422.0,,,
2019-9-15,,,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",,,437.0,,,422.0,,,
2019-8-15,,,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",,,437.0,,,422.0,,,
2019-7-15,,,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",,,437.0,,,422.0,,,
2019-6-15,,,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",,,437.0,,,422.0,,,
2019-5-15,,,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",,,437.0,,,422.0,,,
2019-4-15,,,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",,,437.0,,,422.0,,,
2019-3-15,,,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",,,437.0,,,422.0,,,
2019-2-15,,,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",,,437.0,,,422.0,,,
2019-1-15,,,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",,,437.0,,,422.0,,,
2018-12-15,,,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",,,437.0,,,422.0,,,
2018-11-15,,,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",,,437.0,,,422.0,,,
2018-10-15,,,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",,,437.0,,,422.0,,,
2018-9-15,,,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",,,437.0,,,422.0,,,
2018-8-15,,,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",,,437.0,,,422.0,,,
2018-7-15,,,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",,,437.0,,,422.0,,,
2018-6-15,,,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",,,437.0,,,422.0,,,
2018-5-15,,,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",,,437.0,,,422.0,,,
2018-4-15,,,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",,,437.0,,,422.0,,,
2018-3-15,,,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",,,437.0,,,422.0,,,
2018-2-15,,,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",,,437.0,,,422.0,,,
2018-1-15,,,"PARKVIEW GARDEN(Block 14),CHUI PAK RD|柏雨花園14座,翠柏路",,,437.0,,,422.0,429.5,,
