,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2022-12-15,5562891.0,8634.333333333334,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",5245087.0,8641.0,607.0,5245087.0,8641.0,607.0,6198499.0,8621.0,719.0,,-0.01291936370881308,-0.012918222696440829
2020-10-15,,,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",,,607.0,,,607.0,,,719.0,,,
2020-9-15,,,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",,,607.0,,,607.0,,,719.0,,,
2020-8-15,,,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",,,607.0,,,607.0,,,719.0,,,
2020-7-15,,,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",,,607.0,,,607.0,,,719.0,,,
2020-6-15,,,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",,,607.0,,,607.0,,,719.0,,,
2020-5-15,,,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",,,607.0,,,607.0,,,719.0,,,
2020-4-15,,,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",,,607.0,,,607.0,,,719.0,,,
2020-3-15,,,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",,,607.0,,,607.0,,,719.0,,,
2020-2-15,,,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",,,607.0,,,607.0,,,719.0,,,
2020-1-15,,,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",,,607.0,,,607.0,,,719.0,,,
2019-12-15,,,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",,,607.0,,,607.0,,,719.0,,,
2019-11-15,,,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",,,607.0,,,607.0,,,719.0,,,
2019-10-15,,,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",,,607.0,,,607.0,,,719.0,,,
2019-9-15,,,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",,,607.0,,,607.0,,,719.0,,,
2019-8-15,,,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",,,607.0,,,607.0,,,719.0,,,
2019-7-15,,,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",,,607.0,,,607.0,,,719.0,,,
2019-6-15,,,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",,,607.0,,,607.0,,,719.0,,,
2019-5-15,,,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",,,607.0,,,607.0,,,719.0,,,
2019-4-15,,,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",,,607.0,,,607.0,,,719.0,,,
2019-3-15,,,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",,,607.0,,,607.0,,,719.0,,,
2019-2-15,,,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",,,607.0,,,607.0,,,719.0,,,
2019-1-15,,,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",,,607.0,,,607.0,,,719.0,,,
2018-12-15,,,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",,,607.0,,,607.0,,,719.0,,,
2018-11-15,,,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",,,607.0,,,607.0,,,719.0,,,
2018-10-15,,,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",,,607.0,,,607.0,,,719.0,,,
2018-9-15,,,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",,,607.0,,,607.0,,,719.0,,,
2018-8-15,,,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",,,607.0,,,607.0,,,719.0,,,
2018-7-15,,,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",,,607.0,,,607.0,,,719.0,,,
2018-6-15,,,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",,,607.0,,,607.0,,,719.0,,,
2018-5-15,,,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",,,607.0,,,607.0,,,719.0,,,
2018-4-15,,,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",,,607.0,,,607.0,,,719.0,,,
2018-3-15,,,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",,,607.0,,,607.0,,,719.0,,,
2018-2-15,,,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",,,607.0,,,607.0,,,719.0,,,
2018-1-15,,,"NOBLE PARK(Block 3),KAT HING WAI|豪景富居3座,吉慶圍",,,607.0,,,607.0,,,719.0,644.3333333333334,,
