,lumpSum_avg,npsf_avg,final_address,lumpSum_B,npsf_B,nfa_B,nfa_avg,lumpSum_change,npsf_change
2022-12-15,1816464.0,6396.0,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",1816464.0,6396.0,284.0,,-0.012810618922673211,-0.012810618922673211
2021-10-15,2186800.0,7700.0,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",2186800.0,7700.0,284.0,,0.011693601366443263,0.011693601366443263
2021-9-15,2161524.0,7611.0,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",2161524.0,7611.0,284.0,,0.01089122061362735,0.01089122061362735
2021-8-15,2138236.0,7529.0,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",2138236.0,7529.0,284.0,,-0.001193950650039799,-0.001193950650039799
2021-7-15,2140792.0,7538.0,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",2140792.0,7538.0,284.0,,0.0019938854180512333,0.0019938854180512333
2021-6-15,2136532.0,7523.0,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",2136532.0,7523.0,284.0,,-0.004235605559232303,-0.004235605559232303
2021-5-15,2145620.0,7555.0,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",2145620.0,7555.0,284.0,,0.027471780225758247,0.027471780225758247
2021-4-15,2088251.9999999998,7353.0,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",2088251.9999999998,7353.0,284.0,,-0.006619832477708809,-0.006619832477708698
2021-3-15,2102168.0,7402.0,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",2102168.0,7402.0,284.0,,0.030345211581291665,0.030345211581291665
2021-2-15,2040256.0,7184.0,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",2040256.0,7184.0,284.0,,0.02263345195729527,0.02263345195729527
2021-1-15,1995100.0,7025.0,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",1995100.0,7025.0,284.0,,-0.029964098315382492,-0.029964098315382492
2020-12-15,2056728.0,7242.0,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",2056728.0,7242.0,284.0,,,
2020-11-15,,,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",,,284.0,,,
2020-10-15,,,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",,,284.0,,,
2020-9-15,,,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",,,284.0,,,
2020-8-15,,,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",,,284.0,,,
2020-7-15,,,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",,,284.0,,,
2020-6-15,,,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",,,284.0,,,
2020-5-15,,,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",,,284.0,,,
2020-4-15,,,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",,,284.0,,,
2020-3-15,,,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",,,284.0,,,
2020-2-15,,,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",,,284.0,,,
2020-1-15,,,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",,,284.0,,,
2019-12-15,,,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",,,284.0,,,
2019-11-15,,,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",,,284.0,,,
2019-10-15,,,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",,,284.0,,,
2019-9-15,,,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",,,284.0,,,
2019-8-15,,,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",,,284.0,,,
2019-7-15,,,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",,,284.0,,,
2019-6-15,,,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",,,284.0,,,
2019-5-15,,,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",,,284.0,,,
2019-4-15,,,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",,,284.0,,,
2019-3-15,,,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",,,284.0,,,
2019-2-15,,,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",,,284.0,,,
2019-1-15,,,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",,,284.0,,,
2018-12-15,,,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",,,284.0,,,
2018-11-15,,,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",,,284.0,,,
2018-10-15,,,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",,,284.0,,,
2018-9-15,,,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",,,284.0,,,
2018-8-15,,,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",,,284.0,,,
2018-7-15,,,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",,,284.0,,,
2018-6-15,,,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",,,284.0,,,
2018-5-15,,,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",,,284.0,,,
2018-4-15,,,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",,,284.0,,,
2018-3-15,,,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",,,284.0,,,
2018-2-15,,,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",,,284.0,,,
2018-1-15,,,"TUNG SHING BLDG,KIU LOK SQUARE|同盛樓,橋樂坊",,,284.0,284.0,,
