,lumpSum_avg,npsf_avg,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,nfa_avg,lumpSum_change,npsf_change
2022-12-15,8724354.57142857,16828.285714285714,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",9131723.0,16573.0,551.0,8711889.0,17389.0,501.0,13170250.0,17375.0,758.0,7541394.0,16611.0,454.0,7530798.0,16698.0,451.0,7538014.0,16714.0,451.0,7446414.0,16438.0,453.0,,-0.012802063494123939,-0.012813529209650842
2020-11-15,,,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",,,551.0,,,501.0,,,758.0,,,454.0,,,451.0,,,451.0,,,453.0,,,
2020-10-15,,,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",,,551.0,,,501.0,,,758.0,,,454.0,,,451.0,,,451.0,,,453.0,,,
2020-9-15,,,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",,,551.0,,,501.0,,,758.0,,,454.0,,,451.0,,,451.0,,,453.0,,,
2020-8-15,,,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",,,551.0,,,501.0,,,758.0,,,454.0,,,451.0,,,451.0,,,453.0,,,
2020-7-15,,,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",,,551.0,,,501.0,,,758.0,,,454.0,,,451.0,,,451.0,,,453.0,,,
2020-6-15,,,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",,,551.0,,,501.0,,,758.0,,,454.0,,,451.0,,,451.0,,,453.0,,,
2020-5-15,,,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",,,551.0,,,501.0,,,758.0,,,454.0,,,451.0,,,451.0,,,453.0,,,
2020-4-15,,,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",,,551.0,,,501.0,,,758.0,,,454.0,,,451.0,,,451.0,,,453.0,,,
2020-3-15,,,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",,,551.0,,,501.0,,,758.0,,,454.0,,,451.0,,,451.0,,,453.0,,,
2020-2-15,,,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",,,551.0,,,501.0,,,758.0,,,454.0,,,451.0,,,451.0,,,453.0,,,
2020-1-15,,,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",,,551.0,,,501.0,,,758.0,,,454.0,,,451.0,,,451.0,,,453.0,,,
2019-12-15,,,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",,,551.0,,,501.0,,,758.0,,,454.0,,,451.0,,,451.0,,,453.0,,,
2019-11-15,,,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",,,551.0,,,501.0,,,758.0,,,454.0,,,451.0,,,451.0,,,453.0,,,
2019-10-15,,,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",,,551.0,,,501.0,,,758.0,,,454.0,,,451.0,,,451.0,,,453.0,,,
2019-9-15,,,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",,,551.0,,,501.0,,,758.0,,,454.0,,,451.0,,,451.0,,,453.0,,,
2019-8-15,,,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",,,551.0,,,501.0,,,758.0,,,454.0,,,451.0,,,451.0,,,453.0,,,
2019-7-15,,,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",,,551.0,,,501.0,,,758.0,,,454.0,,,451.0,,,451.0,,,453.0,,,
2019-6-15,,,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",,,551.0,,,501.0,,,758.0,,,454.0,,,451.0,,,451.0,,,453.0,,,
2019-5-15,,,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",,,551.0,,,501.0,,,758.0,,,454.0,,,451.0,,,451.0,,,453.0,,,
2019-4-15,,,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",,,551.0,,,501.0,,,758.0,,,454.0,,,451.0,,,451.0,,,453.0,,,
2019-3-15,,,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",,,551.0,,,501.0,,,758.0,,,454.0,,,451.0,,,451.0,,,453.0,,,
2019-2-15,,,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",,,551.0,,,501.0,,,758.0,,,454.0,,,451.0,,,451.0,,,453.0,,,
2019-1-15,,,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",,,551.0,,,501.0,,,758.0,,,454.0,,,451.0,,,451.0,,,453.0,,,
2018-12-15,,,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",,,551.0,,,501.0,,,758.0,,,454.0,,,451.0,,,451.0,,,453.0,,,
2018-11-15,,,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",,,551.0,,,501.0,,,758.0,,,454.0,,,451.0,,,451.0,,,453.0,,,
2018-10-15,,,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",,,551.0,,,501.0,,,758.0,,,454.0,,,451.0,,,451.0,,,453.0,,,
2018-9-15,,,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",,,551.0,,,501.0,,,758.0,,,454.0,,,451.0,,,451.0,,,453.0,,,
2018-8-15,,,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",,,551.0,,,501.0,,,758.0,,,454.0,,,451.0,,,451.0,,,453.0,,,
2018-7-15,,,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",,,551.0,,,501.0,,,758.0,,,454.0,,,451.0,,,451.0,,,453.0,,,
2018-6-15,,,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",,,551.0,,,501.0,,,758.0,,,454.0,,,451.0,,,451.0,,,453.0,,,
2018-5-15,,,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",,,551.0,,,501.0,,,758.0,,,454.0,,,451.0,,,451.0,,,453.0,,,
2018-4-15,,,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",,,551.0,,,501.0,,,758.0,,,454.0,,,451.0,,,451.0,,,453.0,,,
2018-3-15,,,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",,,551.0,,,501.0,,,758.0,,,454.0,,,451.0,,,451.0,,,453.0,,,
2018-2-15,,,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",,,551.0,,,501.0,,,758.0,,,454.0,,,451.0,,,451.0,,,453.0,,,
2018-1-15,,,"GRAND MAYFAIR II(Block 10,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,10座(柏瓏 II),29 錦河路",,,551.0,,,501.0,,,758.0,,,454.0,,,451.0,,,451.0,,,453.0,517.0,,
