,lumpSum_avg,npsf_avg,final_address,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,lumpSum_B7,npsf_B7,nfa_B7,nfa_avg,lumpSum_change,npsf_change
2022-12-15,7515456.428571428,16340.714285714286,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",8880445.0,17045.0,521.0,7713108.000000001,16481.0,468.0,7254493.0,16157.0,449.0,7281980.0,16364.0,445.0,7200348.0,16217.0,444.0,7114656.0,16024.0,444.0,7163165.0,16097.0,445.0,,-0.012834492599879677,-0.01283312620822985
2022-1-15,8881959.714285715,19311.85714285714,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",10496066.0,20146.0,521.0,9114300.0,19475.0,468.0,8572308.0,19092.0,449.0,8605410.0,19338.0,445.0,8510148.0,19167.0,444.0,8408916.0,18939.0,444.0,8466570.0,19026.0,445.0,,-0.040547684420761065,-0.04054763797410865
2021-12-15,9257322.714285715,20128.0,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",10939437.0,20997.0,521.0,9499932.0,20299.0,468.0,8935549.0,19901.0,449.0,8969420.0,20156.0,445.0,8869344.0,19976.0,444.0,8763672.0,19738.0,444.0,8823905.0,19829.0,445.0,,0.03086184500481992,0.03086085544125594
2021-11-15,8980177.857142856,19525.428571428572,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",10611207.0,20367.0,521.0,9216324.0,19693.0,468.0,8668843.0,19307.0,449.0,8701085.0,19553.0,445.0,8603388.0,19377.0,444.0,8501268.0,19147.0,444.0,8559130.0,19234.0,445.0,,-0.007509135676940226,-0.007508423376321627
2021-10-15,9048121.42857143,19673.14285714286,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",10691441.0,20521.0,521.0,9286992.0,19844.0,468.0,8734846.0,19454.0,449.0,8766945.0,19701.0,445.0,8668212.0,19523.0,444.0,8565204.0,19291.0,444.0,8623210.0,19378.0,445.0,,0.011688651916287762,0.011688130413382458
2021-9-15,8943583.0,19445.85714285714,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",10567443.0,20283.0,521.0,9180288.0,19616.0,468.0,8634719.0,19231.0,449.0,8665930.0,19474.0,445.0,8567868.0,19297.0,444.0,8465748.0,19067.0,444.0,8523085.0,19153.0,445.0,,0.010767252642905456,0.010766980270436655
2021-8-15,8848311.0,19238.714285714286,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",10454386.0,20066.0,521.0,9083412.0,19409.0,468.0,8543572.0,19028.0,449.0,8573815.0,19267.0,445.0,8475960.0,19090.0,444.0,8375171.999999999,18863.0,444.0,8431860.0,18948.0,445.0,,-0.0012454162200841168,-0.0012459303317289283
2021-7-15,8859344.57142857,19262.714285714286,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",10466890.0,20090.0,521.0,9095580.0,19435.0,468.0,8554797.0,19053.0,449.0,8584495.0,19291.0,445.0,8486616.0,19114.0,444.0,8385384.0,18886.0,444.0,8441650.0,18970.0,445.0,,0.001992079185268558,0.0019915137733983457
2021-6-15,8841731.142857144,19224.428571428572,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",10445529.0,20049.0,521.0,9078264.0,19398.0,468.0,8538633.0,19017.0,449.0,8567585.0,19253.0,445.0,8469300.0,19075.0,444.0,8368512.0,18848.0,444.0,8424295.0,18931.0,445.0,,-0.004394701379785482,-0.004394628787038002
2021-5-15,8880759.42857143,19309.285714285714,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",10491377.0,20137.0,521.0,9118980.0,19485.0,468.0,8577247.0,19103.0,449.0,8605855.0,19339.0,445.0,8506152.0,19158.0,444.0,8404920.0,18930.0,444.0,8460785.0,19013.0,445.0,,0.027511584053656613,0.027511288826722158
2021-4-15,8642977.42857143,18792.285714285714,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",10210037.0,19597.0,521.0,8875620.0,18965.0,468.0,8348257.0,18593.0,449.0,8375345.0,18821.0,445.0,8277936.000000001,18644.0,444.0,8179812.0,18423.0,444.0,8233835.0,18503.0,445.0,,-0.006682357036079889,-0.006682725343764018
2021-3-15,8701121.42857143,18918.714285714286,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",10278288.0,19728.0,521.0,8935992.0,19094.0,468.0,8405280.0,18720.0,449.0,8431860.0,18948.0,445.0,8333436.0,18769.0,444.0,8234423.999999999,18546.0,444.0,8288570.0,18626.0,445.0,,0.03026248736674475,0.030262717732085553
2021-2-15,8445538.42857143,18363.0,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",9976108.0,19148.0,521.0,8674380.0,18535.0,468.0,8159228.0,18172.0,449.0,8184440.000000001,18392.0,445.0,8088348.0,18217.0,444.0,7992000.000000001,18000.0,444.0,8044265.0,18077.0,445.0,,0.022618749707344676,0.022617702747856017
2021-1-15,8258736.142857143,17956.85714285714,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",9754683.0,18723.0,521.0,8483436.0,18127.0,468.0,7979628.0,17772.0,449.0,8003769.999999999,17986.0,445.0,7908971.999999999,17813.0,444.0,7814844.0,17601.0,444.0,7865820.0,17676.0,445.0,,-0.03007810257331034,-0.03007808882990226
2020-12-15,8514846.57142857,18513.714285714286,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",10056863.0,19303.0,521.0,8747388.0,18691.0,468.0,8227476.0,18324.0,449.0,8252079.999999999,18544.0,445.0,8154060.0,18365.0,444.0,8056824.0,18146.0,444.0,8109235.000000001,18223.0,445.0,,,
2020-11-15,,,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",,,521.0,,,468.0,,,449.0,,,445.0,,,444.0,,,444.0,,,445.0,,,
2020-10-15,,,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",,,521.0,,,468.0,,,449.0,,,445.0,,,444.0,,,444.0,,,445.0,,,
2020-9-15,,,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",,,521.0,,,468.0,,,449.0,,,445.0,,,444.0,,,444.0,,,445.0,,,
2020-8-15,,,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",,,521.0,,,468.0,,,449.0,,,445.0,,,444.0,,,444.0,,,445.0,,,
2020-7-15,,,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",,,521.0,,,468.0,,,449.0,,,445.0,,,444.0,,,444.0,,,445.0,,,
2020-6-15,,,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",,,521.0,,,468.0,,,449.0,,,445.0,,,444.0,,,444.0,,,445.0,,,
2020-5-15,,,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",,,521.0,,,468.0,,,449.0,,,445.0,,,444.0,,,444.0,,,445.0,,,
2020-4-15,,,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",,,521.0,,,468.0,,,449.0,,,445.0,,,444.0,,,444.0,,,445.0,,,
2020-3-15,,,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",,,521.0,,,468.0,,,449.0,,,445.0,,,444.0,,,444.0,,,445.0,,,
2020-2-15,,,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",,,521.0,,,468.0,,,449.0,,,445.0,,,444.0,,,444.0,,,445.0,,,
2020-1-15,,,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",,,521.0,,,468.0,,,449.0,,,445.0,,,444.0,,,444.0,,,445.0,,,
2019-12-15,,,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",,,521.0,,,468.0,,,449.0,,,445.0,,,444.0,,,444.0,,,445.0,,,
2019-11-15,,,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",,,521.0,,,468.0,,,449.0,,,445.0,,,444.0,,,444.0,,,445.0,,,
2019-10-15,,,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",,,521.0,,,468.0,,,449.0,,,445.0,,,444.0,,,444.0,,,445.0,,,
2019-9-15,,,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",,,521.0,,,468.0,,,449.0,,,445.0,,,444.0,,,444.0,,,445.0,,,
2019-8-15,,,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",,,521.0,,,468.0,,,449.0,,,445.0,,,444.0,,,444.0,,,445.0,,,
2019-7-15,,,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",,,521.0,,,468.0,,,449.0,,,445.0,,,444.0,,,444.0,,,445.0,,,
2019-6-15,,,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",,,521.0,,,468.0,,,449.0,,,445.0,,,444.0,,,444.0,,,445.0,,,
2019-5-15,,,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",,,521.0,,,468.0,,,449.0,,,445.0,,,444.0,,,444.0,,,445.0,,,
2019-4-15,,,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",,,521.0,,,468.0,,,449.0,,,445.0,,,444.0,,,444.0,,,445.0,,,
2019-3-15,,,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",,,521.0,,,468.0,,,449.0,,,445.0,,,444.0,,,444.0,,,445.0,,,
2019-2-15,,,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",,,521.0,,,468.0,,,449.0,,,445.0,,,444.0,,,444.0,,,445.0,,,
2019-1-15,,,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",,,521.0,,,468.0,,,449.0,,,445.0,,,444.0,,,444.0,,,445.0,,,
2018-12-15,,,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",,,521.0,,,468.0,,,449.0,,,445.0,,,444.0,,,444.0,,,445.0,,,
2018-11-15,,,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",,,521.0,,,468.0,,,449.0,,,445.0,,,444.0,,,444.0,,,445.0,,,
2018-10-15,,,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",,,521.0,,,468.0,,,449.0,,,445.0,,,444.0,,,444.0,,,445.0,,,
2018-9-15,,,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",,,521.0,,,468.0,,,449.0,,,445.0,,,444.0,,,444.0,,,445.0,,,
2018-8-15,,,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",,,521.0,,,468.0,,,449.0,,,445.0,,,444.0,,,444.0,,,445.0,,,
2018-7-15,,,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",,,521.0,,,468.0,,,449.0,,,445.0,,,444.0,,,444.0,,,445.0,,,
2018-6-15,,,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",,,521.0,,,468.0,,,449.0,,,445.0,,,444.0,,,444.0,,,445.0,,,
2018-5-15,,,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",,,521.0,,,468.0,,,449.0,,,445.0,,,444.0,,,444.0,,,445.0,,,
2018-4-15,,,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",,,521.0,,,468.0,,,449.0,,,445.0,,,444.0,,,444.0,,,445.0,,,
2018-3-15,,,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",,,521.0,,,468.0,,,449.0,,,445.0,,,444.0,,,444.0,,,445.0,,,
2018-2-15,,,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",,,521.0,,,468.0,,,449.0,,,445.0,,,444.0,,,444.0,,,445.0,,,
2018-1-15,,,"GRAND MAYFAIR II(Block 8,Phase 1B,GRAND MAYFAIR),29 KAM HO RD|柏瓏,1B期,8座(柏瓏 II),29 錦河路",,,521.0,,,468.0,,,449.0,,,445.0,,,444.0,,,444.0,,,445.0,459.42857142857144,,
