,lumpSum_avg,npsf_avg,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,nfa_avg,lumpSum_change,npsf_change
2022-12-15,4684000.0,4684.0,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,4684000.0,4684.0,1000.0,,-0.012855637513171758,-0.012855637513171758
2018-12-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
2018-11-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
2018-10-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
2018-9-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
2018-8-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
2018-7-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
2018-6-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
2018-5-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
2018-4-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
2018-3-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
2018-2-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,,,
2018-1-15,,,174 CASTLE PEAK RD YUEN LONG|174 青山公路元朗段,,,1000.0,1000.0,,
