,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2019-12-15,13036218.5,13082.0,2,26072437.0,26164.0,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",13018716.0,13071.0,996.0,13053721.0,13093.0,997.0,0.00832437644427908,0.008324340989671608
2017-6-15,,,2,,,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",,,996.0,,,997.0,,
2017-5-15,,,2,,,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",,,996.0,,,997.0,,
2017-4-15,,,2,,,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",,,996.0,,,997.0,,
2017-3-15,,,2,,,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",,,996.0,,,997.0,,
2017-2-15,,,2,,,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",,,996.0,,,997.0,,
2017-1-15,,,2,,,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",,,996.0,,,997.0,,
2016-12-15,,,2,,,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",,,996.0,,,997.0,,
2016-11-15,,,2,,,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",,,996.0,,,997.0,,
2016-10-15,,,2,,,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",,,996.0,,,997.0,,
2016-9-15,,,2,,,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",,,996.0,,,997.0,,
2016-8-15,,,2,,,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",,,996.0,,,997.0,,
2016-7-15,,,2,,,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",,,996.0,,,997.0,,
2016-6-15,,,2,,,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",,,996.0,,,997.0,,
2016-5-15,,,2,,,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",,,996.0,,,997.0,,
2016-4-15,,,2,,,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",,,996.0,,,997.0,,
2016-3-15,,,2,,,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",,,996.0,,,997.0,,
2016-2-15,,,2,,,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",,,996.0,,,997.0,,
2016-1-15,,,2,,,1993,"CRESCENT GREEN(Block 9),KO PO PATH|山水盈9座,高埔徑",,,996.0,,,997.0,,
